Meas Num,Item,Status,Date,Time Stamp,Time(s),Temp(C),Temp Std Dev(C),Intensity(Cnt/s),Intensity Std Dev(Cnt/s),Laser Power(%),Attenuation Level(%),Normalized Intensity(Cnt/s),Normalized Intensity Std Dev(Cnt/s),Set Temp(C),Temp Ramp Rate(C/sec),Laser Monitor(V),Forward Monitor(V),Static Scattering Detector(V),Normalized Static Scattering Detector,Disposable Cuvette,Acq Time(s),Sample,Mw-R Model,Conc(mg/mL),dn/dC(mL/g),A2(mol mL/g^2),RG Model,Cuvette,Solvent Name,Solv Rfr Idx,Solv Visc(cp),Cauchy Coef(nm²),Temperature Model,Amp,Diffusion Coefficient(cm²/s),Radius(nm),Diameter(nm),Pd(nm),%Pd,Pd Index,Mw-R(kDa),Baseline,SOS,Lambda(1/s),Sigma(1/s²),RMS Error,% Acqs Unmarked,# Acqs,# Acqs Unmarked,# Acqs Marked,Mw-S(Da),#Peaks,#Peaks in Range,D10(nm),D50(nm),D90(nm),Span (D90 - D10)/D50,Peak Num,Peak Diffusion Coefficient(cm²/s) (I),Peak Radius(nm) (I),Peak Diameter(nm) (I),Peak Pd(nm) (I),Peak %Pd (I),Peak Pd Index (I),Peak Mw-R(kDa) (I),Peak %Intensity (I),Peak %Mass (I)
1,Meas 1,OK,7/23/19,13:04:22,1.73E+08,25,0.00733,1.29E+05,966,100,0,1.29E+05,966,25,5,1,0.887,0.0602,0.0601,N,6,Default,Globular Proteins,1.02,0.185,0,Sphere,10 ul,JoshBuffer_wDTT,1.33,0.906,3.12E+03,Aqueous,0.618,6.78E-07,3.55,7.11,0.839,23.6,0.236,65.4,1,13.1,1.94E+04,1.39E+04,0.00187,100%,5,5,0,2.22E+04,3,3,,,,,1,3.91E-06,0.617,1.23,0.084,13.6,0.0185,1.09,2.84,88.8
1,Meas 1,OK,7/23/19,13:04:22,1.73E+08,25,0.00733,1.29E+05,966,100,0,1.29E+05,966,25,5,1,0.887,0.0602,0.0601,N,6,Default,Globular Proteins,1.02,0.185,0,Sphere,10 ul,JoshBuffer_wDTT,1.33,0.906,3.12E+03,Aqueous,0.618,6.78E-07,3.55,7.11,0.839,23.6,0.236,65.4,1,13.1,1.94E+04,1.39E+04,0.00187,100%,5,5,0,2.22E+04,3,3,,,,,2,6.66E-07,3.61,7.23,0,0,0,68.1,80,11.2
1,Meas 1,OK,7/23/19,13:04:22,1.73E+08,25,0.00733,1.29E+05,966,100,0,1.29E+05,966,25,5,1,0.887,0.0602,0.0601,N,6,Default,Globular Proteins,1.02,0.185,0,Sphere,10 ul,JoshBuffer_wDTT,1.33,0.906,3.12E+03,Aqueous,0.618,6.78E-07,3.55,7.11,0.839,23.6,0.236,65.4,1,13.1,1.94E+04,1.39E+04,0.00187,100%,5,5,0,2.22E+04,3,3,,,,,3,7.91E-08,30.5,60.9,3.05,10,0.01,9.98E+03,17.1,0.00543
2,Meas 2,OK,7/23/19,13:04:59,1.73E+08,25,0.000682,1.30E+05,1.53E+03,100,0,1.30E+05,1.53E+03,25,5,1,0.887,0.0601,0.0601,N,6,Default,Globular Proteins,1.02,0.185,0,Sphere,10 ul,JoshBuffer_wDTT,1.33,0.906,3.12E+03,Aqueous,0.613,6.94E-07,3.47,6.94,0.809,23.3,0.233,61.9,1,15.9,2.03E+04,1.37E+04,0.00184,100%,5,5,0,2.22E+04,3,2,,,,,1,7.24E-07,3.33,6.65,0.407,12.2,0.0149,56.1,78.5,99.8
2,Meas 2,OK,7/23/19,13:04:59,1.73E+08,25,0.000682,1.30E+05,1.53E+03,100,0,1.30E+05,1.53E+03,25,5,1,0.887,0.0601,0.0601,N,6,Default,Globular Proteins,1.02,0.185,0,Sphere,10 ul,JoshBuffer_wDTT,1.33,0.906,3.12E+03,Aqueous,0.613,6.94E-07,3.47,6.94,0.809,23.3,0.233,61.9,1,15.9,2.03E+04,1.37E+04,0.00184,100%,5,5,0,2.22E+04,3,2,,,,,2,1.33E-07,18.2,36.3,1.25,6.87,0.00471,2.97E+03,21.5,0.171
3,Meas 3,OK,7/23/19,13:05:36,1.73E+08,25,0.00216,1.30E+05,1.12E+03,100,0,1.30E+05,1.12E+03,25,5,1,0.886,0.0612,0.0612,N,6,Default,Globular Proteins,1.02,0.185,0,Sphere,10 ul,JoshBuffer_wDTT,1.33,0.906,3.12E+03,Aqueous,0.614,6.84E-07,3.52,7.04,0.784,22.3,0.223,64.1,1,15.6,2.07E+04,1.23E+04,0.00194,100%,5,5,0,2.27E+04,4,3,,,,,1,4.16E-06,0.58,1.16,0.0735,12.7,0.0161,0.94,2.02,86.5
3,Meas 3,OK,7/23/19,13:05:36,1.73E+08,25,0.00216,1.30E+05,1.12E+03,100,0,1.30E+05,1.12E+03,25,5,1,0.886,0.0612,0.0612,N,6,Default,Globular Proteins,1.02,0.185,0,Sphere,10 ul,JoshBuffer_wDTT,1.33,0.906,3.12E+03,Aqueous,0.614,6.84E-07,3.52,7.04,0.784,22.3,0.223,64.1,1,15.6,2.07E+04,1.23E+04,0.00194,100%,5,5,0,2.27E+04,4,3,,,,,2,6.51E-07,3.7,7.4,0.301,8.13,0.0066,72,86.3,13.5
3,Meas 3,OK,7/23/19,13:05:36,1.73E+08,25,0.00216,1.30E+05,1.12E+03,100,0,1.30E+05,1.12E+03,25,5,1,0.886,0.0612,0.0612,N,6,Default,Globular Proteins,1.02,0.185,0,Sphere,10 ul,JoshBuffer_wDTT,1.33,0.906,3.12E+03,Aqueous,0.614,6.84E-07,3.52,7.04,0.784,22.3,0.223,64.1,1,15.6,2.07E+04,1.23E+04,0.00194,100%,5,5,0,2.27E+04,4,3,,,,,3,5.06E-08,47.6,95.3,6.51,13.7,0.0187,2.84E+04,11.7,0.00164
4,Meas 4,OK,7/23/19,13:06:13,1.73E+08,25,0.000255,2.82E+05,2.27E+05,100,0,2.82E+05,2.27E+05,25,5,1,0.886,0.0635,0.0635,N,6,Default,Globular Proteins,1.02,0.185,0,Sphere,10 ul,JoshBuffer_wDTT,1.33,0.906,3.12E+03,Aqueous,0.62,7.12E-07,3.38,6.76,0.792,23.4,0.234,58.3,1,25,2.07E+04,1.42E+04,0.0027,40%,5,2,3,2.36E+04,4,2,,,,,1,7.12E-07,3.38,6.76,0.383,11.3,0.0128,58.2,83,100
4,Meas 4,OK,7/23/19,13:06:13,1.73E+08,25,0.000255,2.82E+05,2.27E+05,100,0,2.82E+05,2.27E+05,25,5,1,0.886,0.0635,0.0635,N,6,Default,Globular Proteins,1.02,0.185,0,Sphere,10 ul,JoshBuffer_wDTT,1.33,0.906,3.12E+03,Aqueous,0.62,7.12E-07,3.38,6.76,0.792,23.4,0.234,58.3,1,25,2.07E+04,1.42E+04,0.0027,40%,5,2,3,2.36E+04,4,2,,,,,2,7.53E-08,32,64,0,0,0,1.12E+04,17,0.0288
