Meas Num,Item,Status,Date,Time Stamp,Time(s),Temp(C),Temp Std Dev(C),Intensity(Cnt/s),Intensity Std Dev(Cnt/s),Laser Power(%),Attenuation Level(%),Normalized Intensity(Cnt/s),Normalized Intensity Std Dev(Cnt/s),Set Temp(C),Temp Ramp Rate(C/sec),Laser Monitor(V),Forward Monitor(V),Static Scattering Detector(V),Normalized Static Scattering Detector,Disposable Cuvette,Acq Time(s),Sample,Mw-R Model,Conc(mg/mL),dn/dC(mL/g),A2(mol mL/g^2),RG Model,Cuvette,Solvent Name,Solv Rfr Idx,Solv Visc(cp),Cauchy Coef(nm²),Temperature Model,Amp,Diffusion Coefficient(cm²/s),Radius(nm),Diameter(nm),Pd(nm),%Pd,Pd Index,Mw-R(kDa),Baseline,SOS,Lambda(1/s),Sigma(1/s²),RMS Error,% Acqs Unmarked,# Acqs,# Acqs Unmarked,# Acqs Marked,Mw-S(Da),#Peaks,#Peaks in Range,D10(nm),D50(nm),D90(nm),Span (D90 - D10)/D50,Peak Num,Peak Diffusion Coefficient(cm²/s) (I),Peak Radius(nm) (I),Peak Diameter(nm) (I),Peak Pd(nm) (I),Peak %Pd (I),Peak Pd Index (I),Peak Mw-R(kDa) (I),Peak %Intensity (I),Peak %Mass (I)
1,Meas 1,OK,2/13/20,15:48:15,1.91E+08,30,0.0294,1.16E+05,1.14E+03,100,0,1.16E+05,1.14E+03,30,5,1,0.863,0.0617,0.0617,N,6,Default,Globular Proteins,1.02,0.185,0,Sphere,10 ul,JoshBuffer_wDTT,1.33,0.811,3.12E+03,Aqueous,0.615,8.73E-07,3.13,6.27,0.548,17.5,0.175,48.7,1,13.6,2.76E+04,1.22E+04,0.00181,100%,5,5,0,2.29E+04,3,2,,,,,1,7.79E-07,3.51,7.02,0.478,13.6,0.0186,63.6,94.7,100
1,Meas 1,OK,2/13/20,15:48:15,1.91E+08,30,0.0294,1.16E+05,1.14E+03,100,0,1.16E+05,1.14E+03,30,5,1,0.863,0.0617,0.0617,N,6,Default,Globular Proteins,1.02,0.185,0,Sphere,10 ul,JoshBuffer_wDTT,1.33,0.811,3.12E+03,Aqueous,0.615,8.73E-07,3.13,6.27,0.548,17.5,0.175,48.7,1,13.6,2.76E+04,1.22E+04,0.00181,100%,5,5,0,2.29E+04,3,2,,,,,2,1.30E-07,21.1,42.1,0,0,0,4.21E+03,5.33,0.0264
2,Meas 2,OK,2/13/20,15:48:52,1.91E+08,30,0.00425,1.21E+05,2.98E+03,100,0,1.21E+05,2.98E+03,30,5,1,0.863,0.0592,0.0592,N,6,Default,Globular Proteins,1.02,0.185,0,Sphere,10 ul,JoshBuffer_wDTT,1.33,0.81,3.12E+03,Aqueous,0.626,8.52E-07,3.21,6.42,0.715,22.3,0.223,51.6,1,14.1,2.57E+04,1.53E+04,0.00193,100%,5,5,0,2.18E+04,4,3,,,,,1,4.49E-06,0.609,1.22,0,0,0,1.06,2.15,79.5
2,Meas 2,OK,2/13/20,15:48:52,1.91E+08,30,0.00425,1.21E+05,2.98E+03,100,0,1.21E+05,2.98E+03,30,5,1,0.863,0.0592,0.0592,N,6,Default,Globular Proteins,1.02,0.185,0,Sphere,10 ul,JoshBuffer_wDTT,1.33,0.81,3.12E+03,Aqueous,0.626,8.52E-07,3.21,6.42,0.715,22.3,0.223,51.6,1,14.1,2.57E+04,1.53E+04,0.00193,100%,5,5,0,2.18E+04,4,3,,,,,2,8.14E-07,3.36,6.72,0.418,12.4,0.0154,57.4,86.5,20.5
2,Meas 2,OK,2/13/20,15:48:52,1.91E+08,30,0.00425,1.21E+05,2.98E+03,100,0,1.21E+05,2.98E+03,30,5,1,0.863,0.0592,0.0592,N,6,Default,Globular Proteins,1.02,0.185,0,Sphere,10 ul,JoshBuffer_wDTT,1.33,0.81,3.12E+03,Aqueous,0.626,8.52E-07,3.21,6.42,0.715,22.3,0.223,51.6,1,14.1,2.57E+04,1.53E+04,0.00193,100%,5,5,0,2.18E+04,4,3,,,,,3,8.29E-08,33,66,4.21,12.7,0.0163,1.20E+04,11.4,0.00382
3,Meas 3,OK,2/13/20,15:49:28,1.91E+08,30,0.00834,1.21E+05,1.84E+03,100,0,1.21E+05,1.84E+03,30,5,1,0.863,0.0592,0.0592,N,6,Default,Globular Proteins,1.02,0.185,0,Sphere,10 ul,JoshBuffer_wDTT,1.33,0.811,3.12E+03,Aqueous,0.627,8.60E-07,3.18,6.37,0.734,23.1,0.231,50.6,1,21.4,2.54E+04,1.65E+04,0.00224,100%,5,5,0,2.18E+04,3,2,,,,,1,8.27E-07,3.31,6.62,0.381,11.5,0.0133,55.3,86.8,100
3,Meas 3,OK,2/13/20,15:49:28,1.91E+08,30,0.00834,1.21E+05,1.84E+03,100,0,1.21E+05,1.84E+03,30,5,1,0.863,0.0592,0.0592,N,6,Default,Globular Proteins,1.02,0.185,0,Sphere,10 ul,JoshBuffer_wDTT,1.33,0.811,3.12E+03,Aqueous,0.627,8.60E-07,3.18,6.37,0.734,23.1,0.231,50.6,1,21.4,2.54E+04,1.65E+04,0.00224,100%,5,5,0,2.18E+04,3,2,,,,,2,5.70E-08,48,96,1.97,4.11,0.00169,2.89E+04,13.2,0.00868
4,Meas 4,OK,2/13/20,15:50:05,1.91E+08,30,0.00136,1.17E+05,721,100,0,1.17E+05,721,30,5,1,0.864,0.0598,0.0598,N,6,Default,Globular Proteins,1.02,0.185,0,Sphere,10 ul,JoshBuffer_wDTT,1.33,0.811,3.12E+03,Aqueous,0.611,8.71E-07,3.14,6.29,0.602,19.1,0.191,49.1,1,18,2.73E+04,1.31E+04,0.00203,100%,5,5,0,2.21E+04,3,2,,,,,1,8.17E-07,3.35,6.7,0.411,12.3,0.015,57,92.3,100
4,Meas 4,OK,2/13/20,15:50:05,1.91E+08,30,0.00136,1.17E+05,721,100,0,1.17E+05,721,30,5,1,0.864,0.0598,0.0598,N,6,Default,Globular Proteins,1.02,0.185,0,Sphere,10 ul,JoshBuffer_wDTT,1.33,0.811,3.12E+03,Aqueous,0.611,8.71E-07,3.14,6.29,0.602,19.1,0.191,49.1,1,18,2.73E+04,1.31E+04,0.00203,100%,5,5,0,2.21E+04,3,2,,,,,2,3.35E-08,81.8,164,3.12,3.81,0.00145,1.01E+05,7.71,0.00379
5,Meas 5,OK,2/13/20,15:50:42,1.91E+08,30,0.000166,1.16E+05,990,100,0,1.16E+05,990,30,5,1,0.863,0.0604,0.0604,N,6,Default,Globular Proteins,1.02,0.185,0,Sphere,10 ul,JoshBuffer_wDTT,1.33,0.811,3.12E+03,Aqueous,0.617,8.77E-07,3.12,6.24,0.655,21,0.21,48.2,1,18.9,2.70E+04,1.45E+04,0.00214,100%,5,5,0,2.24E+04,4,2,,,,,1,8.11E-07,3.37,6.75,0.425,12.6,0.0159,57.9,96,100
