Meas Num,Item,Status,Date,Time Stamp,Time(s),Temp(C),Temp Std Dev(C),Intensity(Cnt/s),Intensity Std Dev(Cnt/s),Laser Power(%),Attenuation Level(%),Normalized Intensity(Cnt/s),Normalized Intensity Std Dev(Cnt/s),Set Temp(C),Temp Ramp Rate(C/sec),Laser Monitor(V),Forward Monitor(V),Static Scattering Detector(V),Normalized Static Scattering Detector,Disposable Cuvette,Acq Time(s),Sample,Mw-R Model,Conc(mg/mL),dn/dC(mL/g),A2(mol mL/g^2),RG Model,Cuvette,Solvent Name,Solv Rfr Idx,Solv Visc(cp),Cauchy Coef(nm²),Temperature Model,Amp,Diffusion Coefficient(cm²/s),Radius(nm),Diameter(nm),Pd(nm),%Pd,Pd Index,Mw-R(kDa),Baseline,SOS,Lambda(1/s),Sigma(1/s²),RMS Error,% Acqs Unmarked,# Acqs,# Acqs Unmarked,# Acqs Marked,Mw-S(Da),#Peaks,#Peaks in Range,D10(nm),D50(nm),D90(nm),Span (D90 - D10)/D50,Peak Num,Peak Diffusion Coefficient(cm²/s) (M),Peak Radius(nm) (M),Peak Diameter(nm) (M),Peak Pd(nm) (M),Peak %Pd (M),Peak Pd Index (M),Peak Mw-R(kDa) (M),Peak %Intensity (M),Peak %Mass (M)
1,Meas 6,OK,2018-05-22,13:01:44,136435000,24.9839,0.00885,470716,3990,100,0,470716,3990,25,5,1.00084,0.850596,0.166629,0.166488,N,6,Default,Globular Proteins,1.02,0.185,0,Sphere,10 ul,JoshBuffer_wDTT,1.333,0.906286,3119,Aqueous,0.745845,5.34482e-007,4.50779,9.01559,0.363783,8.07009,0.0807009,114.11,1.00011,2.81119,17108,4720.97,0.000714192,100%,5,5,0,70700.1,3,2,,,,,1,5.36728e-007,4.48893,8.97787,0.475342,10.5892,0.0112131,112.996,96.968,99.9841
1,Meas 6,OK,2018-05-22,13:01:44,136435000,24.9839,0.00885,470716,3990,100,0,470716,3990,25,5,1.00084,0.850596,0.166629,0.166488,N,6,Default,Globular Proteins,1.02,0.185,0,Sphere,10 ul,JoshBuffer_wDTT,1.333,0.906286,3119,Aqueous,0.745845,5.34482e-007,4.50779,9.01559,0.363783,8.07009,0.0807009,114.11,1.00011,2.81119,17108,4720.97,0.000714192,100%,5,5,0,70700.1,3,2,,,,,2,1.61952e-008,148.768,297.536,19.1178,12.8507,0.0165141,407772,3.03203,0.0159136
2,Meas 7,OK,2018-05-22,13:02:22,136435000,24.9796,0.0079,469550,3200,100,0,469550,3200,25,5,1.001,0.862049,0.167164,0.166997,N,6,Default,Globular Proteins,1.02,0.185,0,Sphere,10 ul,JoshBuffer_wDTT,1.333,0.906375,3119,Aqueous,0.738819,5.51907e-007,4.36547,8.73094,0.253967,5.81764,0.0581764,105.858,1,2.32123,17668.3,4131.79,0.000588156,100%,5,5,0,70785.2,3,2,,,,,1,5.5011e-007,4.37973,8.75946,0.530321,12.1085,0.0146617,106.669,99.0082,99.9931
2,Meas 7,OK,2018-05-22,13:02:22,136435000,24.9796,0.0079,469550,3200,100,0,469550,3200,25,5,1.001,0.862049,0.167164,0.166997,N,6,Default,Globular Proteins,1.02,0.185,0,Sphere,10 ul,JoshBuffer_wDTT,1.333,0.906375,3119,Aqueous,0.738819,5.51907e-007,4.36547,8.73094,0.253967,5.81764,0.0581764,105.858,1,2.32123,17668.3,4131.79,0.000588156,100%,5,5,0,70785.2,3,2,,,,,2,8.51108e-009,283.082,566.165,0,0,0,1837230,0.991792,0.00686168
3,Meas 8,OK,2018-05-22,13:02:59,136435000,25.013,0.00578,468447,4370,100,0,468447,4370,25,5,1.001,0.862914,0.167074,0.166907,N,6,Default,Globular Proteins,1.02,0.185,0,Sphere,10 ul,JoshBuffer_wDTT,1.333,0.905679,3119,Aqueous,0.736774,5.58065e-007,4.3173,8.63461,0.265149,6.14154,0.0614154,103.145,1.0001,2.47004,17865.3,4293.05,0.000737769,100%,5,5,0,70783.4,3,2,,,,,1,5.67526e-007,4.24533,8.49066,0.562627,13.2529,0.0175638,99.1666,98.3152,99.9571
3,Meas 8,OK,2018-05-22,13:02:59,136435000,25.013,0.00578,468447,4370,100,0,468447,4370,25,5,1.001,0.862914,0.167074,0.166907,N,6,Default,Globular Proteins,1.02,0.185,0,Sphere,10 ul,JoshBuffer_wDTT,1.333,0.905679,3119,Aqueous,0.736774,5.58065e-007,4.3173,8.63461,0.265149,6.14154,0.0614154,103.145,1.0001,2.47004,17865.3,4293.05,0.000737769,100%,5,5,0,70783.4,3,2,,,,,2,2.86108e-009,842.106,1684.21,0,0,0,23547900,1.68482,0.0429198
4,Meas 9,OK,2018-05-22,13:03:36,136435000,25.0148,0.00312,471585,3180,100,0,471585,3180,25,5,1.001,0.863595,0.166979,0.166812,N,6,Default,Globular Proteins,1.02,0.185,0,Sphere,10 ul,JoshBuffer_wDTT,1.333,0.905641,3119,Aqueous,0.7426,5.61215e-007,4.29307,8.58614,0.279169,6.50277,0.0650277,101.796,0.999876,3.52464,17966,4443.13,0.0007022,100%,5,5,0,70782.4,2,1,,,,,1,5.4949e-007,4.38468,8.76935,0.528443,12.052,0.0145252,106.951,100,100
5,Meas 10,OK,2018-05-22,13:04:13,136435000,25.0045,0.0015,468115,6370,100,0,468115,6370,25,5,1.001,0.863987,0.166924,0.166757,N,6,Default,Globular Proteins,1.02,0.185,0,Sphere,10 ul,JoshBuffer_wDTT,1.333,0.905856,3119,Aqueous,0.735781,5.62737e-007,4.28146,8.56292,0.373391,8.72111,0.0872111,101.153,0.999916,2.27635,18010.4,5173.04,0.000694439,100%,5,5,0,70782.1,3,2,,,,,1,2.00778e-006,1.2,2.4,0.0645869,5.38224,0.00289685,5.15761,2.56425,60.6568
5,Meas 10,OK,2018-05-22,13:04:13,136435000,25.0045,0.0015,468115,6370,100,0,468115,6370,25,5,1.001,0.863987,0.166924,0.166757,N,6,Default,Globular Proteins,1.02,0.185,0,Sphere,10 ul,JoshBuffer_wDTT,1.333,0.905856,3119,Aqueous,0.735781,5.62737e-007,4.28146,8.56292,0.373391,8.72111,0.0872111,101.153,0.999916,2.27635,18010.4,5173.04,0.000694439,100%,5,5,0,70782.1,3,2,,,,,2,5.16582e-007,4.66399,9.32798,0.295898,6.3443,0.00402502,123.577,97.4358,39.3432
6,25.0C,OK,2018-05-22,13:04:51,136435000,25.0047,0.0025,467591,3700,100,0,467591,3700,51,0.25,1.001,0.864245,0.166854,0.166687,N,6,Default,Globular Proteins,1.02,0.185,0,Sphere,10 ul,JoshBuffer_wDTT,1.333,0.905852,3119,Aqueous,0.736908,5.58122e-007,4.31686,8.63372,0.283307,6.56279,0.0656279,103.121,0.99995,3.01442,17866.9,4439.12,0.000678091,100%,5,5,0,70783.4,4,2,,,,,1,5.53172e-007,4.35549,8.71099,0.538775,12.37,0.0153017,105.293,99.2257,99.9936
6,25.0C,OK,2018-05-22,13:04:51,136435000,25.0047,0.0025,467591,3700,100,0,467591,3700,51,0.25,1.001,0.864245,0.166854,0.166687,N,6,Default,Globular Proteins,1.02,0.185,0,Sphere,10 ul,JoshBuffer_wDTT,1.333,0.905852,3119,Aqueous,0.736908,5.58122e-007,4.31686,8.63372,0.283307,6.56279,0.0656279,103.121,0.99995,3.01442,17866.9,4439.12,0.000678091,100%,5,5,0,70783.4,4,2,,,,,2,7.2163e-009,333.874,667.748,43.8735,13.1407,0.0172678,2703070,0.774304,0.00643124
7,25.1C,OK,2018-05-22,13:05:28,136435000,25.0533,0.0252,467685,3800,100,0,467685,3800,51,0.25,1.001,0.864478,0.166773,0.166606,N,6,Default,Globular Proteins,1.02,0.185,0,Sphere,10 ul,JoshBuffer_wDTT,1.333,0.904839,3119,Aqueous,0.736505,5.64051e-007,4.28276,8.56553,0.260836,6.09038,0.0609038,101.225,1.00004,3.42401,18057,4320.9,0.000865212,100%,5,5,0,70782.3,3,2,,,,,1,5.69078e-007,4.24493,8.48986,0.565315,13.3174,0.0177353,99.1449,98.6479,99.9865
7,25.1C,OK,2018-05-22,13:05:28,136435000,25.0533,0.0252,467685,3800,100,0,467685,3800,51,0.25,1.001,0.864478,0.166773,0.166606,N,6,Default,Globular Proteins,1.02,0.185,0,Sphere,10 ul,JoshBuffer_wDTT,1.333,0.904839,3119,Aqueous,0.736505,5.64051e-007,4.28276,8.56553,0.260836,6.09038,0.0609038,101.225,1.00004,3.42401,18057,4320.9,0.000865212,100%,5,5,0,70782.3,3,2,,,,,2,5.68901e-009,424.625,849.25,58.0264,13.6653,0.0186741,4744460,1.35211,0.013517
