Meas Num,Item,Status,Date,Time Stamp,Time(s),Temp(C),Temp Std Dev(C),Intensity(Cnt/s),Intensity Std Dev(Cnt/s),Laser Power(%),Attenuation Level(%),Normalized Intensity(Cnt/s),Normalized Intensity Std Dev(Cnt/s),Set Temp(C),Temp Ramp Rate(C/sec),Laser Monitor(V),Forward Monitor(V),Static Scattering Detector(V),Normalized Static Scattering Detector,Disposable Cuvette,Acq Time(s),Sample,Mw-R Model,Conc(mg/mL),dn/dC(mL/g),A2(mol mL/g^2),RG Model,Cuvette,Solvent Name,Solv Rfr Idx,Solv Visc(cp),Cauchy Coef(nm²),Temperature Model,Amp,Diffusion Coefficient(cm²/s),Radius(nm),Diameter(nm),Pd(nm),%Pd,Pd Index,Mw-R(kDa),Baseline,SOS,Lambda(1/s),Sigma(1/s²),RMS Error,% Acqs Unmarked,# Acqs,# Acqs Unmarked,# Acqs Marked,Mw-S(Da),#Peaks,#Peaks in Range,D10(nm),D50(nm),D90(nm),Span (D90 - D10)/D50,Peak Num,Peak Diffusion Coefficient(cm²/s) (M),Peak Radius(nm) (M),Peak Diameter(nm) (M),Peak Pd(nm) (M),Peak %Pd (M),Peak Pd Index (M),Peak Mw-R(kDa) (M),Peak %Intensity (M),Peak %Mass (M)
6,15.0C,OK,2018-04-26,12:35:02,134187000,15.0141,0.00254,480631,5360,100,0,480631,5360,51,0.25,1.00045,0.886208,0.190088,0.190002,N,6,Default,Globular Proteins,1.02,0.185,0,Sphere,10 ul,JoshBuffer_wDTT,1.333,1.16279,3119,Aqueous,0.741118,3.96352E-07,4.57539,9.15077,0.335527,7.33331,0.0733331,118.154,1.00011,1.81103,12687.7,3334.28,0.000707041,100%,5,5,0,No Offset,3,2,,,,,1,3.75946E-07,4.82374,9.64749,0.889471,18.4394,0.0340013,133.709,98.8328,99.9584
6,15.0C,OK,2018-04-26,12:35:02,134187000,15.0141,0.00254,480631,5360,100,0,480631,5360,51,0.25,1.00045,0.886208,0.190088,0.190002,N,6,Default,Globular Proteins,1.02,0.185,0,Sphere,10 ul,JoshBuffer_wDTT,1.333,1.16279,3119,Aqueous,0.741118,3.96352E-07,4.57539,9.15077,0.335527,7.33331,0.0733331,118.154,1.00011,1.81103,12687.7,3334.28,0.000707041,100%,5,5,0,No Offset,3,2,,,,,2,1.505E-09,1204.96,2409.93,160.582,13.3267,0.01776,54455500,1.16719,0.0415921
7,15.1C,OK,2018-04-26,12:35:40,134187000,15.0663,0.0269,475496,3800,100,0,475496,3800,51,0.25,1.00045,0.88596,0.189603,0.189517,N,6,Default,Globular Proteins,1.02,0.185,0,Sphere,10 ul,JoshBuffer_wDTT,1.333,1.16115,3119,Aqueous,0.740059,3.95845E-07,4.59525,9.1905,0.272669,5.93372,0.0593372,119.358,0.999978,2.15427,12672.2,2992.96,0.000730233,100%,5,5,0,No Offset,2,1,,,,,1,3.68547E-07,4.93561,9.87123,0.96022,19.4549,0.0378494,141.078,100,100
8,15.2C,OK,2018-04-26,12:36:17,134187000,15.2058,0.0415,471888,3030,100,0,471888,3030,51,0.25,1.00046,0.886597,0.189164,0.189077,N,6,Default,Globular Proteins,1.02,0.185,0,Sphere,10 ul,JoshBuffer_wDTT,1.333,1.15679,3119,Aqueous,0.742577,3.97314E-07,4.59223,9.18446,0.408257,8.89017,0.0889017,119.174,0.999995,1.38161,12715.6,3688.92,0.000622856,100%,5,5,0,No Offset,2,1,,,,,1,3.53565E-07,5.16046,10.3209,1.50883,29.2383,0.0854877,156.577,100,100
9,15.4C,OK,2018-04-26,12:36:55,134187000,15.3654,0.0388,470513,4610,100,0,470513,4610,51,0.25,1.00046,0.886877,0.188719,0.188631,N,6,Default,Globular Proteins,1.02,0.185,0,Sphere,10 ul,JoshBuffer_wDTT,1.333,1.15183,3119,Aqueous,0.744169,3.96202E-07,4.6332,9.2664,0.275357,5.94312,0.0594312,121.677,0.999944,1.81996,12683.7,2998.04,0.000662638,100%,5,5,0,No Offset,2,1,,,,,1,3.69524E-07,4.96769,9.93538,0.950521,19.1341,0.0366112,143.232,100,100
10,15.5C,OK,2018-04-26,12:37:32,134187000,15.5162,0.0393,471566,1940,100,0,471566,1940,51,0.25,1.00046,0.887649,0.188336,0.18825,N,6,Default,Globular Proteins,1.02,0.185,0,Sphere,10 ul,JoshBuffer_wDTT,1.333,1.14717,3119,Aqueous,0.743448,3.98967E-07,4.61506,9.23013,0.290935,6.30403,0.0630403,120.565,1.00008,1.6228,12772.1,3109.69,0.000665585,100%,5,5,0,No Offset,3,2,,,,,1,3.93046E-07,4.68459,9.36918,0.295906,6.31659,0.00398993,124.858,97.2833,99.9954
10,15.5C,OK,2018-04-26,12:37:32,134187000,15.5162,0.0393,471566,1940,100,0,471566,1940,51,0.25,1.00046,0.887649,0.188336,0.18825,N,6,Default,Globular Proteins,1.02,0.185,0,Sphere,10 ul,JoshBuffer_wDTT,1.333,1.14717,3119,Aqueous,0.743448,3.98967E-07,4.61506,9.23013,0.290935,6.30403,0.0630403,120.565,1.00008,1.6228,12772.1,3109.69,0.000665585,100%,5,5,0,No Offset,3,2,,,,,2,2.11011E-08,87.2589,174.518,10.95,12.5489,0.0157474,117027,2.71667,0.0045698
11,15.7C,OK,2018-04-26,12:38:10,134187000,15.6722,0.0397,467492,5290,100,0,467492,5290,51,0.25,1.00046,0.887777,0.187912,0.187827,N,6,Default,Globular Proteins,1.02,0.185,0,Sphere,10 ul,JoshBuffer_wDTT,1.333,1.14238,3119,Aqueous,0.751739,4.01209E-07,4.61715,9.23429,0.400634,8.67708,0.0867708,120.692,0.999952,1.70219,12840.8,3678.52,0.000727169,100%,5,5,0,No Offset,2,1,,,,,1,3.58317E-07,5.16984,10.3397,1.4915,28.8499,0.0832319,157.243,100,100
12,15.8C,OK,2018-04-26,12:38:48,134187000,15.8309,0.0401,462926,4860,100,0,462926,4860,51,0.25,1.00046,0.888695,0.187618,0.187533,N,6,Default,Globular Proteins,1.02,0.185,0,Sphere,10 ul,JoshBuffer_wDTT,1.333,1.13754,3119,Aqueous,0.753769,4.03189E-07,4.60837,9.21673,0.296087,6.42498,0.0642498,120.156,1.00004,1.88806,12907.2,3172.77,0.000753217,100%,5,5,0,No Offset,2,1,,,,,1,3.67516E-07,5.05568,10.1114,1.32507,26.2097,0.0686946,149.239,100,100
13,16.0C,OK,2018-04-26,12:39:26,134187000,15.9895,0.0398,460832,4170,100,0,460832,4170,51,0.25,1.00046,0.888768,0.187186,0.1871,N,6,Default,Globular Proteins,1.02,0.185,0,Sphere,10 ul,JoshBuffer_wDTT,1.333,1.13274,3119,Aqueous,0.753733,4.01712E-07,4.65327,9.30655,0.169863,3.6504,0.036504,122.914,0.99986,2.12091,12860.2,2381.83,0.00072382,100%,5,5,0,No Offset,2,1,,,,,1,3.88137E-07,4.81602,9.63203,0.155151,3.22155,0.00103784,133.208,100,100
