Meas Num,Item,Status,Date,Time Stamp,Time(s),Temp(C),Temp Std Dev(C),Intensity(Cnt/s),Intensity Std Dev(Cnt/s),Laser Power(%),Attenuation Level(%),Normalized Intensity(Cnt/s),Normalized Intensity Std Dev(Cnt/s),Set Temp(C),Temp Ramp Rate(C/sec),Laser Monitor(V),Forward Monitor(V),Static Scattering Detector(V),Normalized Static Scattering Detector,Disposable Cuvette,Acq Time(s),Sample,Mw-R Model,Conc(mg/mL),dn/dC(mL/g),A2(mol mL/g^2),RG Model,Cuvette,Solvent Name,Solv Rfr Idx,Solv Visc(cp),Cauchy Coef(nm²),Temperature Model,Amp,Diffusion Coefficient(cm²/s),Radius(nm),Diameter(nm),Pd(nm),%Pd,Pd Index,Mw-R(kDa),Baseline,SOS,Lambda(1/s),Sigma(1/s²),RMS Error,% Acqs Unmarked,# Acqs,# Acqs Unmarked,# Acqs Marked,Mw-S(Da),#Peaks,#Peaks in Range,D10(nm),D50(nm),D90(nm),Span (D90 - D10)/D50,Peak Num,Peak Diffusion Coefficient(cm²/s) (M),Peak Radius(nm) (M),Peak Diameter(nm) (M),Peak Pd(nm) (M),Peak %Pd (M),Peak Pd Index (M),Peak Mw-R(kDa) (M),Peak %Intensity (M),Peak %Mass (M)
1,Meas 6,OK,2018-08-13,14:41:42,143612000,14.9973,0.000292,361428,4620,100,0,361428,4620,15,5,1.00081,0.867905,0.181055,0.180909,N,6,Default,Globular Proteins,1.02,0.185,0,Sphere,10 ul,JoshBuffer_wDTT,1.333,1.16332,3119,Aqueous,0.752084,3.98024E-07,4.55617,9.11234,0.280474,6.15592,0.0615592,116.996,0.999963,2.41202,12742,3065.5,0.000778213,100%,5,5,0,No Offset,2,1,,,,,1,3.6848E-07,4.92148,9.84296,1.06236,21.5862,0.0465966,140.134,100,100
2,Meas 7,OK,2018-08-13,14:42:19,143612000,14.9996,0.0012,366606,3740,100,0,366606,3740,15,5,1.00082,0.864655,0.180512,0.180364,N,6,Default,Globular Proteins,1.02,0.185,0,Sphere,10 ul,JoshBuffer_wDTT,1.333,1.16325,3119,Aqueous,0.756436,3.9665E-07,4.57195,9.14391,0.369387,8.07941,0.0807941,117.946,0.999843,2.2012,12696.2,3505.6,0.000852752,100%,5,5,0,No Offset,2,1,,,,,1,3.5738E-07,5.07434,10.1487,1.40904,27.768,0.0771061,150.531,100,100
4,Meas 9,OK,2018-08-13,14:43:32,143612000,15.0029,0.000308,365970,3130,100,0,365970,3130,15,5,1.00082,0.866469,0.170324,0.170185,N,6,Default,Globular Proteins,1.02,0.185,0,Sphere,10 ul,JoshBuffer_wDTT,1.333,1.16315,3119,Aqueous,0.760198,3.94102E-07,4.60152,9.20303,0.274365,5.9625,0.059625,119.739,0.999856,2.16648,12616.4,2987.03,0.000796503,100%,5,5,0,No Offset,2,1,,,,,1,3.66152E-07,4.95276,9.90553,1.05991,21.4004,0.0457978,142.227,100,100
5,Meas 10,OK,2018-08-13,14:44:09,143612000,15.0016,0.000316,367958,4820,100,0,367958,4820,15,5,1.00081,0.871665,0.167855,0.167718,N,6,Default,Globular Proteins,1.02,0.185,0,Sphere,10 ul,JoshBuffer_wDTT,1.333,1.16319,3119,Aqueous,0.760501,3.94979E-07,4.59129,9.18258,0.236614,5.15355,0.0515355,119.117,0.999835,2.22695,12644.7,2782.76,0.000878257,100%,5,5,0,No Offset,2,1,,,,,1,3.69594E-07,4.90665,9.8133,1.00815,20.5467,0.0422165,139.148,100,100
6,15.0C,OK,2018-08-13,14:44:48,143612000,15.003,0.00249,371602,6230,100,0,371602,6230,51,0.25,1.00082,0.875281,0.168941,0.168804,N,6,Default,Globular Proteins,1.02,0.185,0,Sphere,10 ul,JoshBuffer_wDTT,1.333,1.16314,3119,Aqueous,0.76114,3.9346E-07,4.60902,9.21804,0.341738,7.41455,0.0741455,120.196,0.999734,2.68333,12595,3328.5,0.000840353,100%,5,5,0,No Offset,2,1,,,,,1,3.65287E-07,4.9645,9.92899,0.940347,18.9414,0.0358778,143.017,100,100
7,15.1C,OK,2018-08-13,14:45:25,143612000,15.0509,0.0246,372746,4070,100,0,372746,4070,51,0.25,1.00081,0.873369,0.168332,0.168195,N,6,Default,Globular Proteins,1.02,0.185,0,Sphere,10 ul,JoshBuffer_wDTT,1.333,1.16164,3119,Aqueous,0.757566,3.93751E-07,4.61969,9.23938,0.281686,6.09751,0.0609751,120.848,0.999876,1.8998,12605.2,3018.1,0.000739894,100%,5,5,0,No Offset,2,1,,,,,1,3.66573E-07,4.9622,9.92439,0.984402,19.838,0.0393547,142.862,100,100
8,15.2C,OK,2018-08-13,14:46:02,143613000,15.1842,0.0402,368377,5270,100,0,368377,5270,51,0.25,1.00081,0.872833,0.167846,0.167709,N,6,Default,Globular Proteins,1.02,0.185,0,Sphere,10 ul,JoshBuffer_wDTT,1.333,1.15746,3119,Aqueous,0.760249,3.96512E-07,4.60152,9.20303,0.345891,7.5169,0.075169,119.739,1.00006,2.45439,12692.6,3377.75,0.000805398,100%,5,5,0,No Offset,3,2,,,,,1,3.63808E-07,5.01516,10.0303,1.27078,25.3388,0.0642055,146.455,99.4975,99.9862
8,15.2C,OK,2018-08-13,14:46:02,143613000,15.1842,0.0402,368377,5270,100,0,368377,5270,51,0.25,1.00081,0.872833,0.167846,0.167709,N,6,Default,Globular Proteins,1.02,0.185,0,Sphere,10 ul,JoshBuffer_wDTT,1.333,1.15746,3119,Aqueous,0.760249,3.96512E-07,4.60152,9.20303,0.345891,7.5169,0.075169,119.739,1.00006,2.45439,12692.6,3377.75,0.000805398,100%,5,5,0,No Offset,3,2,,,,,2,2.17855E-09,837.51,1675.02,0,0,0,23248300,0.502499,0.0138112
9,15.3C,OK,2018-08-13,14:46:40,143613000,15.3454,0.0399,375681,6130,100,0,375681,6130,51,0.25,1.00081,0.875641,0.166967,0.166831,N,6,Default,Globular Proteins,1.02,0.185,0,Sphere,10 ul,JoshBuffer_wDTT,1.333,1.15245,3119,Aqueous,0.758299,3.92871E-07,4.65831,9.31661,0.389132,8.35352,0.0835352,123.225,0.999808,1.86871,12574.7,3532.16,0.000726826,100%,5,5,0,No Offset,2,1,,,,,1,3.5724E-07,5.12294,10.2459,1.23511,24.1093,0.058126,153.926,100,100
10,15.5C,OK,2018-08-13,14:47:17,143613000,15.499,0.0397,382546,7630,100,0,382546,7630,51,0.25,1.00081,0.875141,0.166738,0.166603,N,6,Default,Globular Proteins,1.02,0.185,0,Sphere,10 ul,JoshBuffer_wDTT,1.333,1.1477,3119,Aqueous,0.761543,3.87693E-07,4.74927,9.49854,0.49716,10.4681,0.104681,128.929,1.0003,2.78127,12400.8,3924.5,0.000905762,100%,5,5,0,No Offset,3,2,,,,,1,3.69038E-07,4.98935,9.97869,1.1316,22.6804,0.0514401,144.698,96.9033,99.9675
