Meas Num,Item,Status,Date,Time Stamp,Time(s),Temp(C),Temp Std Dev(C),Intensity(Cnt/s),Intensity Std Dev(Cnt/s),Laser Power(%),Attenuation Level(%),Normalized Intensity(Cnt/s),Normalized Intensity Std Dev(Cnt/s),Set Temp(C),Temp Ramp Rate(C/sec),Laser Monitor(V),Forward Monitor(V),Static Scattering Detector(V),Normalized Static Scattering Detector,Disposable Cuvette,Acq Time(s),Sample,Mw-R Model,Conc(mg/mL),dn/dC(mL/g),A2(mol mL/g^2),RG Model,Cuvette,Solvent Name,Solv Rfr Idx,Solv Visc(cp),Cauchy Coef(nm²),Temperature Model,Amp,Diffusion Coefficient(cm²/s),Radius(nm),Diameter(nm),Pd(nm),%Pd,Pd Index,Mw-R(kDa),Baseline,SOS,Lambda(1/s),Sigma(1/s²),RMS Error,% Acqs Unmarked,# Acqs,# Acqs Unmarked,# Acqs Marked,Mw-S(Da),#Peaks,#Peaks in Range,D10(nm),D50(nm),D90(nm),Span (D90 - D10)/D50,Peak Num,Peak Diffusion Coefficient(cm²/s) (M),Peak Radius(nm) (M),Peak Diameter(nm) (M),Peak Pd(nm) (M),Peak %Pd (M),Peak Pd Index (M),Peak Mw-R(kDa) (M),Peak %Intensity (M),Peak %Mass (M)
1,Meas 6,OK,2018-08-14,11:55:23,143689000,10.0053,0.000287,691328,47900,100,0,691328,47900,10,5,1.00093,0.867814,0.330063,0.329755,N,6,Default,Globular Proteins,1.02,0.185,0,Sphere,10 ul,JoshBuffer_wDTT,1.333,1.33868,3119,Aqueous,0.668142,3.0424E-07,5.08874,10.1775,0.924719,18.1719,0.181719,151.532,1.00335,8.87437,9578.63,4375.07,-1,20%,5,1,4,No Offset,4,2,,,,,1,3.11083E-07,4.9768,9.9536,0.944959,18.9873,0.0360516,143.848,95.8498,99.7328
1,Meas 6,OK,2018-08-14,11:55:23,143689000,10.0053,0.000287,691328,47900,100,0,691328,47900,10,5,1.00093,0.867814,0.330063,0.329755,N,6,Default,Globular Proteins,1.02,0.185,0,Sphere,10 ul,JoshBuffer_wDTT,1.333,1.33868,3119,Aqueous,0.668142,3.0424E-07,5.08874,10.1775,0.924719,18.1719,0.181719,151.532,1.00335,8.87437,9578.63,4375.07,-1,20%,5,1,4,No Offset,4,2,,,,,2,8.43883E-10,1834.61,3669.22,250.682,13.6641,0.0186707,145619000,4.15023,0.26722
2,Meas 7,OK,2018-08-14,11:56:00,143689000,10.003,0.00116,639450,18200,100,0,639450,18200,10,5,1.00093,0.869143,0.34337,0.343051,N,6,Default,Globular Proteins,1.02,0.185,0,Sphere,10 ul,JoshBuffer_wDTT,1.333,1.33877,3119,Aqueous,0.678788,3.16923E-07,4.88508,9.77016,0.868822,17.7852,0.177852,137.721,1.0024,6.77838,9995.93,4478.46,0.000637272,100%,5,5,0,No Offset,4,2,,,,,1,3.2818E-07,4.71751,9.43503,0.622014,13.1852,0.017385,126.921,94.5961,99.8991
2,Meas 7,OK,2018-08-14,11:56:00,143689000,10.003,0.00116,639450,18200,100,0,639450,18200,10,5,1.00093,0.869143,0.34337,0.343051,N,6,Default,Globular Proteins,1.02,0.185,0,Sphere,10 ul,JoshBuffer_wDTT,1.333,1.33877,3119,Aqueous,0.678788,3.16923E-07,4.88508,9.77016,0.868822,17.7852,0.177852,137.721,1.0024,6.77838,9995.93,4478.46,0.000637272,100%,5,5,0,No Offset,4,2,,,,,2,2.8935E-09,535.06,1070.12,101.3,18.9325,0.0358439,8148830,5.40391,0.100912
3,Meas 8,OK,2018-08-14,11:56:37,143689000,9.9994,0.000638,600597,7870,100,0,600597,7870,10,5,1.00093,0.872443,0.342105,0.341787,N,6,Default,Globular Proteins,1.02,0.185,0,Sphere,10 ul,JoshBuffer_wDTT,1.333,1.33892,3119,Aqueous,0.700883,3.22107E-07,4.80646,9.61292,0.683615,14.2228,0.142228,132.591,1.00044,1.55467,10263.7,3891.81,0.000598745,100%,5,5,0,No Offset,4,2,,,,,1,3.06419E-07,5.05254,10.1051,1.20479,23.8453,0.0568599,149.022,96.342,99.9085
3,Meas 8,OK,2018-08-14,11:56:37,143689000,9.9994,0.000638,600597,7870,100,0,600597,7870,10,5,1.00093,0.872443,0.342105,0.341787,N,6,Default,Globular Proteins,1.02,0.185,0,Sphere,10 ul,JoshBuffer_wDTT,1.333,1.33892,3119,Aqueous,0.700883,3.22107E-07,4.80646,9.61292,0.683615,14.2228,0.142228,132.591,1.00044,1.55467,10263.7,3891.81,0.000598745,100%,5,5,0,No Offset,4,2,,,,,2,1.91754E-09,807.387,1614.77,202.726,25.1089,0.0630458,21338700,3.65805,0.0915397
4,Meas 9,OK,2018-08-14,11:57:13,143689000,9.99793,0.000155,620261,14800,100,0,620261,14800,10,5,1.00093,0.873551,0.38495,0.384591,N,6,Default,Globular Proteins,1.02,0.185,0,Sphere,10 ul,JoshBuffer_wDTT,1.333,1.33897,3119,Aqueous,0.709333,3.13559E-07,4.93749,9.87498,0.809452,16.394,0.16394,141.203,1.00132,2.64903,9940.82,4166.43,0.000634045,100%,5,5,0,No Offset,6,2,,,,,1,3.1749E-07,4.87636,9.75273,0.578904,11.8716,0.0140936,137.147,96.907,99.9942
4,Meas 9,OK,2018-08-14,11:57:13,143689000,9.99793,0.000155,620261,14800,100,0,620261,14800,10,5,1.00093,0.873551,0.38495,0.384591,N,6,Default,Globular Proteins,1.02,0.185,0,Sphere,10 ul,JoshBuffer_wDTT,1.333,1.33897,3119,Aqueous,0.709333,3.13559E-07,4.93749,9.87498,0.809452,16.394,0.16394,141.203,1.00132,2.64903,9940.82,4166.43,0.000634045,100%,5,5,0,No Offset,6,2,,,,,2,1.79646E-08,86.1805,172.361,10.6435,12.3503,0.0152529,113671,3.09304,0.00575687
5,Meas 10,OK,2018-08-14,11:57:50,143689000,9.99789,5.41E-05,615590,2840,100,0,615590,2840,10,5,1.00093,0.87397,0.450945,0.450525,N,6,Default,Globular Proteins,1.02,0.185,0,Sphere,10 ul,JoshBuffer_wDTT,1.333,1.33897,3119,Aqueous,0.709484,3.1505E-07,4.91413,9.82826,0.855423,17.4074,0.174074,139.645,1.00178,4.18893,9952.63,4377.43,0.000607002,100%,5,5,0,No Offset,5,3,,,,,1,3.14268E-07,4.92635,9.8527,1.00869,20.4754,0.0419242,140.459,95.3837,99.8231
5,Meas 10,OK,2018-08-14,11:57:50,143689000,9.99789,5.41E-05,615590,2840,100,0,615590,2840,10,5,1.00093,0.87397,0.450945,0.450525,N,6,Default,Globular Proteins,1.02,0.185,0,Sphere,10 ul,JoshBuffer_wDTT,1.333,1.33897,3119,Aqueous,0.709484,3.1505E-07,4.91413,9.82826,0.855423,17.4074,0.174074,139.645,1.00178,4.18893,9952.63,4377.43,0.000607002,100%,5,5,0,No Offset,5,3,,,,,2,4.74939E-09,325.978,651.956,79.3094,24.3297,0.0591934,2555860,2.45317,0.0284683
5,Meas 10,OK,2018-08-14,11:57:50,143689000,9.99789,5.41E-05,615590,2840,100,0,615590,2840,10,5,1.00093,0.87397,0.450945,0.450525,N,6,Default,Globular Proteins,1.02,0.185,0,Sphere,10 ul,JoshBuffer_wDTT,1.333,1.33897,3119,Aqueous,0.709484,3.1505E-07,4.91413,9.82826,0.855423,17.4074,0.174074,139.645,1.00178,4.18893,9952.63,4377.43,0.000607002,100%,5,5,0,No Offset,5,3,,,,,3,6.99051E-10,2214.71,4429.42,865.383,39.0743,0.15268,226231000,2.1631,0.148382
6,10.0C,OK,2018-08-14,11:58:28,143689000,9.99985,0.00223,611388,9820,100,0,611388,9820,51,0.25,1.00094,0.875747,0.436745,0.436336,N,6,Default,Globular Proteins,1.02,0.185,0,Sphere,10 ul,JoshBuffer_wDTT,1.333,1.3389,3119,Aqueous,0.706063,3.17192E-07,4.88094,9.76189,0.758468,15.5394,0.155394,137.448,1.001,4.10228,10079.6,4060.29,0.000718668,100%,5,5,0,No Offset,5,2,,,,,1,3.20333E-07,4.83309,9.66617,0.673049,13.9259,0.019393,134.316,93.7421,99.8566
6,10.0C,OK,2018-08-14,11:58:28,143689000,9.99985,0.00223,611388,9820,100,0,611388,9820,51,0.25,1.00094,0.875747,0.436745,0.436336,N,6,Default,Globular Proteins,1.02,0.185,0,Sphere,10 ul,JoshBuffer_wDTT,1.333,1.3389,3119,Aqueous,0.706063,3.17192E-07,4.88094,9.76189,0.758468,15.5394,0.155394,137.448,1.001,4.10228,10079.6,4060.29,0.000718668,100%,5,5,0,No Offset,5,2,,,,,2,2.46377E-09,628.384,1256.77,98.5749,15.687,0.0246083,11870400,6.25791,0.143429
7,10.0C,OK,2018-08-14,11:59:05,143689000,10.0468,0.0252,727262,31300,100,0,727262,31300,51,0.25,1.00093,0.877,0.350187,0.34986,N,6,Default,Globular Proteins,1.02,0.185,0,Sphere,10 ul,JoshBuffer_wDTT,1.333,1.33706,3119,Aqueous,0,0.00156184,,0.00198253,0,0,0,3.15402E-07,1,1E+07,1E+07,0,-1,0%,5,0,5,No Offset,0,0,,,,,,,,,,,,,,
8,10.2C,OK,2018-08-14,11:59:42,143689000,10.1822,0.0405,815790,85400,100,0,815790,85400,51,0.25,1.00093,0.87678,0.396256,0.395886,N,6,Default,Globular Proteins,1.02,0.185,0,Sphere,10 ul,JoshBuffer_wDTT,1.333,1.3318,3119,Aqueous,0,0.00156184,,0.00199554,0,0,0,3.20264E-07,1,1E+07,1E+07,0,-1,0%,5,0,5,No Offset,0,0,,,,,,,,,,,,,,
9,10.5C,OK,2018-08-14,12:00:20,143689000,10.4998,0.182,925858,182000,100,0,925858,182000,51,0.25,0.995647,0.875691,0.415303,0.418162,N,6,Default,Globular Proteins,1.02,0.185,0,Sphere,10 ul,JoshBuffer_wDTT,1.333,1.31956,3119,Aqueous,0,0.00156184,,0.00201514,0,0,0,3.27672E-07,1,1E+07,1E+07,0,-1,0%,5,0,5,No Offset,0,0,,,,,,,,,,,,,,
10,10.8C,OK,2018-08-14,12:02:03,143689000,10.7617,0.0393,892507,71500,100,0,892507,71500,51,0.25,1.00093,0.877276,0.397155,0.396785,N,6,Default,Globular Proteins,1.02,0.185,0,Sphere,10 ul,JoshBuffer_wDTT,1.333,1.3096,3119,Aqueous,0,0.00156184,,0.00203485,0,0,0,3.35221E-07,1,1E+07,1E+07,0,-1,0%,5,0,5,No Offset,0,0,,,,,,,,,,,,,,
11,10.9C,OK,2018-08-14,12:02:42,143689000,10.9249,0.0402,1610940,461000,100,0,1610940,461000,51,0.25,1.00093,0.878779,0.433557,0.433154,N,6,Default,Globular Proteins,1.02,0.185,0,Sphere,10 ul,JoshBuffer_wDTT,1.333,1.30345,3119,Aqueous,0,0.00156184,,0.00204144,0,0,0,3.37769E-07,1,1E+07,1E+07,0,-1,0%,5,0,5,No Offset,0,0,,,,,,,,,,,,,,
12,11.1C,OK,2018-08-14,12:03:20,143689000,11.0821,0.0393,1769780,250000,100,0,1769780,250000,51,0.25,1.00093,0.878208,0.483669,0.48322,N,6,Default,Globular Proteins,1.02,0.185,0,Sphere,10 ul,JoshBuffer_wDTT,1.333,1.29757,3119,Aqueous,0,0.00156184,,0.00205467,0,0,0,3.42912E-07,1,1E+07,1E+07,0,-1,0%,5,0,5,No Offset,0,0,,,,,,,,,,,,,,
