Meas Num,Item,Status,Date,Time Stamp,Time(s),Temp(C),Temp Std Dev(C),Intensity(Cnt/s),Intensity Std Dev(Cnt/s),Laser Power(%),Attenuation Level(%),Normalized Intensity(Cnt/s),Normalized Intensity Std Dev(Cnt/s),Set Temp(C),Temp Ramp Rate(C/sec),Laser Monitor(V),Forward Monitor(V),Static Scattering Detector(V),Normalized Static Scattering Detector,Disposable Cuvette,Acq Time(s),Sample,Mw-R Model,Conc(mg/mL),dn/dC(mL/g),A2(mol mL/g^2),RG Model,Cuvette,Solvent Name,Solv Rfr Idx,Solv Visc(cp),Cauchy Coef(nm²),Temperature Model,Amp,Diffusion Coefficient(cm²/s),Radius(nm),Diameter(nm),Pd(nm),%Pd,Pd Index,Mw-R(kDa),Baseline,SOS,Lambda(1/s),Sigma(1/s²),RMS Error,% Acqs Unmarked,# Acqs,# Acqs Unmarked,# Acqs Marked,Mw-S(Da),#Peaks,#Peaks in Range,D10(nm),D50(nm),D90(nm),Span (D90 - D10)/D50,Peak Num,Peak Diffusion Coefficient(cm²/s) (M),Peak Radius(nm) (M),Peak Diameter(nm) (M),Peak Pd(nm) (M),Peak %Pd (M),Peak Pd Index (M),Peak Mw-R(kDa) (M),Peak %Intensity (M),Peak %Mass (M)
1,Meas 6,OK,2018-08-13,11:37:09,143601000,22.0035,0.000194,425920,4740,100,0,425920,4740,22,5,1.00086,0.854939,0.193175,0.193008,N,6,Default,Globular Proteins,1.02,0.185,0,Sphere,10 ul,JoshBuffer_wDTT,1.333,0.972322,3119,Aqueous,0.727998,4.88204E-07,4.55154,9.10308,0.182991,4.02041,0.0402041,116.718,1.00014,1.83044,15629.2,3037.83,0.000773557,100%,5,5,0,No Offset,3,2,,,,,2,2.73035E-09,813.846,1627.69,87.5554,10.7582,0.0115739,21740300,1.47864,0.0364876
2,Meas 7,OK,2018-08-13,11:37:46,143601000,22.0038,0.000453,427244,5210,100,0,427244,5210,22,5,1.00086,0.855448,0.211796,0.211614,N,6,Default,Globular Proteins,1.02,0.185,0,Sphere,10 ul,JoshBuffer_wDTT,1.333,0.972315,3119,Aqueous,0.733233,4.86447E-07,4.56798,9.13596,0.260164,5.69539,0.0569539,117.707,0.999798,2.08459,15572.8,3603.16,0.000782203,100%,5,5,0,No Offset,2,1,,,,,1,4.61425E-07,4.8157,9.63139,0.639221,13.2737,0.0176191,133.188,100,100
3,Meas 8,OK,2018-08-13,11:38:23,143601000,22.0011,0.000495,424181,921,100,0,424181,921,22,5,1.00086,0.855621,0.198432,0.19826,N,6,Default,Globular Proteins,1.02,0.185,0,Sphere,10 ul,JoshBuffer_wDTT,1.333,0.972379,3119,Aqueous,0.731123,4.85551E-07,4.57642,9.15283,0.214963,4.6972,0.046972,118.216,1.00002,1.80962,15544.2,3265.79,0.000656891,100%,5,5,0,No Offset,3,2,,,,,1,4.63257E-07,4.79666,9.59331,0.70351,14.6667,0.0215112,131.959,99.4617,99.9949
3,Meas 8,OK,2018-08-13,11:38:23,143601000,22.0011,0.000495,424181,921,100,0,424181,921,22,5,1.00086,0.855621,0.198432,0.19826,N,6,Default,Globular Proteins,1.02,0.185,0,Sphere,10 ul,JoshBuffer_wDTT,1.333,0.972379,3119,Aqueous,0.731123,4.85551E-07,4.57642,9.15283,0.214963,4.6972,0.046972,118.216,1.00002,1.80962,15544.2,3265.79,0.000656891,100%,5,5,0,No Offset,3,2,,,,,2,7.81737E-09,284.249,568.498,36.8551,12.9658,0.0168111,1855000,0.538267,0.00512143
4,Meas 9,OK,2018-08-13,11:39:00,143601000,22.0021,0.000589,422536,4300,100,0,422536,4300,22,5,1.00086,0.856291,0.176419,0.176267,N,6,Default,Globular Proteins,1.02,0.185,0,Sphere,10 ul,JoshBuffer_wDTT,1.333,0.972355,3119,Aqueous,0.733029,4.8456E-07,4.58577,9.17154,0.20677,4.50895,0.0450895,118.782,0.999918,1.45823,15512.5,3193.13,0.000714905,100%,5,5,0,No Offset,1,1,,,,,1,4.53649E-07,4.89824,9.79648,1.02478,20.9215,0.0437708,138.591,100,100
5,Meas 10,OK,2018-08-13,11:39:37,143601000,22.0029,0.000212,420471,1300,100,0,420471,1300,22,5,1.00086,0.857128,0.173103,0.172954,N,6,Default,Globular Proteins,1.02,0.185,0,Sphere,10 ul,JoshBuffer_wDTT,1.333,0.972336,3119,Aqueous,0.735708,4.90033E-07,4.53456,9.06912,0.277341,6.11615,0.0611615,115.702,0.999942,1.30369,15687.4,3761.86,0.00066877,100%,5,5,0,No Offset,2,1,,,,,1,4.4912E-07,4.94763,9.89526,1.25119,25.2888,0.0639521,141.883,100,100
6,22.0C,OK,2018-08-13,11:40:15,143601000,22.0035,0.0022,420267,2920,100,0,420267,2920,51,0.25,1.00086,0.85778,0.194871,0.194704,N,6,Default,Globular Proteins,1.02,0.185,0,Sphere,10 ul,JoshBuffer_wDTT,1.333,0.972322,3119,Aqueous,0.732151,4.87348E-07,4.55954,9.11908,0.269589,5.91265,0.0591265,117.198,0.999962,1.94559,15601.6,3678.24,0.000729386,100%,5,5,0,No Offset,2,1,,,,,1,4.52225E-07,4.91367,9.82733,1.02148,20.7886,0.0432167,139.614,100,100
7,22.1C,OK,2018-08-13,11:40:52,143601000,22.0527,0.0256,421046,2600,100,0,421046,2600,51,0.25,1.00086,0.858127,0.171265,0.171118,N,6,Default,Globular Proteins,1.02,0.185,0,Sphere,10 ul,JoshBuffer_wDTT,1.333,0.971167,3119,Aqueous,0.730145,4.91673E-07,4.5319,9.0638,0.22669,5.00211,0.0500211,115.543,0.999925,1.93597,15740.2,3412.68,0.000689066,100%,5,5,0,No Offset,2,1,,,,,1,4.63157E-07,4.81092,9.62184,0.812065,16.8796,0.0284922,132.879,100,100
8,22.2C,OK,2018-08-13,11:41:30,143601000,22.1903,0.0399,421897,1770,100,0,421897,1770,51,0.25,1.00086,0.858666,0.170996,0.170849,N,6,Default,Globular Proteins,1.02,0.185,0,Sphere,10 ul,JoshBuffer_wDTT,1.333,0.967948,3119,Aqueous,0.737906,4.92241E-07,4.53914,9.07828,0.328327,7.23325,0.0723325,115.975,1.00007,2.05617,15757.3,4112.2,0.000855334,100%,5,5,0,No Offset,2,1,,,,,1,4.43764E-07,5.03499,10.07,1.38892,27.5853,0.0760947,147.814,100,100
9,22.3C,OK,2018-08-13,11:42:07,143601000,22.344,0.0381,417112,4160,100,0,417112,4160,51,0.25,1.00086,0.859284,0.174518,0.174368,N,6,Default,Globular Proteins,1.02,0.185,0,Sphere,10 ul,JoshBuffer_wDTT,1.333,0.964373,3119,Aqueous,0.733746,4.95875E-07,4.51826,9.03653,0.220054,4.87032,0.0487032,114.731,0.999933,1.43194,15874.7,3396.17,0.000647459,100%,5,5,0,No Offset,2,1,,,,,1,4.63967E-07,4.829,9.65799,0.971251,20.1129,0.0404529,134.05,100,100
