Meas Num,Item,Status,Date,Time Stamp,Time(s),Temp(C),Temp Std Dev(C),Intensity(Cnt/s),Intensity Std Dev(Cnt/s),Laser Power(%),Attenuation Level(%),Normalized Intensity(Cnt/s),Normalized Intensity Std Dev(Cnt/s),Set Temp(C),Temp Ramp Rate(C/sec),Laser Monitor(V),Forward Monitor(V),Static Scattering Detector(V),Normalized Static Scattering Detector,Disposable Cuvette,Acq Time(s),Sample,Mw-R Model,Conc(mg/mL),dn/dC(mL/g),A2(mol mL/g^2),RG Model,Cuvette,Solvent Name,Solv Rfr Idx,Solv Visc(cp),Cauchy Coef(nm²),Temperature Model,Amp,Diffusion Coefficient(cm²/s),Radius(nm),Diameter(nm),Pd(nm),%Pd,Pd Index,Mw-R(kDa),Baseline,SOS,Lambda(1/s),Sigma(1/s²),RMS Error,% Acqs Unmarked,# Acqs,# Acqs Unmarked,# Acqs Marked,Mw-S(Da),#Peaks,#Peaks in Range,D10(nm),D50(nm),D90(nm),Span (D90 - D10)/D50,Peak Num,Peak Diffusion Coefficient(cm²/s) (M),Peak Radius(nm) (M),Peak Diameter(nm) (M),Peak Pd(nm) (M),Peak %Pd (M),Peak Pd Index (M),Peak Mw-R(kDa) (M),Peak %Intensity (M),Peak %Mass (M)
1,Meas 6,OK,2018-07-25,11:06:15,141958000,20.0177,0.00506,521588,5800,100,0,521588,5800,20,5,1.00072,0.83997,0.1892,0.189064,N,6,Default,Globular Proteins,1.02,0.185,0,Sphere,10 ul,JoshBuffer_wDTT,1.333,1.02094,3119,Aqueous,0.743562,4.55732e-007,4.61053,9.22107,0.254425,5.51834,0.0551834,120.288,1.00001,1.68656,14589.5,3322.65,0.000704913,100%,5,5,0,No Offset,4,2,,,,,1,1.7584e-006,1.19493,2.38987,0.163121,13.6511,0.0186353,5.10678,0.914937,35.3482
1,Meas 6,OK,2018-07-25,11:06:15,141958000,20.0177,0.00506,521588,5800,100,0,521588,5800,20,5,1.00072,0.83997,0.1892,0.189064,N,6,Default,Globular Proteins,1.02,0.185,0,Sphere,10 ul,JoshBuffer_wDTT,1.333,1.02094,3119,Aqueous,0.743562,4.55732e-007,4.61053,9.22107,0.254425,5.51834,0.0551834,120.288,1.00001,1.68656,14589.5,3322.65,0.000704913,100%,5,5,0,No Offset,4,2,,,,,2,4.5025e-007,4.66667,9.33333,0.636962,13.6492,0.01863,123.743,99.0851,64.6518
2,Meas 7,OK,2018-07-25,11:06:52,141958000,19.9958,0.00429,524947,5110,100,0,524947,5110,20,5,1.00075,0.841322,0.189414,0.189273,N,6,Default,Globular Proteins,1.02,0.185,0,Sphere,10 ul,JoshBuffer_wDTT,1.333,1.0215,3119,Aqueous,0.74123,4.52298e-007,4.64554,9.29109,0.229278,4.93543,0.0493543,122.436,0.999953,1.41149,14479.6,3118.37,0.000630965,100%,5,5,0,No Offset,3,1,,,,,1,4.52904e-007,4.63932,9.27864,0.631105,13.6034,0.0185052,122.053,100,100
3,Meas 8,OK,2018-07-25,11:07:29,141958000,19.9917,0.00154,525589,6470,100,0,525589,6470,20,5,1.00076,0.842447,0.190093,0.189949,N,6,Default,Globular Proteins,1.02,0.185,0,Sphere,10 ul,JoshBuffer_wDTT,1.333,1.0216,3119,Aqueous,0.744189,4.53149e-007,4.63681,9.27363,0.346737,7.47791,0.0747791,121.899,1.00006,1.14921,14505.6,3850.04,0.000557639,100%,5,5,0,No Offset,3,2,,,,,1,4.66471e-007,4.50439,9.00878,0.582882,12.9403,0.0167452,113.908,96.1227,99.9548
3,Meas 8,OK,2018-07-25,11:07:29,141958000,19.9917,0.00154,525589,6470,100,0,525589,6470,20,5,1.00076,0.842447,0.190093,0.189949,N,6,Default,Globular Proteins,1.02,0.185,0,Sphere,10 ul,JoshBuffer_wDTT,1.333,1.0216,3119,Aqueous,0.744189,4.53149e-007,4.63681,9.27363,0.346737,7.47791,0.0747791,121.899,1.00006,1.14921,14505.6,3850.04,0.000557639,100%,5,5,0,No Offset,3,2,,,,,2,9.89136e-008,21.2425,42.4849,0,0,0,4291.14,3.87726,0.0452159
4,Meas 9,OK,2018-07-25,11:08:05,141958000,19.9984,0.00127,532506,1690,100,0,532506,1690,20,5,1.00076,0.842779,0.190304,0.19016,N,6,Default,Globular Proteins,1.02,0.185,0,Sphere,10 ul,JoshBuffer_wDTT,1.333,1.02143,3119,Aqueous,0.736755,4.5264e-007,4.64203,9.28406,0.342092,7.36945,0.0736945,122.22,1.00003,1.29145,14489.5,3817.3,0.000618986,100%,5,5,0,No Offset,3,2,,,,,1,4.69073e-007,4.4794,8.9588,0.570013,12.7252,0.0161931,112.435,95.7314,99.9792
4,Meas 9,OK,2018-07-25,11:08:05,141958000,19.9984,0.00127,532506,1690,100,0,532506,1690,20,5,1.00076,0.842779,0.190304,0.19016,N,6,Default,Globular Proteins,1.02,0.185,0,Sphere,10 ul,JoshBuffer_wDTT,1.333,1.02143,3119,Aqueous,0.736755,4.5264e-007,4.64203,9.28406,0.342092,7.36945,0.0736945,122.22,1.00003,1.29145,14489.5,3817.3,0.000618986,100%,5,5,0,No Offset,3,2,,,,,2,7.20335e-008,29.1693,58.3386,3.08178,10.5651,0.0111622,9011.83,4.26865,0.0207586
5,Meas 10,OK,2018-07-25,11:08:43,141958000,20.0002,7.07e-005,530088,4380,100,0,530088,4380,20,5,1.00075,0.843215,0.190502,0.190358,N,6,Default,Globular Proteins,1.02,0.185,0,Sphere,10 ul,JoshBuffer_wDTT,1.333,1.02139,3119,Aqueous,0.739335,4.50438e-007,4.66472,9.32944,0.324099,6.94787,0.0694787,123.622,0.999915,1.44455,14419.4,3687.15,0.000638738,100%,5,5,0,No Offset,3,2,,,,,1,1.70238e-006,1.23425,2.46851,0.165793,13.4327,0.0180437,5.50867,1.42731,45.7135
5,Meas 10,OK,2018-07-25,11:08:43,141958000,20.0002,7.07e-005,530088,4380,100,0,530088,4380,20,5,1.00075,0.843215,0.190502,0.190358,N,6,Default,Globular Proteins,1.02,0.185,0,Sphere,10 ul,JoshBuffer_wDTT,1.333,1.02139,3119,Aqueous,0.739335,4.50438e-007,4.66472,9.32944,0.324099,6.94787,0.0694787,123.622,0.999915,1.44455,14419.4,3687.15,0.000638738,100%,5,5,0,No Offset,3,2,,,,,2,4.38643e-007,4.79016,9.58031,0.648562,13.5395,0.0183317,131.541,98.5727,54.2865
6,20.001C,OK,2018-07-25,11:09:21,141958000,20.0014,0.00214,527888,5250,100,0,527888,5250,51,0.25,1.00075,0.843951,0.190243,0.1901,N,6,Default,Globular Proteins,1.02,0.185,0,Sphere,10 ul,JoshBuffer_wDTT,1.333,1.02136,3119,Aqueous,0.74055,4.51014e-007,4.65877,9.31753,0.369854,7.93889,0.0793889,123.253,1.00009,1.1465,14436.6,3950.45,0.000575038,100%,5,5,0,No Offset,3,2,,,,,1,4.71027e-007,4.46082,8.92165,0.55953,12.5432,0.0157332,111.347,94.3381,99.9498
6,20.001C,OK,2018-07-25,11:09:21,141958000,20.0014,0.00214,527888,5250,100,0,527888,5250,51,0.25,1.00075,0.843951,0.190243,0.1901,N,6,Default,Globular Proteins,1.02,0.185,0,Sphere,10 ul,JoshBuffer_wDTT,1.333,1.02136,3119,Aqueous,0.74055,4.51014e-007,4.65877,9.31753,0.369854,7.93889,0.0793889,123.253,1.00009,1.1465,14436.6,3950.45,0.000575038,100%,5,5,0,No Offset,3,2,,,,,2,9.09966e-008,23.0906,46.1813,2.98065,12.9085,0.0166629,5216.1,5.66188,0.0501531
7,20.049C,OK,2018-07-25,11:09:58,141958000,20.0492,0.0256,527969,6090,100,0,527969,6090,51,0.25,1.00079,0.844608,0.190257,0.190107,N,6,Default,Globular Proteins,1.02,0.185,0,Sphere,10 ul,JoshBuffer_wDTT,1.333,1.02014,3119,Aqueous,0.741731,4.48003e-007,4.69008,9.38016,0.263079,5.60927,0.0560927,125.2,0.999918,1.80637,14342.1,3293.16,0.000705858,100%,5,5,0,No Offset,2,1,,,,,1,4.46705e-007,4.7037,9.4074,0.642957,13.6692,0.0186847,126.053,100,100
8,20.188C,OK,2018-07-25,11:10:36,141958000,20.1881,0.0407,520167,2760,100,0,520167,2760,51,0.25,1.00082,0.845281,0.190939,0.190782,N,6,Default,Globular Proteins,1.02,0.185,0,Sphere,10 ul,JoshBuffer_wDTT,1.333,1.01661,3119,Aqueous,0.742023,4.5281e-007,4.66667,9.33334,0.318075,6.81589,0.0681589,123.743,1.00008,1.46165,14495.5,3670.85,0.000635795,100%,5,5,0,No Offset,3,2,,,,,1,4.63331e-007,4.5607,9.12139,0.600203,13.1603,0.0173195,117.268,97.7744,99.9805
8,20.188C,OK,2018-07-25,11:10:36,141958000,20.1881,0.0407,520167,2760,100,0,520167,2760,51,0.25,1.00082,0.845281,0.190939,0.190782,N,6,Default,Globular Proteins,1.02,0.185,0,Sphere,10 ul,JoshBuffer_wDTT,1.333,1.01661,3119,Aqueous,0.742023,4.5281e-007,4.66667,9.33334,0.318075,6.81589,0.0681589,123.743,1.00008,1.46165,14495.5,3670.85,0.000635795,100%,5,5,0,No Offset,3,2,,,,,2,8.59715e-009,245.792,491.585,11.8765,4.83191,0.00233474,1320170,2.22562,0.0195388
9,20.345C,OK,2018-07-25,11:11:13,141958000,20.345,0.0395,525519,6890,100,0,525519,6890,51,0.25,1.00082,0.845306,0.191116,0.19096,N,6,Default,Globular Proteins,1.02,0.185,0,Sphere,10 ul,JoshBuffer_wDTT,1.333,1.01265,3119,Aqueous,0.735466,4.58019e-007,4.62666,9.25333,0.241131,5.21178,0.0521178,121.275,0.999911,1.30414,14662.8,3245.1,0.000619022,100%,5,5,0,No Offset,2,1,,,,,1,4.58375e-007,4.62307,9.24614,0.620618,13.4244,0.0180214,121.055,100,100
10,20.497C,OK,2018-07-25,11:11:51,141958000,20.4975,0.0386,523666,5840,100,0,523666,5840,51,0.25,1.00078,0.845319,0.191471,0.191322,N,6,Default,Globular Proteins,1.02,0.185,0,Sphere,10 ul,JoshBuffer_wDTT,1.333,1.00883,3119,Aqueous,0.736054,4.56327e-007,4.67011,9.34021,0.314531,6.73498,0.0673498,123.957,0.999997,1.34703,14608.1,3677.15,0.000581739,100%,5,5,0,No Offset,4,3,,,,,1,1.14955e-006,1.85385,3.70771,2.31152e-016,1.24687e-014,1.55469e-032,14.2699,1.50742,21.2413
