Meas Num,Item,Status,Date,Time Stamp,Time(s),Temp(C),Temp Std Dev(C),Intensity(Cnt/s),Intensity Std Dev(Cnt/s),Laser Power(%),Attenuation Level(%),Normalized Intensity(Cnt/s),Normalized Intensity Std Dev(Cnt/s),Set Temp(C),Temp Ramp Rate(C/sec),Laser Monitor(V),Forward Monitor(V),Static Scattering Detector(V),Normalized Static Scattering Detector,Disposable Cuvette,Acq Time(s),Sample,Mw-R Model,Conc(mg/mL),dn/dC(mL/g),A2(mol mL/g^2),RG Model,Cuvette,Solvent Name,Solv Rfr Idx,Solv Visc(cp),Cauchy Coef(nm²),Temperature Model,Amp,Diffusion Coefficient(cm²/s),Radius(nm),Diameter(nm),Pd(nm),%Pd,Pd Index,Mw-R(kDa),Baseline,SOS,Lambda(1/s),Sigma(1/s²),RMS Error,% Acqs Unmarked,# Acqs,# Acqs Unmarked,# Acqs Marked,Mw-S(Da),#Peaks,#Peaks in Range,D10(nm),D50(nm),D90(nm),Span (D90 - D10)/D50,Peak Num,Peak Diffusion Coefficient(cm²/s) (M),Peak Radius(nm) (M),Peak Diameter(nm) (M),Peak Pd(nm) (M),Peak %Pd (M),Peak Pd Index (M),Peak Mw-R(kDa) (M),Peak %Intensity (M),Peak %Mass (M)
1,Meas 6,OK,2018-08-09,15:56:54,143271000,15.0039,0.000436,420189,2200,100,0,420189,2200,15,5,1.00084,0.899208,0.186874,0.186717,N,6,Default,Globular Proteins,1.02,0.185,0,Sphere,10 ul,JoshBuffer_wDTT,1.333,1.16311,3119,Aqueous,0.761245,3.85255e-007,4.70718,9.41436,0.253924,5.39439,0.0539439,126.271,0.999906,3.19393,12333.3,2777.04,0.000715656,100%,5,5,0,No Offset,2,1,,,,,1,3.64436e-007,4.97608,9.95217,0.645362,12.9693,0.0168202,143.799,100,100
2,Meas 7,OK,2018-08-09,15:57:31,143271000,15.001,0.000886,419671,4680,100,0,419671,4680,15,5,1.00084,0.899135,0.187036,0.186879,N,6,Default,Globular Proteins,1.02,0.185,0,Sphere,10 ul,JoshBuffer_wDTT,1.333,1.16321,3119,Aqueous,0.760995,3.89132e-007,4.66028,9.32056,0.366936,7.8737,0.078737,123.347,0.999973,1.70766,12455.9,3394.1,0.000693317,100%,5,5,0,No Offset,2,1,,,,,1,3.50297e-007,5.17694,10.3539,1.4345,27.7095,0.0767815,157.749,100,100
3,Meas 8,OK,2018-08-09,15:58:08,143271000,14.998,0.000604,422456,2750,100,0,422456,2750,15,5,1.00084,0.898316,0.187786,0.187627,N,6,Default,Globular Proteins,1.02,0.185,0,Sphere,10 ul,JoshBuffer_wDTT,1.333,1.1633,3119,Aqueous,0.762436,3.83309e-007,4.73108,9.46216,0.356642,7.53827,0.0753827,127.776,0.999964,2.04255,12269.9,3269.99,0.000760425,100%,5,5,0,No Offset,2,1,,,,,1,3.4776e-007,5.21471,10.4294,1.38213,26.5045,0.070249,160.455,100,100
4,Meas 9,OK,2018-08-09,15:58:44,143271000,14.9969,0.000173,421822,4360,100,0,421822,4360,15,5,1.00085,0.898191,0.190596,0.190435,N,6,Default,Globular Proteins,1.02,0.185,0,Sphere,10 ul,JoshBuffer_wDTT,1.333,1.16333,3119,Aqueous,0.760069,3.84714e-007,4.7138,9.42759,0.380199,8.06567,0.0806567,126.687,0.999792,1.96254,12314.2,3397.15,0.000792099,100%,5,5,0,No Offset,2,1,,,,,1,3.52276e-007,5.14785,10.2957,1.19087,23.1333,0.0535149,155.683,100,100
5,Meas 10,OK,2018-08-09,15:59:21,143271000,14.9991,0.000809,415085,5730,100,0,415085,5730,15,5,1.00084,0.898294,0.192123,0.191961,N,6,Default,Globular Proteins,1.02,0.185,0,Sphere,10 ul,JoshBuffer_wDTT,1.333,1.16327,3119,Aqueous,0.755619,3.84744e-007,4.71344,9.42688,0.28836,6.11784,0.0611784,126.664,1.00014,2.65739,12316.8,2953.99,0.000787684,100%,5,5,0,No Offset,3,2,,,,,1,3.78027e-007,4.79718,9.59437,0.471124,9.82085,0.00964492,131.993,97.884,99.979
5,Meas 10,OK,2018-08-09,15:59:21,143271000,14.9991,0.000809,415085,5730,100,0,415085,5730,15,5,1.00084,0.898294,0.192123,0.191961,N,6,Default,Globular Proteins,1.02,0.185,0,Sphere,10 ul,JoshBuffer_wDTT,1.333,1.16327,3119,Aqueous,0.755619,3.84744e-007,4.71344,9.42688,0.28836,6.11784,0.0611784,126.664,1.00014,2.65739,12316.8,2953.99,0.000787684,100%,5,5,0,No Offset,3,2,,,,,2,5.82244e-009,311.461,622.923,42.1028,13.5178,0.0182731,2297450,2.11596,0.0210008
6,15.0C,OK,2018-08-09,15:59:59,143271000,15.0017,0.00176,421546,3370,100,0,421546,3370,51,0.25,1.00085,0.898148,0.189524,0.189364,N,6,Default,Globular Proteins,1.02,0.185,0,Sphere,10 ul,JoshBuffer_wDTT,1.333,1.16318,3119,Aqueous,0.758237,3.86993e-007,4.68604,9.37208,0.330941,7.06227,0.0706227,124.948,0.999998,3.32302,12388.3,3194.06,0.000921367,100%,5,5,0,No Offset,2,1,,,,,1,3.5333e-007,5.1325,10.265,1.24281,24.2146,0.0586344,154.599,100,100
7,15.0C,OK,2018-08-09,16:00:35,143271000,15.0464,0.0247,423532,3000,100,0,423532,3000,51,0.25,1.00085,0.899083,0.187594,0.187435,N,6,Default,Globular Proteins,1.02,0.185,0,Sphere,10 ul,JoshBuffer_wDTT,1.333,1.16178,3119,Aqueous,0.76297,3.8514e-007,4.70859,9.41717,0.243983,5.18167,0.0518167,126.36,1,2.5953,12329.7,2720.85,0.000769681,100%,5,5,0,No Offset,3,2,,,,,1,3.72618e-007,4.86682,9.73364,0.543292,11.1632,0.0124616,136.52,99.0008,99.9672
7,15.0C,OK,2018-08-09,16:00:35,143271000,15.0464,0.0247,423532,3000,100,0,423532,3000,51,0.25,1.00085,0.899083,0.187594,0.187435,N,6,Default,Globular Proteins,1.02,0.185,0,Sphere,10 ul,JoshBuffer_wDTT,1.333,1.16178,3119,Aqueous,0.76297,3.8514e-007,4.70859,9.41717,0.243983,5.18167,0.0518167,126.36,1,2.5953,12329.7,2720.85,0.000769681,100%,5,5,0,No Offset,3,2,,,,,2,2.17855e-009,832.42,1664.84,0,0,0,22919000,0.999184,0.0328301
8,15.2C,OK,2018-08-09,16:01:12,143271000,15.1813,0.0416,415893,4570,100,0,415893,4570,51,0.25,1.00085,0.898742,0.18732,0.187161,N,6,Default,Globular Proteins,1.02,0.185,0,Sphere,10 ul,JoshBuffer_wDTT,1.333,1.15755,3119,Aqueous,0.760873,3.88891e-007,4.69169,9.38339,0.343557,7.32266,0.0732266,125.301,0.999852,2.36495,12448.9,3269.1,0.000713116,100%,5,5,0,No Offset,2,1,,,,,1,3.60782e-007,5.05722,10.1144,0.917591,18.1442,0.032921,149.346,100,100
