Meas Num,Item,Status,Date,Time Stamp,Time(s),Temp(C),Temp Std Dev(C),Intensity(Cnt/s),Intensity Std Dev(Cnt/s),Laser Power(%),Attenuation Level(%),Normalized Intensity(Cnt/s),Normalized Intensity Std Dev(Cnt/s),Set Temp(C),Temp Ramp Rate(C/sec),Laser Monitor(V),Forward Monitor(V),Static Scattering Detector(V),Normalized Static Scattering Detector,Disposable Cuvette,Acq Time(s),Sample,Mw-R Model,Conc(mg/mL),dn/dC(mL/g),A2(mol mL/g^2),RG Model,Cuvette,Solvent Name,Solv Rfr Idx,Solv Visc(cp),Cauchy Coef(nm²),Temperature Model,Amp,Diffusion Coefficient(cm²/s),Radius(nm),Diameter(nm),Pd(nm),%Pd,Pd Index,Mw-R(kDa),Baseline,SOS,Lambda(1/s),Sigma(1/s²),RMS Error,% Acqs Unmarked,# Acqs,# Acqs Unmarked,# Acqs Marked,Mw-S(Da),#Peaks,#Peaks in Range,D10(nm),D50(nm),D90(nm),Span (D90 - D10)/D50,Peak Num,Peak Diffusion Coefficient(cm²/s) (M),Peak Radius(nm) (M),Peak Diameter(nm) (M),Peak Pd(nm) (M),Peak %Pd (M),Peak Pd Index (M),Peak Mw-R(kDa) (M),Peak %Intensity (M),Peak %Mass (M)
1,Meas 6,OK,2018-08-14,14:30:45,143698000,9.99637,0.000119,398525,2110,100,0,398525,2110,10,5,1.00088,0.898788,0.184721,0.184557,N,6,Default,Globular Proteins,1.02,0.185,0,Sphere,10 ul,JoshBuffer_wDTT,1.333,1.33903,3119,Aqueous,0.74821,3.28575E-07,4.71184,9.42369,0.318007,6.74911,0.0674911,126.564,0.999939,3.16808,10518.5,2650.51,0.000914267,100%,5,5,0,No Offset,2,1,,,,,1,3.03598E-07,5.09949,10.199,1.03612,20.3181,0.0412826,152.282,100,100
2,Meas 7,OK,2018-08-14,14:31:22,143698000,9.99703,0.000142,396029,2990,100,0,396029,2990,10,5,1.00088,0.898985,0.215066,0.214875,N,6,Default,Globular Proteins,1.02,0.185,0,Sphere,10 ul,JoshBuffer_wDTT,1.333,1.33901,3119,Aqueous,0.742961,3.32626E-07,4.65447,9.30894,0.324329,6.96812,0.0696812,122.988,0.999886,2.3803,10648,2726.78,0.000793418,100%,5,5,0,No Offset,2,1,,,,,1,3.06261E-07,5.05516,10.1103,1.11355,22.028,0.0485234,149.203,100,100
3,Meas 8,OK,2018-08-14,14:31:59,143698000,9.99767,0.000311,420680,14000,100,0,420680,14000,10,5,1.00089,0.895443,0.227303,0.227101,N,6,Default,Globular Proteins,1.02,0.185,0,Sphere,10 ul,JoshBuffer_wDTT,1.333,1.33898,3119,Aqueous,0.73136,3.20806E-07,4.82596,9.65191,0.695797,14.4178,0.144178,133.853,1.00054,3.61339,10218.7,3909.62,0.000966997,80%,5,4,1,No Offset,3,1,,,,,1,2.9884E-07,5.18069,10.3614,1.42396,27.4858,0.0755472,158.017,100,100
4,Meas 9,OK,2018-08-14,14:32:36,143698000,9.99854,0.000118,437533,21800,100,0,437533,21800,10,5,1.00089,0.893227,0.240113,0.2399,N,6,Default,Globular Proteins,1.02,0.185,0,Sphere,10 ul,JoshBuffer_wDTT,1.333,1.33895,3119,Aqueous,0.712562,3.17789E-07,4.87178,9.74355,0.634981,13.0339,0.130339,136.845,1.00216,5.83168,10143.6,3640.25,0.00119047,40%,5,2,3,No Offset,3,1,,,,,1,3.23537E-07,4.78523,9.57046,0.734912,15.3579,0.0235866,131.225,100,100
5,Meas 10,OK,2018-08-14,14:33:13,143698000,9.99962,0.000467,413630,16700,100,0,413630,16700,10,5,1.00089,0.891164,0.267194,0.266955,N,6,Default,Globular Proteins,1.02,0.185,0,Sphere,10 ul,JoshBuffer_wDTT,1.333,1.33891,3119,Aqueous,0.758311,3.17767E-07,4.87211,9.74421,0.759882,15.5966,0.155966,136.867,1.00027,2.66416,10096.5,4077.83,0.000791397,100%,5,5,0,No Offset,4,3,,,,,1,2.9955E-07,5.16841,10.3368,1.38993,26.8929,0.0723228,157.141,94.324,99.9635
5,Meas 10,OK,2018-08-14,14:33:13,143698000,9.99962,0.000467,413630,16700,100,0,413630,16700,10,5,1.00089,0.891164,0.267194,0.266955,N,6,Default,Globular Proteins,1.02,0.185,0,Sphere,10 ul,JoshBuffer_wDTT,1.333,1.33891,3119,Aqueous,0.758311,3.17767E-07,4.87211,9.74421,0.759882,15.5966,0.155966,136.867,1.00027,2.66416,10096.5,4077.83,0.000791397,100%,5,5,0,No Offset,4,3,,,,,2,2.34294E-08,66.0793,132.159,12.4757,18.88,0.0356453,61061.5,4.04962,0.00525559
5,Meas 10,OK,2018-08-14,14:33:13,143698000,9.99962,0.000467,413630,16700,100,0,413630,16700,10,5,1.00089,0.891164,0.267194,0.266955,N,6,Default,Globular Proteins,1.02,0.185,0,Sphere,10 ul,JoshBuffer_wDTT,1.333,1.33891,3119,Aqueous,0.758311,3.17767E-07,4.87211,9.74421,0.759882,15.5966,0.155966,136.867,1.00027,2.66416,10096.5,4077.83,0.000791397,100%,5,5,0,No Offset,4,3,,,,,3,2.73812E-09,565.423,1130.85,104.118,18.4142,0.0339084,9272170,1.62634,0.0312308
6,10.0C,OK,2018-08-14,14:33:51,143698000,10.0028,0.00234,391954,3240,100,0,391954,3240,51,0.25,1.00089,0.884329,0.785941,0.785239,N,6,Default,Globular Proteins,1.02,0.185,0,Sphere,10 ul,JoshBuffer_wDTT,1.333,1.33878,3119,Aqueous,0.749572,3.30187E-07,4.68884,9.37768,0.319944,6.82352,0.0682352,125.123,1.00009,2.82252,10570,2678.28,0.000897583,100%,5,5,0,No Offset,3,2,,,,,1,3.11848E-07,4.96458,9.92917,0.967105,19.4801,0.0379474,143.023,99.0152,99.9788
6,10.0C,OK,2018-08-14,14:33:51,143698000,10.0028,0.00234,391954,3240,100,0,391954,3240,51,0.25,1.00089,0.884329,0.785941,0.785239,N,6,Default,Globular Proteins,1.02,0.185,0,Sphere,10 ul,JoshBuffer_wDTT,1.333,1.33878,3119,Aqueous,0.749572,3.30187E-07,4.68884,9.37768,0.319944,6.82352,0.0682352,125.123,1.00009,2.82252,10570,2678.28,0.000897583,100%,5,5,0,No Offset,3,2,,,,,2,2.2592E-09,685.284,1370.57,60.4773,8.82514,0.00778831,14539500,0.984783,0.0212099
7,10.1C,OK,2018-08-14,14:34:28,143698000,10.0515,0.0255,491144,32800,100,0,491144,32800,51,0.25,1.0009,0.886039,1.68276,1.68126,N,6,Default,Globular Proteins,1.02,0.185,0,Sphere,10 ul,JoshBuffer_wDTT,1.333,1.33688,3119,Aqueous,0,0.00156184,0.000994514,0.00198903,0,0,0,3.17825E-07,1,1E+07,1E+07,0,-1,0%,5,0,5,No Offset,0,0,,,,,,,,,,,,,,
