Meas Num,Item,Status,Date,Time Stamp,Time(s),Temp(C),Temp Std Dev(C),Intensity(Cnt/s),Intensity Std Dev(Cnt/s),Laser Power(%),Attenuation Level(%),Normalized Intensity(Cnt/s),Normalized Intensity Std Dev(Cnt/s),Set Temp(C),Temp Ramp Rate(C/sec),Laser Monitor(V),Forward Monitor(V),Static Scattering Detector(V),Normalized Static Scattering Detector,Disposable Cuvette,Acq Time(s),Sample,Mw-R Model,Conc(mg/mL),dn/dC(mL/g),A2(mol mL/g^2),RG Model,Cuvette,Solvent Name,Solv Rfr Idx,Solv Visc(cp),Cauchy Coef(nm²),Temperature Model,Amp,Diffusion Coefficient(cm²/s),Radius(nm),Diameter(nm),Pd(nm),%Pd,Pd Index,Mw-R(kDa),Baseline,SOS,Lambda(1/s),Sigma(1/s²),RMS Error,% Acqs Unmarked,# Acqs,# Acqs Unmarked,# Acqs Marked,Mw-S(Da),#Peaks,#Peaks in Range,D10(nm),D50(nm),D90(nm),Span (D90 - D10)/D50,Peak Num,Peak Diffusion Coefficient(cm²/s) (M),Peak Radius(nm) (M),Peak Diameter(nm) (M),Peak Pd(nm) (M),Peak %Pd (M),Peak Pd Index (M),Peak Mw-R(kDa) (M),Peak %Intensity (M),Peak %Mass (M)
1,Meas 6,OK,2018-07-30,13:06:18,142397000,14.9988,0.00048,358317,3590,100,0,358317,3590,15,5,1.00097,0.899533,0.1631,0.162943,N,6,Default,Globular Proteins,1.02,0.185,0,Sphere,10 ul,JoshBuffer_wDTT,1.333,1.16327,3119,Aqueous,0.757481,4.02865e-007,4.50142,9.00284,0.301424,6.6962,0.066962,113.733,0.999886,1.91419,12896.7,3236.91,0.000844521,100%,5,5,0,No Offset,3,2,,,,,1,2.60386e-006,0.696453,1.39291,0,0,0,1.44403,0.791328,71.5508
1,Meas 6,OK,2018-07-30,13:06:18,142397000,14.9988,0.00048,358317,3590,100,0,358317,3590,15,5,1.00097,0.899533,0.1631,0.162943,N,6,Default,Globular Proteins,1.02,0.185,0,Sphere,10 ul,JoshBuffer_wDTT,1.333,1.16327,3119,Aqueous,0.757481,4.02865e-007,4.50142,9.00284,0.301424,6.6962,0.066962,113.733,0.999886,1.91419,12896.7,3236.91,0.000844521,100%,5,5,0,No Offset,3,2,,,,,2,3.82957e-007,4.73543,9.47087,0.246589,5.20732,0.00271162,128.052,99.2087,28.4492
2,Meas 7,OK,2018-07-30,13:06:55,142397000,14.9964,0.000527,359055,3130,100,0,359055,3130,15,5,1.00096,0.899623,0.16315,0.162993,N,6,Default,Globular Proteins,1.02,0.185,0,Sphere,10 ul,JoshBuffer_wDTT,1.333,1.16335,3119,Aqueous,0.761321,3.99889e-007,4.53493,9.06985,0.249834,5.5091,0.055091,115.723,1.00006,2.64767,12801.8,2913.06,0.000812951,100%,5,5,0,No Offset,3,2,,,,,1,4.03502e-007,4.49432,8.98864,0.427597,9.51418,0.00905195,113.314,96.4745,99.9401
2,Meas 7,OK,2018-07-30,13:06:55,142397000,14.9964,0.000527,359055,3130,100,0,359055,3130,15,5,1.00096,0.899623,0.16315,0.162993,N,6,Default,Globular Proteins,1.02,0.185,0,Sphere,10 ul,JoshBuffer_wDTT,1.333,1.16335,3119,Aqueous,0.761321,3.99889e-007,4.53493,9.06985,0.249834,5.5091,0.055091,115.723,1.00006,2.64767,12801.8,2913.06,0.000812951,100%,5,5,0,No Offset,3,2,,,,,2,9.89136e-008,18.3338,36.6677,0,0,0,3040.46,3.52554,0.0598802
3,Meas 8,OK,2018-07-30,13:07:33,142397000,14.9953,5e-005,359995,4020,100,0,359995,4020,15,5,1.00096,0.899688,0.163174,0.163018,N,6,Default,Globular Proteins,1.02,0.185,0,Sphere,10 ul,JoshBuffer_wDTT,1.333,1.16338,3119,Aqueous,0.75839,4.00064e-007,4.53294,9.06589,0.259258,5.71941,0.0571941,115.605,1,2.42585,12807.4,2969.57,0.000910984,100%,5,5,0,No Offset,4,2,,,,,1,1.31442e-006,1.37967,2.75934,0.187918,13.6205,0.0185518,7.14864,1.50947,37.2327
3,Meas 8,OK,2018-07-30,13:07:33,142397000,14.9953,5e-005,359995,4020,100,0,359995,4020,15,5,1.00096,0.899688,0.163174,0.163018,N,6,Default,Globular Proteins,1.02,0.185,0,Sphere,10 ul,JoshBuffer_wDTT,1.333,1.16338,3119,Aqueous,0.75839,4.00064e-007,4.53294,9.06589,0.259258,5.71941,0.0571941,115.605,1,2.42585,12807.4,2969.57,0.000910984,100%,5,5,0,No Offset,4,2,,,,,2,3.82251e-007,4.74417,9.48834,0.269868,5.68841,0.0032358,128.605,98.4905,62.7673
4,Meas 9,OK,2018-07-30,13:08:10,142397000,14.9958,0.000324,356583,3150,100,0,356583,3150,15,5,1.00097,0.89968,0.163208,0.163051,N,6,Default,Globular Proteins,1.02,0.185,0,Sphere,10 ul,JoshBuffer_wDTT,1.333,1.16337,3119,Aqueous,0.760892,4.03488e-007,4.49448,8.98895,0.334663,7.44608,0.0744608,113.323,0.999952,2.35459,12916,3420.69,0.000896299,100%,5,5,0,No Offset,3,2,,,,,1,1.16124e-006,1.56166,3.12333,0.0756611,4.8449,0.00234731,9.5529,2.92841,47.0895
4,Meas 9,OK,2018-07-30,13:08:10,142397000,14.9958,0.000324,356583,3150,100,0,356583,3150,15,5,1.00097,0.89968,0.163208,0.163051,N,6,Default,Globular Proteins,1.02,0.185,0,Sphere,10 ul,JoshBuffer_wDTT,1.333,1.16337,3119,Aqueous,0.760892,4.03488e-007,4.49448,8.98895,0.334663,7.44608,0.0744608,113.323,0.999952,2.35459,12916,3420.69,0.000896299,100%,5,5,0,No Offset,3,2,,,,,2,3.77044e-007,4.80969,9.61938,0.39767,8.26809,0.00683613,132.799,97.0716,52.9105
5,Meas 10,OK,2018-07-30,13:08:47,142397000,14.9978,0.000587,356530,2890,100,0,356530,2890,15,5,1.00096,0.899644,0.16376,0.163603,N,6,Default,Globular Proteins,1.02,0.185,0,Sphere,10 ul,JoshBuffer_wDTT,1.333,1.16331,3119,Aqueous,0.757538,4.03832e-007,4.49064,8.98128,0.257048,5.72408,0.0572408,113.097,0.999811,2.36132,12928,2998.77,0.000786125,100%,5,5,0,No Offset,2,1,,,,,1,3.86037e-007,4.69765,9.39529,0.0838875,1.78574,0.000318885,125.674,100,100
6,15.0C,OK,2018-07-30,13:09:24,142397000,15.0009,0.00221,359156,4930,100,0,359156,4930,51,0.25,1.00097,0.899721,0.163302,0.163144,N,6,Default,Globular Proteins,1.02,0.185,0,Sphere,10 ul,JoshBuffer_wDTT,1.333,1.16321,3119,Aqueous,0.760489,3.99734e-007,4.53668,9.07337,0.189248,4.17151,0.0417151,115.828,0.999865,3.30142,12796.9,2533.64,0.00090321,100%,5,5,0,No Offset,2,1,,,,,1,3.85833e-007,4.70014,9.40027,0.103294,2.19768,0.000482979,125.83,100,100
