Meas Num,Item,Status,Date,Time Stamp,Time(s),Temp(C),Temp Std Dev(C),Intensity(Cnt/s),Intensity Std Dev(Cnt/s),Laser Power(%),Attenuation Level(%),Normalized Intensity(Cnt/s),Normalized Intensity Std Dev(Cnt/s),Set Temp(C),Temp Ramp Rate(C/sec),Laser Monitor(V),Forward Monitor(V),Static Scattering Detector(V),Normalized Static Scattering Detector,Disposable Cuvette,Acq Time(s),Sample,Mw-R Model,Conc(mg/mL),dn/dC(mL/g),A2(mol mL/g^2),RG Model,Cuvette,Solvent Name,Solv Rfr Idx,Solv Visc(cp),Cauchy Coef(nm²),Temperature Model,Amp,Diffusion Coefficient(cm²/s),Radius(nm),Diameter(nm),Pd(nm),%Pd,Pd Index,Mw-R(kDa),Baseline,SOS,Lambda(1/s),Sigma(1/s²),RMS Error,% Acqs Unmarked,# Acqs,# Acqs Unmarked,# Acqs Marked,Mw-S(Da),#Peaks,#Peaks in Range,D10(nm),D50(nm),D90(nm),Span (D90 - D10)/D50,Peak Num,Peak Diffusion Coefficient(cm²/s) (M),Peak Radius(nm) (M),Peak Diameter(nm) (M),Peak Pd(nm) (M),Peak %Pd (M),Peak Pd Index (M),Peak Mw-R(kDa) (M),Peak %Intensity (M),Peak %Mass (M)
1,Meas 6,OK,2018-08-10,11:36:44,143342000,24.9972,0.00147,402652,5110,100,0,402652,5110,25,5,1.0012,0.874942,0.162963,0.162768,N,6,Default,Globular Proteins,1.02,0.185,0,Sphere,10 ul,JoshBuffer_wDTT,1.333,0.906008,3119,Aqueous,0.744952,5.35663e-007,4.49785,8.9957,0.420944,9.35877,0.0935877,113.522,0.999832,3.70648,17141.2,5108.62,0.00074646,100%,5,5,0,68971.8,2,1,,,,,1,4.85431e-007,4.96329,9.92657,0.986285,19.8716,0.0394881,142.935,100,100
2,Meas 7,OK,2018-08-10,11:37:20,143342000,25.0013,0.000444,430552,12700,100,0,430552,12700,25,5,1.0012,0.875767,0.165093,0.164895,N,6,Default,Globular Proteins,1.02,0.185,0,Sphere,10 ul,JoshBuffer_wDTT,1.333,0.905923,3119,Aqueous,0.752835,5.04638e-007,4.77438,9.54877,0.816375,17.0991,0.170991,130.53,1.00069,3.46566,15960.7,6916.45,0.000624958,100%,5,5,0,69983.7,3,2,,,,,1,4.95515e-007,4.86228,9.72457,0.683855,14.0645,0.019781,136.222,94.6539,99.9543
2,Meas 7,OK,2018-08-10,11:37:20,143342000,25.0013,0.000444,430552,12700,100,0,430552,12700,25,5,1.0012,0.875767,0.165093,0.164895,N,6,Default,Globular Proteins,1.02,0.185,0,Sphere,10 ul,JoshBuffer_wDTT,1.333,0.905923,3119,Aqueous,0.752835,5.04638e-007,4.77438,9.54877,0.816375,17.0991,0.170991,130.53,1.00069,3.46566,15960.7,6916.45,0.000624958,100%,5,5,0,69983.7,3,2,,,,,2,1.22555e-008,196.592,393.185,24.8081,12.6191,0.0159241,782828,5.34613,0.0456685
3,Meas 8,OK,2018-08-10,11:37:57,143342000,25.0015,0.000187,400005,1540,100,0,400005,1540,25,5,1.0012,0.876797,0.164809,0.164611,N,6,Default,Globular Proteins,1.02,0.185,0,Sphere,10 ul,JoshBuffer_wDTT,1.333,0.905918,3119,Aqueous,0.761631,5.36198e-007,4.49337,8.98673,0.461506,10.2708,0.102708,113.257,0.999941,3.82147,17152.5,5372.4,0.000684063,100%,5,5,0,69881,2,1,,,,,1,4.76391e-007,5.05748,10.115,1.30434,25.7903,0.0665137,149.363,100,100
4,Meas 9,OK,2018-08-10,11:38:34,143342000,25.0009,7.07e-005,403719,5120,100,0,403719,5120,25,5,1.0012,0.877167,0.164043,0.163846,N,6,Default,Globular Proteins,1.02,0.185,0,Sphere,10 ul,JoshBuffer_wDTT,1.333,0.905931,3119,Aqueous,0.761133,5.35406e-007,4.50002,9.00004,0.442262,9.82801,0.0982801,113.65,0.999881,4.5829,17130.3,5239.7,0.000745809,100%,5,5,0,69426.6,3,2,,,,,1,4.85484e-007,4.96274,9.92549,0.97423,19.6309,0.0385371,142.899,99.7902,99.9981
4,Meas 9,OK,2018-08-10,11:38:34,143342000,25.0009,7.07e-005,403719,5120,100,0,403719,5120,25,5,1.0012,0.877167,0.164043,0.163846,N,6,Default,Globular Proteins,1.02,0.185,0,Sphere,10 ul,JoshBuffer_wDTT,1.333,0.905931,3119,Aqueous,0.761133,5.35406e-007,4.50002,9.00004,0.442262,9.82801,0.0982801,113.65,0.999881,4.5829,17130.3,5239.7,0.000745809,100%,5,5,0,69426.6,3,2,,,,,2,9.90357e-009,243.28,486.559,33.2218,13.6558,0.0186481,1288810,0.209846,0.00187556
5,Meas 10,OK,2018-08-10,11:39:10,143342000,25.0011,5e-005,401366,2720,100,0,401366,2720,25,5,1.0012,0.87729,0.16274,0.162544,N,6,Default,Globular Proteins,1.02,0.185,0,Sphere,10 ul,JoshBuffer_wDTT,1.333,0.905927,3119,Aqueous,0.768832,5.38392e-007,4.47506,8.95012,0.373274,8.3412,0.083412,112.181,0.9999,3.97158,17232.5,4836.81,0.000832059,100%,5,5,0,68970.8,2,1,,,,,1,4.95441e-007,4.86301,9.72602,0.859587,17.676,0.0312442,136.27,100,100
6,25.0C,OK,2018-08-10,11:39:48,143342000,25.0019,0.0019,401950,1830,100,0,401950,1830,51,0.25,1.0012,0.877574,0.162739,0.162544,N,6,Default,Globular Proteins,1.02,0.185,0,Sphere,10 ul,JoshBuffer_wDTT,1.333,0.90591,3119,Aqueous,0.767157,5.35561e-007,4.49872,8.99743,0.34161,7.5935,0.075935,113.573,0.999961,4.02782,17143.5,4585.83,0.000805736,100%,5,5,0,68971.7,3,2,,,,,1,5.09047e-007,4.73303,9.46606,0.522829,11.0464,0.0122023,127.9,98.4953,99.9968
6,25.0C,OK,2018-08-10,11:39:48,143342000,25.0019,0.0019,401950,1830,100,0,401950,1830,51,0.25,1.0012,0.877574,0.162739,0.162544,N,6,Default,Globular Proteins,1.02,0.185,0,Sphere,10 ul,JoshBuffer_wDTT,1.333,0.90591,3119,Aqueous,0.767157,5.35561e-007,4.49872,8.99743,0.34161,7.5935,0.075935,113.573,0.999961,4.02782,17143.5,4585.83,0.000805736,100%,5,5,0,68971.7,3,2,,,,,2,5.73494e-008,42.0115,84.023,0,0,0,21161,1.50469,0.00321614
7,25.0C,OK,2018-08-10,11:40:25,143342000,25.0475,0.0247,400417,3120,100,0,400417,3120,51,0.25,1.0012,0.877374,0.16324,0.163044,N,6,Default,Globular Proteins,1.02,0.185,0,Sphere,10 ul,JoshBuffer_wDTT,1.333,0.90496,3119,Aqueous,0.762303,5.35255e-007,4.50128,9.00256,0.450133,10.0001,0.100001,113.725,0.999993,3.12943,17124.3,5286.84,0.000835836,100%,5,5,0,69063.2,2,1,,,,,1,4.71805e-007,5.10663,10.2133,1.46636,28.7149,0.0824545,152.782,100,100
8,25.2C,OK,2018-08-10,11:41:02,143342000,25.1804,0.0408,400454,3740,100,0,400454,3740,51,0.25,1.0012,0.877763,0.164267,0.164071,N,6,Default,Globular Proteins,1.02,0.185,0,Sphere,10 ul,JoshBuffer_wDTT,1.333,0.9022,3119,Aqueous,0.762943,5.39048e-007,4.49322,8.98644,0.417434,9.29031,0.0929031,113.249,0.999893,2.96836,17249.8,5121.15,0.00064526,100%,5,5,0,69609.2,2,1,,,,,1,4.8697e-007,4.97374,9.94749,1.12754,22.6699,0.0513925,143.641,100,100
9,25.3C,OK,2018-08-10,11:41:39,143342000,25.338,0.0398,399116,4180,100,0,399116,4180,51,0.25,1.0012,0.877605,0.164352,0.164154,N,6,Default,Globular Proteins,1.02,0.185,0,Sphere,10 ul,JoshBuffer_wDTT,1.333,0.898945,3119,Aqueous,0.766881,5.34355e-007,4.54461,9.08922,0.371545,8.17551,0.0817551,116.303,0.99991,3.27907,17103.7,4751.34,0.000656237,100%,5,5,0,69612.7,2,1,,,,,1,4.89574e-007,4.9603,9.9206,0.975659,19.6693,0.0386883,142.734,100,100
10,25.5C,OK,2018-08-10,11:42:16,143342000,25.4887,0.0389,403087,2250,100,0,403087,2250,51,0.25,1.0012,0.878172,0.164402,0.164205,N,6,Default,Globular Proteins,1.02,0.185,0,Sphere,10 ul,JoshBuffer_wDTT,1.333,0.895852,3119,Aqueous,0.765696,5.43487e-007,4.49175,8.9835,0.484558,10.7877,0.107877,113.162,1.00016,4.82108,17381.1,5592.11,0.000866075,100%,5,5,0,69429.5,3,2,,,,,1,5.30333e-007,4.60317,9.20633,0.441312,9.58714,0.00919133,119.839,95.7872,99.9572
10,25.5C,OK,2018-08-10,11:42:16,143342000,25.4887,0.0389,403087,2250,100,0,403087,2250,51,0.25,1.0012,0.878172,0.164402,0.164205,N,6,Default,Globular Proteins,1.02,0.185,0,Sphere,10 ul,JoshBuffer_wDTT,1.333,0.895852,3119,Aqueous,0.765696,5.43487e-007,4.49175,8.9835,0.484558,10.7877,0.107877,113.162,1.00016,4.82108,17381.1,5592.11,0.000866075,100%,5,5,0,69429.5,3,2,,,,,2,1.12416e-008,217.159,434.319,7.95085,3.6613,0.00134051,988036,4.21282,0.0427697
11,25.6C,OK,2018-08-10,11:42:53,143342000,25.641,0.0401,434682,14100,100,0,434682,14100,51,0.25,1.0012,0.878189,0.164685,0.164486,N,6,Default,Globular Proteins,1.02,0.185,0,Sphere,10 ul,JoshBuffer_wDTT,1.333,0.892745,3119,Aqueous,0.765675,5.04372e-007,4.85279,9.70557,0.77795,16.031,0.16031,135.6,1.00015,3.51004,16007.2,6596.36,0.000696329,100%,5,5,0,69718.9,3,2,,,,,1,4.69316e-007,5.21526,10.4305,1.60469,30.7691,0.0946736,160.495,92.4239,99.7935
11,25.6C,OK,2018-08-10,11:42:53,143342000,25.641,0.0401,434682,14100,100,0,434682,14100,51,0.25,1.0012,0.878189,0.164685,0.164486,N,6,Default,Globular Proteins,1.02,0.185,0,Sphere,10 ul,JoshBuffer_wDTT,1.333,0.892745,3119,Aqueous,0.765675,5.04372e-007,4.85279,9.70557,0.77795,16.031,0.16031,135.6,1.00015,3.51004,16007.2,6596.36,0.000696329,100%,5,5,0,69718.9,3,2,,,,,2,1.50266e-007,16.2885,32.577,2.22652,13.6693,0.018685,2305.35,7.57607,0.206516
12,25.8C,OK,2018-08-10,11:43:30,143342000,25.7982,0.0402,404439,5950,100,0,404439,5950,51,0.25,1.00121,0.878329,0.165718,0.165519,N,6,Default,Globular Proteins,1.02,0.185,0,Sphere,10 ul,JoshBuffer_wDTT,1.333,0.889556,3119,Aqueous,0.76738,5.42652e-007,4.53407,9.06815,0.431258,9.5115,0.095115,115.673,0.999871,4.44845,17364,5219.5,0.000784554,100%,5,5,0,70342.7,2,1,,,,,1,4.89835e-007,5.02297,10.0459,1.13857,22.6674,0.051381,146.989,100,100
13,26.0C,OK,2018-08-10,11:44:07,143342000,25.9541,0.0391,396744,2780,100,0,396744,2780,51,0.25,1.0012,0.878577,0.166465,0.166265,N,6,Default,Globular Proteins,1.02,0.185,0,Sphere,10 ul,JoshBuffer_wDTT,1.333,0.886414,3119,Aqueous,0.765923,5.492e-007,4.50341,9.00681,0.429641,9.54036,0.0954036,113.85,0.999917,4.58008,17573.4,5290.92,0.000825935,100%,5,5,0,70524.6,3,1,,,,,1,4.95671e-007,4.98974,9.97949,1.03369,20.7162,0.0429162,144.724,100,100
14,26.1C,OK,2018-08-10,11:44:45,143342000,26.1081,0.0408,400725,2070,100,0,400725,2070,51,0.25,1.0012,0.87868,0.165185,0.164987,N,6,Default,Globular Proteins,1.02,0.185,0,Sphere,10 ul,JoshBuffer_wDTT,1.333,0.883328,3119,Aqueous,0.766803,5.46856e-007,4.53448,9.06895,0.44693,9.85627,0.0985627,115.697,1.00001,3.39969,17496.4,5359.92,0.000777962,100%,5,5,0,69890.7,3,2,,,,,1,5.14415e-007,4.82044,9.64088,0.988068,20.4975,0.0420146,133.495,96.8567,99.9906
14,26.1C,OK,2018-08-10,11:44:45,143342000,26.1081,0.0408,400725,2070,100,0,400725,2070,51,0.25,1.0012,0.87868,0.165185,0.164987,N,6,Default,Globular Proteins,1.02,0.185,0,Sphere,10 ul,JoshBuffer_wDTT,1.333,0.883328,3119,Aqueous,0.766803,5.46856e-007,4.53448,9.06895,0.44693,9.85627,0.0985627,115.697,1.00001,3.39969,17496.4,5359.92,0.000777962,100%,5,5,0,69890.7,3,2,,,,,2,6.96865e-008,35.5837,71.1675,4.5125,12.6814,0.0160817,14348.2,3.14328,0.00942687
