Meas Num,Item,Status,Date,Time Stamp,Time(s),Temp(C),Temp Std Dev(C),Intensity(Cnt/s),Intensity Std Dev(Cnt/s),Laser Power(%),Attenuation Level(%),Normalized Intensity(Cnt/s),Normalized Intensity Std Dev(Cnt/s),Set Temp(C),Temp Ramp Rate(C/sec),Laser Monitor(V),Forward Monitor(V),Static Scattering Detector(V),Normalized Static Scattering Detector,Disposable Cuvette,Acq Time(s),Sample,Mw-R Model,Conc(mg/mL),dn/dC(mL/g),A2(mol mL/g^2),RG Model,Cuvette,Solvent Name,Solv Rfr Idx,Solv Visc(cp),Cauchy Coef(nm²),Temperature Model,Amp,Diffusion Coefficient(cm²/s),Radius(nm),Diameter(nm),Pd(nm),%Pd,Pd Index,Mw-R(kDa),Baseline,SOS,Lambda(1/s),Sigma(1/s²),RMS Error,% Acqs Unmarked,# Acqs,# Acqs Unmarked,# Acqs Marked,Mw-S(Da),#Peaks,#Peaks in Range,D10(nm),D50(nm),D90(nm),Span (D90 - D10)/D50,Peak Num,Peak Diffusion Coefficient(cm²/s) (M),Peak Radius(nm) (M),Peak Diameter(nm) (M),Peak Pd(nm) (M),Peak %Pd (M),Peak Pd Index (M),Peak Mw-R(kDa) (M),Peak %Intensity (M),Peak %Mass (M)
1,Meas 9,OK,2019-02-06,13:50:59,158906000,25.0032,0.000324,387451,6160,100,0,387451,6160,25,5,1.00076,0.890923,0.21857,0.218403,N,6,Default,Globular Proteins,1.02,0.185,0,Sphere,10 ul,JoshBuffer_wDTT,1.333,0.905883,3119,Aqueous,0.743031,4.82441E-07,4.99406,9.98811,0.81874,16.3943,0.163943,145.017,1.00005,2.9808,15294.9,6410.53,0.000848137,100%,5,5,0,94190.2,3,2,,,,,1,4.50765E-07,5.34499,10.69,1.45021,27.1321,0.0736153,169.992,92.8667,99.9845
1,Meas 9,OK,2019-02-06,13:50:59,158906000,25.0032,0.000324,387451,6160,100,0,387451,6160,25,5,1.00076,0.890923,0.21857,0.218403,N,6,Default,Globular Proteins,1.02,0.185,0,Sphere,10 ul,JoshBuffer_wDTT,1.333,0.905883,3119,Aqueous,0.743031,4.82441E-07,4.99406,9.98811,0.81874,16.3943,0.163943,145.017,1.00005,2.9808,15294.9,6410.53,0.000848137,100%,5,5,0,94190.2,3,2,,,,,2,5.2637E-08,45.7727,91.5453,7.11464,15.5434,0.0241598,25862.2,7.1333,0.0155425
2,Meas 10,OK,2019-02-06,13:51:36,158906000,25.0035,0.000122,387529,3540,100,0,387529,3540,25,5,1.00077,0.890835,0.217761,0.217595,N,6,Default,Globular Proteins,1.02,0.185,0,Sphere,10 ul,JoshBuffer_wDTT,1.333,0.905877,3119,Aqueous,0.745162,4.74057E-07,5.08237,10.1647,0.859719,16.9157,0.169157,151.089,1.00008,3.51288,15003.4,6444.96,0.000855833,100%,5,5,0,93831.6,3,2,,,,,1,4.66343E-07,5.16645,10.3329,1.22527,23.7159,0.0562443,157.002,88.3624,99.9104
2,Meas 10,OK,2019-02-06,13:51:36,158906000,25.0035,0.000122,387529,3540,100,0,387529,3540,25,5,1.00077,0.890835,0.217761,0.217595,N,6,Default,Globular Proteins,1.02,0.185,0,Sphere,10 ul,JoshBuffer_wDTT,1.333,0.905877,3119,Aqueous,0.745162,4.74057E-07,5.08237,10.1647,0.859719,16.9157,0.169157,151.089,1.00008,3.51288,15003.4,6444.96,0.000855833,100%,5,5,0,93831.6,3,2,,,,,2,8.97497E-08,26.8451,53.6901,3.57689,13.3242,0.0177534,7420.54,11.6376,0.0895744
3,Meas 11,OK,2019-02-06,13:52:13,158906000,25.003,0.0001,387634,2190,100,0,387634,2190,25,5,1.00077,0.891846,0.217026,0.216859,N,6,Default,Globular Proteins,1.02,0.185,0,Sphere,10 ul,JoshBuffer_wDTT,1.333,0.905887,3119,Aqueous,0.743126,4.78015E-07,5.04029,10.0806,0.755185,14.983,0.14983,148.178,1.00004,2.86049,15209.4,5971.94,0.000746746,100%,5,5,0,93556.2,3,2,,,,,1,4.49502E-07,5.36001,10.72,1.31781,24.5859,0.0604467,171.112,93.4975,99.9792
3,Meas 11,OK,2019-02-06,13:52:13,158906000,25.003,0.0001,387634,2190,100,0,387634,2190,25,5,1.00077,0.891846,0.217026,0.216859,N,6,Default,Globular Proteins,1.02,0.185,0,Sphere,10 ul,JoshBuffer_wDTT,1.333,0.905887,3119,Aqueous,0.743126,4.78015E-07,5.04029,10.0806,0.755185,14.983,0.14983,148.178,1.00004,2.86049,15209.4,5971.94,0.000746746,100%,5,5,0,93556.2,3,2,,,,,2,6.19456E-08,38.8944,77.7888,4.63939,11.9282,0.0142281,17668.4,6.50247,0.0207537
4,Meas 12,OK,2019-02-06,13:52:50,158906000,25.0028,7.07E-05,391864,5580,100,0,391864,5580,25,5,1.00076,0.89248,0.217186,0.217022,N,6,Default,Globular Proteins,1.02,0.185,0,Sphere,10 ul,JoshBuffer_wDTT,1.333,0.905893,3119,Aqueous,0.734909,4.72335E-07,5.10091,10.2018,0.927586,18.1847,0.181847,152.381,1.00005,3.11788,14870,6796.3,0.000667845,100%,5,5,0,93741.9,3,2,,,,,1,4.05521E-07,5.94133,11.8827,2.14937,36.1766,0.130875,217.727,96.3378,99.9674
4,Meas 12,OK,2019-02-06,13:52:50,158906000,25.0028,7.07E-05,391864,5580,100,0,391864,5580,25,5,1.00076,0.89248,0.217186,0.217022,N,6,Default,Globular Proteins,1.02,0.185,0,Sphere,10 ul,JoshBuffer_wDTT,1.333,0.905893,3119,Aqueous,0.734909,4.72335E-07,5.10091,10.2018,0.927586,18.1847,0.181847,152.381,1.00005,3.11788,14870,6796.3,0.000667845,100%,5,5,0,93741.9,3,2,,,,,2,9.65297E-09,249.595,499.191,60.2091,24.1227,0.0581904,1368460,3.66216,0.0325648
5,Meas 13,OK,2019-02-06,13:53:26,158906000,25.0027,7.07E-05,402325,2280,100,0,402325,2280,25,5,1.00076,0.89226,0.216858,0.216693,N,6,Default,Globular Proteins,1.02,0.185,0,Sphere,10 ul,JoshBuffer_wDTT,1.333,0.905893,3119,Aqueous,0.733877,4.63395E-07,5.19931,10.3986,1.05235,20.2402,0.202402,159.349,1.0001,3.89393,14388.9,7361.41,0.000963482,100%,5,5,0,93565.9,3,2,,,,,1,5.24812E-07,4.59085,9.1817,0.390939,8.5156,0.00725155,119.09,75.9821,99.5862
5,Meas 13,OK,2019-02-06,13:53:26,158906000,25.0027,7.07E-05,402325,2280,100,0,402325,2280,25,5,1.00076,0.89226,0.216858,0.216693,N,6,Default,Globular Proteins,1.02,0.185,0,Sphere,10 ul,JoshBuffer_wDTT,1.333,0.905893,3119,Aqueous,0.733877,4.63395E-07,5.19931,10.3986,1.05235,20.2402,0.202402,159.349,1.0001,3.89393,14388.9,7361.41,0.000963482,100%,5,5,0,93565.9,3,2,,,,,2,1.19087E-07,20.2318,40.4636,2.63648,13.0314,0.0169816,3828.58,24.0179,0.413805
