Meas Num,Item,Status,Date,Time Stamp,Time(s),Temp(C),Temp Std Dev(C),Intensity(Cnt/s),Intensity Std Dev(Cnt/s),Laser Power(%),Attenuation Level(%),Normalized Intensity(Cnt/s),Normalized Intensity Std Dev(Cnt/s),Set Temp(C),Temp Ramp Rate(C/sec),Laser Monitor(V),Forward Monitor(V),Static Scattering Detector(V),Normalized Static Scattering Detector,Disposable Cuvette,Acq Time(s),Sample,Mw-R Model,Conc(mg/mL),dn/dC(mL/g),A2(mol mL/g^2),RG Model,Cuvette,Solvent Name,Solv Rfr Idx,Solv Visc(cp),Cauchy Coef(nm²),Temperature Model,Amp,Diffusion Coefficient(cm²/s),Radius(nm),Diameter(nm),Pd(nm),%Pd,Pd Index,Mw-R(kDa),Baseline,SOS,Lambda(1/s),Sigma(1/s²),RMS Error,% Acqs Unmarked,# Acqs,# Acqs Unmarked,# Acqs Marked,Mw-S(Da),#Peaks,#Peaks in Range,D10(nm),D50(nm),D90(nm),Span (D90 - D10)/D50,Peak Num,Peak Diffusion Coefficient(cm²/s) (M),Peak Radius(nm) (M),Peak Diameter(nm) (M),Peak Pd(nm) (M),Peak %Pd (M),Peak Pd Index (M),Peak Mw-R(kDa) (M),Peak %Intensity (M),Peak %Mass (M)
99,Meas 107,OK,2019-02-06,15:03:13,158910000,24.9897,0.000367,1654500,27300,100,0,1654500,27300,25,15,1.00075,0.868262,1.14808,1.14721,N,6,Default,Globular Proteins,1.02,0.185,0,Sphere,10 ul,JoshBuffer_wDTT,1.333,0.906165,3119,Aqueous,0.677841,1.93741E-07,12.4358,24.8717,2.67793,21.534,0.21534,1226.03,0.999627,5.14215,5926.71,3309.23,0.000528625,100%,5,5,0,521297,3,2,,,,,1,1.10226E-06,2.18581,4.37162,0.667124,30.5207,0.0931512,20.9799,1.23448,69.8482
99,Meas 107,OK,2019-02-06,15:03:13,158910000,24.9897,0.000367,1654500,27300,100,0,1654500,27300,25,15,1.00075,0.868262,1.14808,1.14721,N,6,Default,Globular Proteins,1.02,0.185,0,Sphere,10 ul,JoshBuffer_wDTT,1.333,0.906165,3119,Aqueous,0.677841,1.93741E-07,12.4358,24.8717,2.67793,21.534,0.21534,1226.03,0.999627,5.14215,5926.71,3309.23,0.000528625,100%,5,5,0,521297,3,2,,,,,2,1.44124E-07,16.7171,33.4342,7.51218,44.9371,0.201934,2449.8,98.7655,30.1518
100,Meas 108,OK,2019-02-06,15:03:51,158910000,24.9915,0.00018,1686810,21900,100,0,1686810,21900,25,15,1.00075,0.867827,1.15972,1.15885,N,6,Default,Globular Proteins,1.02,0.185,0,Sphere,10 ul,JoshBuffer_wDTT,1.333,0.906127,3119,Aqueous,0.680998,1.92452E-07,12.5192,25.0383,2.69207,21.5036,0.215036,1245.33,0.999357,8.31672,5889.89,3281.07,0.000926249,100%,5,5,0,526849,2,2,,,,,1,1.13744E-06,2.1182,4.2364,0.384678,18.1606,0.0329807,19.4929,2.32854,84.541
100,Meas 108,OK,2019-02-06,15:03:51,158910000,24.9915,0.00018,1686810,21900,100,0,1686810,21900,25,15,1.00075,0.867827,1.15972,1.15885,N,6,Default,Globular Proteins,1.02,0.185,0,Sphere,10 ul,JoshBuffer_wDTT,1.333,0.906127,3119,Aqueous,0.680998,1.92452E-07,12.5192,25.0383,2.69207,21.5036,0.215036,1245.33,0.999357,8.31672,5889.89,3281.07,0.000926249,100%,5,5,0,526849,2,2,,,,,2,1.46766E-07,16.4162,32.8324,6.22361,37.9113,0.143727,2347.87,97.6715,15.459
101,Meas 109,OK,2019-02-06,15:04:29,158910000,24.991,0.000158,1665800,10300,100,0,1665800,10300,25,15,1.00075,0.868125,1.16574,1.16487,N,6,Default,Globular Proteins,1.02,0.185,0,Sphere,10 ul,JoshBuffer_wDTT,1.333,0.906137,3119,Aqueous,0.679004,1.93848E-07,12.429,24.858,2.64016,21.2419,0.212419,1224.45,0.999962,5.57444,5954.06,3253.49,0.000841356,100%,5,5,0,529568,4,3,,,,,1,1.14291E-06,2.10806,4.21613,0.3124,14.8193,0.0219611,19.2753,1.53816,74.1117
101,Meas 109,OK,2019-02-06,15:04:29,158910000,24.991,0.000158,1665800,10300,100,0,1665800,10300,25,15,1.00075,0.868125,1.16574,1.16487,N,6,Default,Globular Proteins,1.02,0.185,0,Sphere,10 ul,JoshBuffer_wDTT,1.333,0.906137,3119,Aqueous,0.679004,1.93848E-07,12.429,24.858,2.64016,21.2419,0.212419,1224.45,0.999962,5.57444,5954.06,3253.49,0.000841356,100%,5,5,0,529568,4,3,,,,,2,1.54396E-07,15.6049,31.2097,6.16848,39.5292,0.156256,2085.3,96.7158,25.4428
101,Meas 109,OK,2019-02-06,15:04:29,158910000,24.991,0.000158,1665800,10300,100,0,1665800,10300,25,15,1.00075,0.868125,1.16574,1.16487,N,6,Default,Globular Proteins,1.02,0.185,0,Sphere,10 ul,JoshBuffer_wDTT,1.333,0.906137,3119,Aqueous,0.679004,1.93848E-07,12.429,24.858,2.64016,21.2419,0.212419,1224.45,0.999962,5.57444,5954.06,3253.49,0.000841356,100%,5,5,0,529568,4,3,,,,,3,1.31707E-09,1829.32,3658.63,319.831,17.4836,0.0305677,144638000,1.74602,0.445507
102,Meas 110,OK,2019-02-06,15:05:07,158910000,24.9918,0.000638,1678860,11800,100,0,1678860,11800,25,15,1.00075,0.868316,1.15218,1.15132,N,6,Default,Globular Proteins,1.02,0.185,0,Sphere,10 ul,JoshBuffer_wDTT,1.333,0.906121,3119,Aqueous,0.685998,1.92248E-07,12.5324,25.0649,2.67319,21.3302,0.213302,1248.43,0.999615,7.07645,5898,3243.5,0.000722245,100%,5,5,0,522313,3,2,,,,,1,1.28702E-06,1.87203,3.74406,0.288938,15.4345,0.0238224,14.5994,1.49516,79.3544
102,Meas 110,OK,2019-02-06,15:05:07,158910000,24.9918,0.000638,1678860,11800,100,0,1678860,11800,25,15,1.00075,0.868316,1.15218,1.15132,N,6,Default,Globular Proteins,1.02,0.185,0,Sphere,10 ul,JoshBuffer_wDTT,1.333,0.906121,3119,Aqueous,0.685998,1.92248E-07,12.5324,25.0649,2.67319,21.3302,0.213302,1248.43,0.999615,7.07645,5898,3243.5,0.000722245,100%,5,5,0,522313,3,2,,,,,2,1.46006E-07,16.5016,33.0033,6.91974,41.9337,0.175843,2376.56,98.5048,20.6456
103,Meas 111,OK,2019-02-06,15:05:45,158910000,24.9944,0.000406,1655070,36800,100,0,1655070,36800,25,15,1.00075,0.86865,1.1487,1.14784,N,6,Default,Globular Proteins,1.02,0.185,0,Sphere,10 ul,JoshBuffer_wDTT,1.333,0.906067,3119,Aqueous,0.682607,1.93506E-07,12.451,24.902,2.66954,21.4404,0.214404,1229.52,0.999512,6.61606,5927.53,3286.37,0.000551446,100%,5,5,0,522213,2,2,,,,,1,1.0166E-06,2.36999,4.73997,0.323811,13.663,0.0186677,25.3518,2.93136,82.7523
