Meas Num,Item,Status,Date,Time Stamp,Time(s),Temp(C),Temp Std Dev(C),Intensity(Cnt/s),Intensity Std Dev(Cnt/s),Laser Power(%),Attenuation Level(%),Normalized Intensity(Cnt/s),Normalized Intensity Std Dev(Cnt/s),Set Temp(C),Temp Ramp Rate(C/sec),Laser Monitor(V),Forward Monitor(V),Static Scattering Detector(V),Normalized Static Scattering Detector,Disposable Cuvette,Acq Time(s),Sample,Mw-R Model,Conc(mg/mL),dn/dC(mL/g),A2(mol mL/g^2),RG Model,Cuvette,Solvent Name,Solv Rfr Idx,Solv Visc(cp),Cauchy Coef(nm²),Temperature Model,Amp,Diffusion Coefficient(cm²/s),Radius(nm),Diameter(nm),Pd(nm),%Pd,Pd Index,Mw-R(kDa),Baseline,SOS,Lambda(1/s),Sigma(1/s²),RMS Error,% Acqs Unmarked,# Acqs,# Acqs Unmarked,# Acqs Marked,Mw-S(Da),#Peaks,#Peaks in Range,D10(nm),D50(nm),D90(nm),Span (D90 - D10)/D50,Peak Num,Peak Diffusion Coefficient(cm²/s) (I),Peak Radius(nm) (I),Peak Diameter(nm) (I),Peak Pd(nm) (I),Peak %Pd (I),Peak Pd Index (I),Peak Mw-R(kDa) (I),Peak %Intensity (I),Peak %Mass (I)
1,Meas 1,OK,2021-07-15,11:15:37,2.36e+008,30.1,0.0124,1.53e+005,1.51e+003,100,0,1.53e+005,1.51e+003,30,5,1,0.842,0.066,0.0659,N,6,Default,Globular Proteins,1.02,0.185,0,Sphere,10 ul,JoshBuffer_wDTT,1.33,0.81,3.12e+003,Aqueous,0.661,8.46e-007,3.24,6.49,0.467,14.4,0.144,52.8,1,13.5,2.69e+004,1.03e+004,0.00173,100%,5,5,0,2.49e+004,4,2,,,,,1,4.61e-006,0.595,1.19,0.0457,7.68,0.0059,0.998,2.37,84.8
1,Meas 1,OK,2021-07-15,11:15:37,2.36e+008,30.1,0.0124,1.53e+005,1.51e+003,100,0,1.53e+005,1.51e+003,30,5,1,0.842,0.066,0.0659,N,6,Default,Globular Proteins,1.02,0.185,0,Sphere,10 ul,JoshBuffer_wDTT,1.33,0.81,3.12e+003,Aqueous,0.661,8.46e-007,3.24,6.49,0.467,14.4,0.144,52.8,1,13.5,2.69e+004,1.03e+004,0.00173,100%,5,5,0,2.49e+004,4,2,,,,,2,7.38e-007,3.72,7.44,0.482,13,0.0168,72.7,97.6,15.2
2,Meas 2,OK,2021-07-15,11:16:14,2.36e+008,30,0.0112,1.51e+005,1.46e+003,100,0,1.51e+005,1.46e+003,30,5,1,0.842,0.0659,0.0659,N,6,Default,Globular Proteins,1.02,0.185,0,Sphere,10 ul,JoshBuffer_wDTT,1.33,0.81,3.12e+003,Aqueous,0.658,8.67e-007,3.16,6.31,0.399,12.6,0.126,49.5,1,11.8,2.77e+004,9.76e+003,0.00162,100%,5,5,0,2.48e+004,3,2,,,,,1,8.03e-007,3.41,6.81,0.443,13,0.0169,59.2,97.1,100
2,Meas 2,OK,2021-07-15,11:16:14,2.36e+008,30,0.0112,1.51e+005,1.46e+003,100,0,1.51e+005,1.46e+003,30,5,1,0.842,0.0659,0.0659,N,6,Default,Globular Proteins,1.02,0.185,0,Sphere,10 ul,JoshBuffer_wDTT,1.33,0.81,3.12e+003,Aqueous,0.658,8.67e-007,3.16,6.31,0.399,12.6,0.126,49.5,1,11.8,2.77e+004,9.76e+003,0.00162,100%,5,5,0,2.48e+004,3,2,,,,,2,3.79e-008,72.1,144,9.81,13.6,0.0185,7.49e+004,2.85,0.00133
3,Meas 3,OK,2021-07-15,11:16:50,2.36e+008,30,0.00364,1.53e+005,1.25e+003,100,0,1.53e+005,1.25e+003,30,5,1,0.843,0.0667,0.0666,N,6,Default,Globular Proteins,1.02,0.185,0,Sphere,10 ul,JoshBuffer_wDTT,1.33,0.811,3.12e+003,Aqueous,0.664,8.71e-007,3.14,6.28,0.448,14.3,0.143,49,1,12.1,2.78e+004,1.05e+004,0.00158,100%,5,5,0,2.52e+004,3,2,,,,,1,8.19e-007,3.34,6.68,0.406,12.1,0.0147,56.6,94,99.9
3,Meas 3,OK,2021-07-15,11:16:50,2.36e+008,30,0.00364,1.53e+005,1.25e+003,100,0,1.53e+005,1.25e+003,30,5,1,0.843,0.0667,0.0666,N,6,Default,Globular Proteins,1.02,0.185,0,Sphere,10 ul,JoshBuffer_wDTT,1.33,0.811,3.12e+003,Aqueous,0.664,8.71e-007,3.14,6.28,0.448,14.3,0.143,49,1,12.1,2.78e+004,1.05e+004,0.00158,100%,5,5,0,2.52e+004,3,2,,,,,2,1.85e-007,14.8,29.6,1.79,12.1,0.0146,1.84e+003,6.02,0.08
4,Meas 4,OK,2021-07-15,11:17:27,2.36e+008,30,0.000255,1.53e+005,1.52e+003,100,0,1.53e+005,1.52e+003,30,5,1,0.844,0.0664,0.0663,N,6,Default,Globular Proteins,1.02,0.185,0,Sphere,10 ul,JoshBuffer_wDTT,1.33,0.811,3.12e+003,Aqueous,0.663,8.71e-007,3.14,6.28,0.457,14.5,0.145,49,1,10.5,2.77e+004,1.07e+004,0.00164,100%,5,5,0,2.51e+004,3,2,,,,,1,8.37e-007,3.27,6.54,0.344,10.5,0.0111,53.7,93.2,100
4,Meas 4,OK,2021-07-15,11:17:27,2.36e+008,30,0.000255,1.53e+005,1.52e+003,100,0,1.53e+005,1.52e+003,30,5,1,0.844,0.0664,0.0663,N,6,Default,Globular Proteins,1.02,0.185,0,Sphere,10 ul,JoshBuffer_wDTT,1.33,0.811,3.12e+003,Aqueous,0.663,8.71e-007,3.14,6.28,0.457,14.5,0.145,49,1,10.5,2.77e+004,1.07e+004,0.00164,100%,5,5,0,2.51e+004,3,2,,,,,2,9.89e-008,27.7,55.3,0,0,0,7.96e+003,6.81,0.014
5,Meas 5,OK,2021-07-15,11:18:04,2.36e+008,30,0.00139,1.52e+005,931,100,0,1.52e+005,931,30,5,1,0.843,0.0663,0.0662,N,6,Default,Globular Proteins,1.02,0.185,0,Sphere,10 ul,JoshBuffer_wDTT,1.33,0.811,3.12e+003,Aqueous,0.668,8.76e-007,3.12,6.25,0.479,15.3,0.153,48.4,1,12.4,2.78e+004,1.11e+004,0.0015,100%,5,5,0,2.5e+004,3,2,,,,,1,7.76e-007,3.53,7.05,0.482,13.7,0.0186,64.3,98.2,100
5,Meas 5,OK,2021-07-15,11:18:04,2.36e+008,30,0.00139,1.52e+005,931,100,0,1.52e+005,931,30,5,1,0.843,0.0663,0.0662,N,6,Default,Globular Proteins,1.02,0.185,0,Sphere,10 ul,JoshBuffer_wDTT,1.33,0.811,3.12e+003,Aqueous,0.668,8.76e-007,3.12,6.25,0.479,15.3,0.153,48.4,1,12.4,2.78e+004,1.11e+004,0.0015,100%,5,5,0,2.5e+004,3,2,,,,,2,2.18e-008,125,251,16.9,13.5,0.0182,2.74e+005,1.82,0.00483
6,30.007C,OK,2021-07-15,11:18:41,2.36e+008,30,0.00202,1.53e+005,1.25e+003,100,0,1.53e+005,1.25e+003,55,0.25,1,0.844,0.0663,0.0662,N,6,Default,Globular Proteins,1.02,0.185,0,Sphere,10 ul,JoshBuffer_wDTT,1.33,0.811,3.12e+003,Aqueous,0.668,8.59e-007,3.19,6.37,0.385,12.1,0.121,50.6,1,10.3,2.74e+004,9.41e+003,0.00141,100%,5,5,0,2.5e+004,3,1,,,,,1,7.63e-007,3.59,7.17,0.489,13.6,0.0186,66.9,100,100
7,30.056C,OK,2021-07-15,11:19:18,2.36e+008,30.1,0.0258,1.53e+005,1.65e+003,100,0,1.53e+005,1.65e+003,55,0.25,1,0.844,0.077,0.0769,N,6,Default,Globular Proteins,1.02,0.185,0,Sphere,10 ul,JoshBuffer_wDTT,1.33,0.81,3.12e+003,Aqueous,0.666,8.85e-007,3.1,6.2,0.493,15.9,0.159,47.6,1,13.7,2.81e+004,1.15e+004,0.00167,100%,5,5,0,2.99e+004,4,3,,,,,1,3.66e-006,0.75,1.5,0.0852,11.4,0.0129,1.72,2.8,76.5
7,30.056C,OK,2021-07-15,11:19:18,2.36e+008,30.1,0.0258,1.53e+005,1.65e+003,100,0,1.53e+005,1.65e+003,55,0.25,1,0.844,0.077,0.0769,N,6,Default,Globular Proteins,1.02,0.185,0,Sphere,10 ul,JoshBuffer_wDTT,1.33,0.81,3.12e+003,Aqueous,0.666,8.85e-007,3.1,6.2,0.493,15.9,0.159,47.6,1,13.7,2.81e+004,1.15e+004,0.00167,100%,5,5,0,2.99e+004,4,3,,,,,2,7.52e-007,3.65,7.29,0.49,13.5,0.0181,69.5,97,23.5
7,30.056C,OK,2021-07-15,11:19:18,2.36e+008,30.1,0.0258,1.53e+005,1.65e+003,100,0,1.53e+005,1.65e+003,55,0.25,1,0.844,0.077,0.0769,N,6,Default,Globular Proteins,1.02,0.185,0,Sphere,10 ul,JoshBuffer_wDTT,1.33,0.81,3.12e+003,Aqueous,0.666,8.85e-007,3.1,6.2,0.493,15.9,0.159,47.6,1,13.7,2.81e+004,1.15e+004,0.00167,100%,5,5,0,2.99e+004,4,3,,,,,3,5.73e-008,47.8,95.7,0,0,0,2.87e+004,0.169,2.99e-005
