Meas Num,Item,Status,Date,Time Stamp,Time(s),Temp(C),Temp Std Dev(C),Intensity(Cnt/s),Intensity Std Dev(Cnt/s),Laser Power(%),Attenuation Level(%),Normalized Intensity(Cnt/s),Normalized Intensity Std Dev(Cnt/s),Set Temp(C),Temp Ramp Rate(C/sec),Laser Monitor(V),Forward Monitor(V),Static Scattering Detector(V),Normalized Static Scattering Detector,Disposable Cuvette,Acq Time(s),Sample,Mw-R Model,Conc(mg/mL),dn/dC(mL/g),A2(mol mL/g^2),RG Model,Cuvette,Solvent Name,Solv Rfr Idx,Solv Visc(cp),Cauchy Coef(nm²),Temperature Model,Amp,Diffusion Coefficient(cm²/s),Radius(nm),Diameter(nm),Pd(nm),%Pd,Pd Index,Mw-R(kDa),Baseline,SOS,Lambda(1/s),Sigma(1/s²),RMS Error,% Acqs Unmarked,# Acqs,# Acqs Unmarked,# Acqs Marked,Mw-S(Da),#Peaks,#Peaks in Range,D10(nm),D50(nm),D90(nm),Span (D90 - D10)/D50,Peak Num,Peak Diffusion Coefficient(cm²/s) (I),Peak Radius(nm) (I),Peak Diameter(nm) (I),Peak Pd(nm) (I),Peak %Pd (I),Peak Pd Index (I),Peak Mw-R(kDa) (I),Peak %Intensity (I),Peak %Mass (I)
1,Meas 1,OK,7/15/21,14:14:14,2.36E+08,30,0.039,1.50E+05,820,100,0,1.50E+05,820,30,5,1,0.85,0.0672,0.0672,N,6,Default,Globular Proteins,1.02,0.185,0,Sphere,10 ul,JoshBuffer_wDTT,1.33,0.811,3.12E+03,Aqueous,0.669,8.29E-07,3.3,6.6,0.519,15.7,0.157,55,1,9.7,2.63E+04,1.07E+04,0.00142,100%,5,5,0,2.55E+04,3,2,,,,,1,8.16E-07,3.36,6.71,0.415,12.4,0.0153,57.2,90.3,99.9
1,Meas 1,OK,7/15/21,14:14:14,2.36E+08,30,0.039,1.50E+05,820,100,0,1.50E+05,820,30,5,1,0.85,0.0672,0.0672,N,6,Default,Globular Proteins,1.02,0.185,0,Sphere,10 ul,JoshBuffer_wDTT,1.33,0.811,3.12E+03,Aqueous,0.669,8.29E-07,3.3,6.6,0.519,15.7,0.157,55,1,9.7,2.63E+04,1.07E+04,0.00142,100%,5,5,0,2.55E+04,3,2,,,,,2,1.65E-07,16.6,33.2,1.6,9.65,0.00932,2.42E+03,9.72,0.0917
2,Meas 2,OK,7/15/21,14:14:51,2.36E+08,30.1,0.00646,1.51E+05,1.00E+03,100,0,1.51E+05,1.00E+03,30,5,1,0.849,0.0672,0.0671,N,6,Default,Globular Proteins,1.02,0.185,0,Sphere,10 ul,JoshBuffer_wDTT,1.33,0.81,3.12E+03,Aqueous,0.666,8.41E-07,3.26,6.52,0.544,16.7,0.167,53.5,1,10.6,2.66E+04,1.13E+04,0.00132,100%,5,5,0,2.54E+04,4,3,,,,,1,1.10E-06,2.48,4.97,0.502,20.2,0.0409,28.3,26.8,70
2,Meas 2,OK,7/15/21,14:14:51,2.36E+08,30.1,0.00646,1.51E+05,1.00E+03,100,0,1.51E+05,1.00E+03,30,5,1,0.849,0.0672,0.0671,N,6,Default,Globular Proteins,1.02,0.185,0,Sphere,10 ul,JoshBuffer_wDTT,1.33,0.81,3.12E+03,Aqueous,0.666,8.41E-07,3.26,6.52,0.544,16.7,0.167,53.5,1,10.6,2.66E+04,1.13E+04,0.00132,100%,5,5,0,2.54E+04,4,3,,,,,2,6.44E-07,4.26,8.52,0.405,9.51,0.00904,99.9,71.6,30
2,Meas 2,OK,7/15/21,14:14:51,2.36E+08,30.1,0.00646,1.51E+05,1.00E+03,100,0,1.51E+05,1.00E+03,30,5,1,0.849,0.0672,0.0671,N,6,Default,Globular Proteins,1.02,0.185,0,Sphere,10 ul,JoshBuffer_wDTT,1.33,0.81,3.12E+03,Aqueous,0.666,8.41E-07,3.26,6.52,0.544,16.7,0.167,53.5,1,10.6,2.66E+04,1.13E+04,0.00132,100%,5,5,0,2.54E+04,4,3,,,,,3,7.99E-09,343,687,41.1,12,0.0143,2.89E+06,1.64,0.00664
3,Meas 3,OK,7/15/21,14:15:28,2.36E+08,30,0.0105,1.51E+05,1.13E+03,100,0,1.51E+05,1.13E+03,30,5,1,0.849,0.067,0.067,N,6,Default,Globular Proteins,1.02,0.185,0,Sphere,10 ul,JoshBuffer_wDTT,1.33,0.811,3.12E+03,Aqueous,0.668,8.46E-07,3.23,6.47,0.528,16.3,0.163,52.5,1,11.8,2.68E+04,1.12E+04,0.00155,100%,5,5,0,2.54E+04,3,2,,,,,1,8.94E-07,3.06,6.12,0.211,6.91,0.00477,46.1,80.2,99.2
3,Meas 3,OK,7/15/21,14:15:28,2.36E+08,30,0.0105,1.51E+05,1.13E+03,100,0,1.51E+05,1.13E+03,30,5,1,0.849,0.067,0.067,N,6,Default,Globular Proteins,1.02,0.185,0,Sphere,10 ul,JoshBuffer_wDTT,1.33,0.811,3.12E+03,Aqueous,0.668,8.46E-07,3.23,6.47,0.528,16.3,0.163,52.5,1,11.8,2.68E+04,1.12E+04,0.00155,100%,5,5,0,2.54E+04,3,2,,,,,2,2.89E-07,9.47,18.9,0.692,7.31,0.00534,649,19.8,0.826
4,Meas 4,OK,7/15/21,14:16:05,2.36E+08,30,0.000507,1.49E+05,1.33E+03,100,0,1.49E+05,1.33E+03,30,5,1,0.849,0.067,0.0669,N,6,Default,Globular Proteins,1.02,0.185,0,Sphere,10 ul,JoshBuffer_wDTT,1.33,0.811,3.12E+03,Aqueous,0.668,8.43E-07,3.24,6.49,0.503,15.5,0.155,52.9,1,10.1,2.68E+04,1.08E+04,0.00146,100%,5,5,0,2.53E+04,3,2,,,,,1,7.96E-07,3.44,6.88,0.457,13.3,0.0176,60.6,92.8,99.9
4,Meas 4,OK,7/15/21,14:16:05,2.36E+08,30,0.000507,1.49E+05,1.33E+03,100,0,1.49E+05,1.33E+03,30,5,1,0.849,0.067,0.0669,N,6,Default,Globular Proteins,1.02,0.185,0,Sphere,10 ul,JoshBuffer_wDTT,1.33,0.811,3.12E+03,Aqueous,0.668,8.43E-07,3.24,6.49,0.503,15.5,0.155,52.9,1,10.1,2.68E+04,1.08E+04,0.00146,100%,5,5,0,2.53E+04,3,2,,,,,2,1.55E-07,17.6,35.2,2.33,13.2,0.0175,2.77E+03,7.24,0.0623
5,Meas 5,OK,7/15/21,14:16:41,2.36E+08,30,0.000854,1.49E+05,765,100,0,1.49E+05,765,30,5,1,0.849,0.0671,0.067,N,6,Default,Globular Proteins,1.02,0.185,0,Sphere,10 ul,JoshBuffer_wDTT,1.33,0.811,3.12E+03,Aqueous,0.665,8.54E-07,3.21,6.41,0.523,16.3,0.163,51.4,1,15.1,2.71E+04,1.13E+04,0.00181,100%,5,5,0,2.54E+04,3,2,,,,,1,8.44E-07,3.24,6.48,0.317,9.77,0.00955,52.8,87.9,99.8
