### DATA:

         Q               I              Error
1249
4.60056169E-03 9.96495866E-05 1.45981588E-05
4.88809666E-03 1.01717017E-04 7.24115759E-06
5.17563161E-03 1.08609250E-04 4.51589938E-06
5.46316653E-03 1.00392188E-04 2.80782306E-06
5.75070142E-03 1.02542485E-04 1.99118459E-06
6.03823629E-03 1.04844996E-04 1.70277717E-06
6.32577112E-03 1.02132897E-04 1.49586508E-06
6.61330592E-03 1.03501582E-04 1.37164653E-06
6.90084069E-03 1.01363251E-04 1.19840662E-06
7.18837542E-03 1.02851170E-04 1.15725188E-06
7.47591012E-03 1.00130985E-04 1.09275357E-06
7.76344478E-03 1.00749095E-04 1.01312997E-06
8.05097940E-03 1.00791230E-04 9.91895993E-07
8.33851398E-03 1.00484401E-04 9.36917021E-07
8.62604852E-03 9.97274847E-05 9.39012293E-07
8.91358301E-03 9.94226163E-05 8.62411073E-07
9.20111746E-03 9.80050371E-05 8.53949914E-07
9.48865187E-03 9.84408297E-05 8.50577512E-07
9.77618622E-03 9.81766648E-05 8.15493122E-07
1.00637205E-02 9.78642814E-05 8.13605432E-07
1.03512548E-02 9.68803945E-05 7.67231469E-07
1.06387890E-02 9.67222221E-05 7.71538362E-07
1.09263231E-02 9.65769534E-05 7.61498366E-07
1.12138572E-02 9.63744708E-05 7.63772506E-07
1.15013913E-02 9.46145393E-05 7.63857714E-07
1.17889253E-02 9.56514658E-05 7.58780924E-07
1.20764592E-02 9.36392590E-05 7.67611397E-07
1.23639930E-02 9.50070260E-05 7.60814203E-07
1.26515268E-02 9.39881846E-05 7.51683920E-07
1.29390606E-02 9.37966602E-05 7.51147175E-07
1.32265942E-02 9.33440343E-05 7.50711349E-07
1.35141278E-02 9.29480858E-05 7.45342249E-07
1.38016614E-02 9.16281095E-05 7.26548909E-07
1.40891949E-02 9.12484169E-05 7.32590002E-07
1.43767282E-02 9.16117423E-05 7.18204202E-07
1.46642616E-02 9.02002364E-05 7.08337414E-07
1.49517948E-02 9.07033008E-05 7.27686837E-07
1.52393280E-02 9.04605585E-05 7.40437892E-07
1.55268611E-02 8.93308045E-05 7.36494793E-07
1.58143941E-02 8.79343578E-05 7.69159566E-07
1.61019271E-02 8.67096782E-05 7.42520360E-07
1.63894599E-02 8.82292488E-05 7.15607090E-07
1.66769927E-02 8.72162078E-05 6.89253139E-07
1.69645254E-02 8.83941843E-05 6.96007485E-07
1.72520580E-02 8.68715845E-05 6.81492565E-07
1.75395905E-02 8.66242952E-05 6.77622820E-07
1.78271229E-02 8.57932180E-05 6.68304122E-07
1.81146553E-02 8.48976529E-05 6.61478838E-07
1.84021875E-02 8.49956641E-05 6.57851363E-07
1.86897197E-02 8.48608279E-05 6.42690322E-07
1.89772518E-02 8.42165692E-05 6.37958448E-07
1.92647837E-02 8.37834132E-05 6.37140221E-07
1.95523156E-02 8.38668176E-05 6.14485973E-07
1.98398474E-02 8.26628841E-05 5.98900497E-07
2.01273790E-02 8.25370617E-05 5.79607751E-07
2.04149106E-02 8.10841751E-05 5.98177992E-07
2.07024421E-02 8.07513445E-05 5.87409800E-07
2.09899735E-02 8.09634138E-05 5.87469290E-07
2.12775047E-02 7.96889115E-05 5.68839122E-07
2.15650359E-02 7.97502265E-05 5.61027493E-07
2.18525669E-02 7.87218107E-05 5.67972299E-07
2.21400979E-02 7.87438746E-05 5.67098499E-07
2.24276287E-02 7.76342635E-05 5.62327858E-07
2.27151594E-02 7.74795199E-05 5.46242731E-07
2.30026900E-02 7.59178745E-05 5.48136939E-07
2.32902205E-02 7.53563639E-05 5.57357320E-07
2.35777508E-02 7.50849975E-05 5.33516566E-07
2.38652811E-02 7.48004876E-05 5.43276299E-07
2.41528112E-02 7.49409205E-05 5.37713501E-07
2.44403412E-02 7.43414170E-05 5.40056985E-07
2.47278711E-02 7.35228042E-05 5.36044518E-07
2.50154008E-02 7.30728365E-05 5.18603826E-07
2.53029305E-02 7.31230699E-05 5.24220115E-07
2.55904600E-02 7.13132190E-05 5.16175230E-07
2.58779894E-02 7.09049859E-05 5.24075447E-07
2.61655186E-02 7.11497881E-05 5.21676266E-07
2.64530477E-02 6.95767175E-05 5.02589420E-07
2.67405767E-02 6.94214583E-05 5.14105097E-07
2.70281055E-02 6.90818005E-05 5.00096848E-07
2.73156342E-02 6.77744764E-05 4.99907592E-07
2.76031628E-02 6.73366308E-05 5.04661022E-07
2.78906913E-02 6.79616247E-05 4.94507351E-07
2.81782195E-02 6.66047196E-05 5.04134080E-07
2.84657477E-02 6.65063880E-05 4.85604164E-07
2.87532757E-02 6.56900218E-05 4.96771937E-07
2.90408036E-02 6.45502445E-05 4.85365047E-07
2.93283313E-02 6.40954604E-05 4.92892256E-07
2.96158589E-02 6.38445288E-05 4.92321327E-07
2.99033863E-02 6.34692023E-05 4.69947958E-07
3.01909135E-02 6.33824198E-05 4.85826946E-07
3.04784407E-02 6.14460778E-05 4.78812075E-07
3.07659676E-02 6.28339621E-05 4.72025439E-07
3.10534944E-02 6.13723542E-05 4.74985133E-07
3.13410211E-02 6.03455933E-05 4.67669903E-07
3.16285476E-02 6.07621430E-05 4.69611817E-07
3.19160739E-02 5.99269189E-05 4.62554564E-07
3.22036001E-02 5.88323747E-05 4.61008460E-07
3.24911261E-02 5.84478833E-05 4.60109518E-07
3.27786520E-02 5.83960138E-05 4.60118105E-07
3.30661777E-02 5.74604988E-05 4.65482675E-07
3.33537032E-02 5.74576277E-05 4.52569316E-07
3.36412285E-02 5.62521576E-05 4.48102173E-07
3.39287537E-02 5.57885457E-05 4.48142692E-07
3.42162787E-02 5.53628978E-05 4.48937492E-07
3.45038036E-02 5.35701930E-05 4.49177259E-07
3.47913282E-02 5.32695576E-05 4.40341752E-07
3.50788527E-02 5.45076677E-05 4.39863215E-07
3.53663771E-02 5.33169708E-05 4.37870933E-07
3.56539012E-02 5.29417567E-05 4.44065164E-07
3.59414251E-02 5.21464200E-05 4.32422151E-07
3.62289489E-02 5.23408108E-05 4.30701806E-07
3.65164725E-02 5.13149612E-05 4.34885511E-07
3.68039959E-02 5.07617172E-05 4.29081171E-07
3.70915192E-02 5.05459794E-05 4.32644916E-07
3.73790422E-02 4.94975393E-05 4.10402027E-07
3.76665651E-02 4.94534731E-05 4.18498974E-07
3.79540877E-02 4.85418181E-05 4.21359646E-07
3.82416102E-02 4.88651354E-05 4.15466377E-07
3.85291325E-02 4.77473346E-05 4.16071047E-07
3.88166546E-02 4.72094975E-05 4.09977584E-07
3.91041764E-02 4.67314690E-05 4.19050524E-07
3.93916981E-02 4.68716561E-05 4.18825088E-07
3.96792196E-02 4.62277679E-05 4.05002467E-07
3.99667409E-02 4.66311396E-05 4.14927211E-07
4.02542620E-02 4.48451794E-05 4.08136432E-07
4.05417829E-02 4.51715881E-05 4.08919130E-07
4.08293036E-02 4.43256819E-05 4.01621050E-07
4.11168241E-02 4.32374940E-05 3.98321008E-07
4.14043444E-02 4.26866465E-05 4.03635465E-07
4.16918644E-02 4.28957108E-05 3.98079156E-07
4.19793843E-02 4.18625673E-05 3.99347998E-07
4.22669039E-02 4.23502889E-05 3.91936039E-07
4.25544234E-02 4.15186672E-05 3.94690720E-07
4.28419426E-02 4.20741137E-05 4.00532815E-07
4.31294616E-02 4.04264147E-05 3.86567930E-07
4.34169804E-02 4.04962196E-05 3.86949093E-07
4.37044990E-02 4.05380953E-05 3.86119152E-07
