### DATA:
#
# 1219
#      Q             I(Q)           Error     
4.27121953E-03  3.18833235E-04  3.07116568E-04
4.55596738E-03  7.46904549E-05  1.33407709E-04
4.84071521E-03  3.23659887E-04  9.28333813E-05
5.12546302E-03  1.69706204E-04  7.54063549E-05
5.41021080E-03  2.17470812E-04  6.58562055E-05
5.69495855E-03  2.20580597E-04  5.81462248E-05
5.97970628E-03  1.93085602E-04  5.40258862E-05
6.26445397E-03  3.35043486E-04  5.13127513E-05
6.54920164E-03  2.14028423E-04  4.84149760E-05
6.83394927E-03  2.87732939E-04  4.78539186E-05
7.11869687E-03  2.10399000E-04  4.64293352E-05
7.40344444E-03  2.32166617E-04  4.67614454E-05
7.68819197E-03  1.94289961E-04  4.54752023E-05
7.97293946E-03  2.65312294E-04  4.50995373E-05
8.25768691E-03  2.59263217E-04  4.30106632E-05
8.54243432E-03  2.15991129E-04  4.41875923E-05
8.82718168E-03  2.13827821E-04  4.14349131E-05
9.11192901E-03  2.18231763E-04  4.20554899E-05
9.39667629E-03  2.80966184E-04  4.08418676E-05
9.68142352E-03  2.71954751E-04  4.05674271E-05
9.96617071E-03  2.63083410E-04  4.09450999E-05
1.02509178E-02  2.53879512E-04  3.88350940E-05
1.05356649E-02  2.04827622E-04  3.87941287E-05
1.08204120E-02  2.29541232E-04  3.82760436E-05
1.11051589E-02  2.73524637E-04  3.70508904E-05
1.13899059E-02  3.34341779E-04  3.60848676E-05
1.16746527E-02  1.92640278E-04  3.48178587E-05
1.19593995E-02  3.22821560E-04  3.43821317E-05
1.22441463E-02  3.16988889E-04  3.20251036E-05
1.25288930E-02  2.29011849E-04  3.20479352E-05
1.28136396E-02  2.54156968E-04  3.10271236E-05
1.30983862E-02  2.47746753E-04  3.05031114E-05
1.33831327E-02  2.45406709E-04  3.02050146E-05
1.36678791E-02  2.76912354E-04  2.94378606E-05
1.39526255E-02  2.89204675E-04  2.95600616E-05
1.42373718E-02  2.53808344E-04  2.80802227E-05
1.45221180E-02  2.65436903E-04  2.77927107E-05
1.48068642E-02  2.31970110E-04  2.75262479E-05
1.50916103E-02  2.68203847E-04  2.72296996E-05
1.53763563E-02  2.69801141E-04  2.69463536E-05
1.56611022E-02  3.01118829E-04  2.67561853E-05
1.59458481E-02  2.11318159E-04  2.61378821E-05
1.62305939E-02  2.76238379E-04  2.58349891E-05
1.65153396E-02  2.78623428E-04  2.57769403E-05
1.68000852E-02  2.96034398E-04  2.52660397E-05
1.70848307E-02  2.16387047E-04  2.45367900E-05
1.73695762E-02  2.36114749E-04  2.45122446E-05
1.76543215E-02  2.20584784E-04  2.47112929E-05
1.79390668E-02  2.47279564E-04  2.38014118E-05
1.82238120E-02  2.50048234E-04  2.36093988E-05
1.85085571E-02  2.51039063E-04  2.34647397E-05
1.87933021E-02  2.44238296E-04  2.35892659E-05
1.90780470E-02  2.46920348E-04  2.33338185E-05
1.93627918E-02  2.38570183E-04  2.23294268E-05
1.96475366E-02  2.62897620E-04  2.28567603E-05
1.99322812E-02  2.39580162E-04  2.24417437E-05
2.02170257E-02  2.57300694E-04  2.21508334E-05
2.05017701E-02  2.48760423E-04  2.15879609E-05
2.07865145E-02  2.57301578E-04  2.13038546E-05
2.10712587E-02  2.18673986E-04  2.13809047E-05
2.13560028E-02  2.38418306E-04  2.14120365E-05
2.16407468E-02  2.52160900E-04  2.09577955E-05
2.19254908E-02  2.44501532E-04  2.09706197E-05
2.22102346E-02  2.54499852E-04  2.08109542E-05
2.24949783E-02  2.22939505E-04  2.05728363E-05
2.27797218E-02  2.55693427E-04  2.04125473E-05
2.30644653E-02  2.63528064E-04  2.06481731E-05
2.33492087E-02  2.30474962E-04  2.08692575E-05
2.36339519E-02  2.16151068E-04  2.12005150E-05
2.39186950E-02  2.55071019E-04  2.08902469E-05
2.42034380E-02  2.22510884E-04  2.06339108E-05
2.44881809E-02  2.26465679E-04  2.13458411E-05
2.47729237E-02  2.13381352E-04  2.07834941E-05
2.50576663E-02  2.35172355E-04  2.09921826E-05
2.53424089E-02  2.12442300E-04  2.04540112E-05
2.56271512E-02  2.43815523E-04  2.03866417E-05
2.59118935E-02  2.28386736E-04  2.06306007E-05
2.61966357E-02  1.90739479E-04  2.01776299E-05
2.64813777E-02  2.22182920E-04  2.04619046E-05
2.67661196E-02  2.09357583E-04  2.02183333E-05
2.70508613E-02  2.35520980E-04  2.05305123E-05
2.73356029E-02  2.00725929E-04  2.03038511E-05
2.76203444E-02  2.53391384E-04  1.98550010E-05
2.79050857E-02  2.10066799E-04  2.01847194E-05
2.81898269E-02  1.77901878E-04  1.97472886E-05
2.84745680E-02  2.53170479E-04  1.99564825E-05
2.87593089E-02  2.20095762E-04  1.95121090E-05
2.90440497E-02  2.04657660E-04  1.92551918E-05
2.93287904E-02  1.92203927E-04  1.94152820E-05
2.96135309E-02  2.29568176E-04  1.96414669E-05
2.98982712E-02  2.31741746E-04  1.94701933E-05
3.01830114E-02  1.96436266E-04  1.93809239E-05
3.04677515E-02  2.29115134E-04  1.93899536E-05
3.07524914E-02  1.88262821E-04  1.93111902E-05
3.10372311E-02  2.08816020E-04  1.90173807E-05
3.13219707E-02  1.97241444E-04  1.89294112E-05
3.16067102E-02  2.24718716E-04  1.87404582E-05
3.18914495E-02  2.11214525E-04  1.90160631E-05
3.21761886E-02  2.00954943E-04  1.88032937E-05
3.24609276E-02  2.23655961E-04  1.86740548E-05
3.27456664E-02  1.90733295E-04  1.86372370E-05
3.30304050E-02  2.01284373E-04  1.86853156E-05
3.33151435E-02  1.91580764E-04  1.86898807E-05
3.35998819E-02  1.87757596E-04  1.83543903E-05
3.38846200E-02  2.23881979E-04  1.82651963E-05
3.41693580E-02  2.37944769E-04  1.81486279E-05
3.44540958E-02  2.12399973E-04  1.82833236E-05
3.47388335E-02  1.60503737E-04  1.81252131E-05
3.50235710E-02  1.95549236E-04  1.81756330E-05
3.53083083E-02  2.22207326E-04  1.82045300E-05
3.55930454E-02  1.95828466E-04  1.79388199E-05
3.58777824E-02  1.73740600E-04  1.79256421E-05
3.61625192E-02  1.73490959E-04  1.77052770E-05
3.64472558E-02  2.04326534E-04  1.77705316E-05
3.67319922E-02  2.07979974E-04  1.78867157E-05
3.70167284E-02  1.90915493E-04  1.78005148E-05
3.73014645E-02  2.01284128E-04  1.78226634E-05
3.75862004E-02  1.81654787E-04  1.74865348E-05
3.78709361E-02  1.70244940E-04  1.74510489E-05
3.81556716E-02  1.88575912E-04  1.77002630E-05
3.84404069E-02  1.87723334E-04  1.73477133E-05
3.87251420E-02  1.86974699E-04  1.74798825E-05
3.90098769E-02  2.02480175E-04  1.74403663E-05
3.92946117E-02  1.96564528E-04  1.73743866E-05
3.95793462E-02  1.99700760E-04  1.70887344E-05
3.98640806E-02  1.87538382E-04  1.68655564E-05
4.01488147E-02  1.81277914E-04  1.72271188E-05
4.04335487E-02  1.62360663E-04  1.70841308E-05
4.07182825E-02  1.59752146E-04  1.69109601E-05
4.10030160E-02  1.72752929E-04  1.68590592E-05
4.12877494E-02  1.40757061E-04  1.69684098E-05
4.15724825E-02  1.77564833E-04  1.69867579E-05
4.18572155E-02  1.79036354E-04  1.68176695E-05
4.21419482E-02  1.73448760E-04  1.68533655E-05
4.24266808E-02  1.74521538E-04  1.68330576E-05
4.27114131E-02  1.70009477E-04  1.66444558E-05
4.29961452E-02  1.74947464E-04  1.68447282E-05
4.32808771E-02  1.60278245E-04  1.65624015E-05
4.35656088E-02  1.72910254E-04  1.66735365E-05
4.38503403E-02  1.68275470E-04  1.67631275E-05
4.41350715E-02  1.51569578E-04  1.66160551E-05
4.44198026E-02  1.91600339E-04  1.64436360E-05
4.47045334E-02  1.47439028E-04  1.64198037E-05
4.49892640E-02  1.69349745E-04  1.64593944E-05
4.52739944E-02  1.51702668E-04  1.66068186E-05
4.55587245E-02  1.61702932E-04  1.62232583E-05
4.58434544E-02  1.66883437E-04  1.62430669E-05
4.61281841E-02  1.52112845E-04  1.58926511E-05
4.64129136E-02  1.58794429E-04  1.60836482E-05
4.66976429E-02  1.42112339E-04  1.61391698E-05
4.69823719E-02  1.63161026E-04  1.59482390E-05
4.72671007E-02  1.52638103E-04  1.60955981E-05
4.75518292E-02  1.65397415E-04  1.61120910E-05
4.78365575E-02  1.54753048E-04  1.58981208E-05
4.81212856E-02  1.65926824E-04  1.56845796E-05
4.84060135E-02  1.44689782E-04  1.62224981E-05
4.86907411E-02  1.80821629E-04  1.64479043E-05
4.89754684E-02  1.34390463E-04  1.67982093E-05
4.92601956E-02  1.32469306E-04  1.64452989E-05
4.95449224E-02  1.34588821E-04  1.67233459E-05
4.98296491E-02  1.55117996E-04  1.67841223E-05
5.01143755E-02  1.45732943E-04  1.69084594E-05
5.03991016E-02  1.51076707E-04  1.69572311E-05
5.06838275E-02  1.32878212E-04  1.68512063E-05
5.09685532E-02  1.13475325E-04  1.70423482E-05
5.12532785E-02  1.05526570E-04  1.70847140E-05
5.15380037E-02  1.52910949E-04  1.70970461E-05
5.18227286E-02  1.67339897E-04  1.71783957E-05
5.21074532E-02  1.39601790E-04  1.70323054E-05
5.23921776E-02  1.47380961E-04  1.71285487E-05
5.26769017E-02  1.21145604E-04  1.74094659E-05
5.29616255E-02  1.27091954E-04  1.72662293E-05
5.32463491E-02  1.58646078E-04  1.75771835E-05
5.35310725E-02  1.12715877E-04  1.73300240E-05
5.38157955E-02  1.33181419E-04  1.73540413E-05
5.41005183E-02  1.30510932E-04  1.72719549E-05
5.43852409E-02  1.38082708E-04  1.71459011E-05
5.46699631E-02  1.24345118E-04  1.74287277E-05
5.49546851E-02  1.34715808E-04  1.71370666E-05
5.52394069E-02  1.08856329E-04  1.74561016E-05
5.55241283E-02  1.45008245E-04  1.71246478E-05
5.58088495E-02  1.03533698E-04  1.72254185E-05
5.60935704E-02  1.25221051E-04  1.75382441E-05
5.63782910E-02  1.36995944E-04  1.71082962E-05
5.66630114E-02  1.11061274E-04  1.73947717E-05
5.69477315E-02  1.13598585E-04  1.72921492E-05
5.72324512E-02  1.17870236E-04  1.73038710E-05
5.75171708E-02  1.13945571E-04  1.71576458E-05
5.78018900E-02  8.68594488E-05  1.70884963E-05
5.80866089E-02  1.41154478E-04  1.73252140E-05
5.83713276E-02  1.39978377E-04  1.71581414E-05
5.86560459E-02  1.45494125E-04  1.71165102E-05
5.89407640E-02  8.30765978E-05  1.71241979E-05
5.92254818E-02  1.16318270E-04  1.71478479E-05
5.95101993E-02  1.08771298E-04  1.71530854E-05
5.97949165E-02  1.20468414E-04  1.69917349E-05
6.00796334E-02  1.38617745E-04  1.70967298E-05
6.03643500E-02  1.28203678E-04  1.71262924E-05
6.06490663E-02  1.18873224E-04  1.69562838E-05
6.09337823E-02  1.10638705E-04  1.69339828E-05
6.12184980E-02  1.10521783E-04  1.67684016E-05
6.15032134E-02  1.07361916E-04  1.70369022E-05
6.17879285E-02  1.06820101E-04  1.69453005E-05
6.20726433E-02  1.35006392E-04  1.69629449E-05
6.23573578E-02  9.20659068E-05  1.68714567E-05
6.26420720E-02  1.13133952E-04  1.70045641E-05
6.29267859E-02  1.03739183E-04  1.68987533E-05
6.32114995E-02  9.91077873E-05  1.67627866E-05
6.34962127E-02  9.51435422E-05  1.66889151E-05
6.37809257E-02  1.06493340E-04  1.64668369E-05
6.40656383E-02  1.16290379E-04  1.66520877E-05
6.43503506E-02  7.20456125E-05  1.66853999E-05
6.46350626E-02  1.09314331E-04  1.65525910E-05
6.49197743E-02  1.09784327E-04  1.66403127E-05
6.52044856E-02  9.97914971E-05  1.67260088E-05
6.54891967E-02  1.06561998E-04  1.65811512E-05
6.57739074E-02  6.40198748E-05  1.66124318E-05
6.60586178E-02  9.63763355E-05  1.65117170E-05
6.63433278E-02  1.25837535E-04  1.64327752E-05
6.66280375E-02  1.08492251E-04  1.64035908E-05
6.69127470E-02  9.46680170E-05  1.66277609E-05
6.71974560E-02  1.20351199E-04  1.68235012E-05
6.74821648E-02  1.10307180E-04  1.72451950E-05
6.77668732E-02  6.81013906E-05  1.73851837E-05
6.80515813E-02  1.00058690E-04  1.76145829E-05
6.83362890E-02  8.01196178E-05  1.79023674E-05
6.86209964E-02  9.27136069E-05  1.78448750E-05
6.89057035E-02  1.09687926E-04  1.80078211E-05
6.91904102E-02  8.12678608E-05  1.82660081E-05
6.94751166E-02  1.17468292E-04  1.83472187E-05
6.97598226E-02  6.25094988E-05  1.84956529E-05
7.00445283E-02  9.42060830E-05  1.83018103E-05
7.03292337E-02  1.05038283E-04  1.87417868E-05
7.06139387E-02  7.92240524E-05  1.88266354E-05
7.08986433E-02  9.49177497E-05  1.86858724E-05
7.11833476E-02  1.03726705E-04  1.91098014E-05
7.14680516E-02  1.16686270E-04  1.86961489E-05
7.17527552E-02  5.65890933E-05  1.88805805E-05
7.20374584E-02  7.84453522E-05  1.92519829E-05
7.23221613E-02  9.09964198E-05  1.81981840E-05
7.26068639E-02  7.83197955E-05  1.78605659E-05
7.28915661E-02  1.08013411E-04  1.75163235E-05
7.31762679E-02  7.28398612E-05  1.75196133E-05
7.34609693E-02  8.25198486E-05  1.75502294E-05
7.37456704E-02  7.83090426E-05  1.72540596E-05
7.40303712E-02  8.56421965E-05  1.73061335E-05
7.43150715E-02  8.96920283E-05  1.68407640E-05
7.45997715E-02  7.26300020E-05  1.69541023E-05
7.48844712E-02  9.93274189E-05  1.68044561E-05
7.51691704E-02  6.53790658E-05  1.66440737E-05
7.54538693E-02  4.15862693E-05  1.67980250E-05
7.57385678E-02  5.05871135E-05  1.64457027E-05
7.60232660E-02  4.11921288E-05  1.64257411E-05
7.63079638E-02  9.56822007E-05  1.65128720E-05
7.65926612E-02  1.07138805E-04  1.66234513E-05
7.68773582E-02  5.37517367E-05  1.64017122E-05
7.71620548E-02  8.04898606E-05  1.62793409E-05
7.74467511E-02  8.87609490E-05  1.64439557E-05
7.77314470E-02  6.17034508E-05  1.64105086E-05
7.80161425E-02  6.90543889E-05  1.63825689E-05
7.83008376E-02  4.75244420E-05  1.64375137E-05
7.85855323E-02  5.37981478E-05  1.61249851E-05
7.88702266E-02  7.45941655E-05  1.64080712E-05
7.91549206E-02  6.29170314E-05  1.61476676E-05
7.94396141E-02  7.46145864E-05  1.62915461E-05
7.97243073E-02  5.55698878E-05  1.61287675E-05
8.00090001E-02  8.71200056E-05  1.61900846E-05
8.02936924E-02  3.31676478E-05  1.61294110E-05
8.05783844E-02  7.12710787E-05  1.58800722E-05
8.08630760E-02  7.84344208E-05  1.58915857E-05
8.11477672E-02  6.49907713E-05  1.57217740E-05
8.14324580E-02  5.92931062E-05  1.59953770E-05
8.17171484E-02  9.64269295E-05  1.58952389E-05
8.20018383E-02  4.53228455E-05  1.57335365E-05
8.22865279E-02  7.38820638E-05  1.58268039E-05
8.25712171E-02  5.92190164E-05  1.59336931E-05
8.28559058E-02  7.19926168E-05  1.59214646E-05
8.31405942E-02  6.29540203E-05  1.56933269E-05
8.34252821E-02  5.52326454E-05  1.58849289E-05
8.37099697E-02  7.28609391E-05  1.57435317E-05
8.39946568E-02  4.21001591E-05  1.57079746E-05
8.42793435E-02  7.59410820E-05  1.56899579E-05
8.45640298E-02  7.27553334E-05  1.56393657E-05
8.48487157E-02  4.70449336E-05  1.57514288E-05
8.51334011E-02  9.79137350E-05  1.58067460E-05
8.54180862E-02  5.18021026E-05  1.56114833E-05
8.57027708E-02  7.30154190E-05  1.57577742E-05
8.59874550E-02  6.54614269E-05  1.55833159E-05
8.62721387E-02  5.78304641E-05  1.56005936E-05
8.65568221E-02  5.82739260E-05  1.55119791E-05
8.68415050E-02  6.15321982E-05  1.56011093E-05
8.71261875E-02  5.13322427E-05  1.55170267E-05
8.74108695E-02  6.66162422E-05  1.56247743E-05
8.76955512E-02  5.92245443E-05  1.56288380E-05
8.79802323E-02  6.14492594E-05  1.53972720E-05
8.82649131E-02  6.48958994E-05  1.55641392E-05
8.85495934E-02  5.21090052E-05  1.55114889E-05
8.88342733E-02  7.31394852E-05  1.52066564E-05
8.91189528E-02  8.27270983E-05  1.55305840E-05
8.94036318E-02  6.26519968E-05  1.54760709E-05
8.96883103E-02  5.91104983E-05  1.55542804E-05
8.99729885E-02  6.13610324E-05  1.53359467E-05
9.02576662E-02  6.84869447E-05  1.54315532E-05
9.05423434E-02  6.16672584E-05  1.54375589E-05
9.08270202E-02  8.16718941E-05  1.51190184E-05
9.11116965E-02  3.01385060E-05  1.54614050E-05
9.13963724E-02  5.05775468E-05  1.51186846E-05
9.16810479E-02  6.82737359E-05  1.52277951E-05
9.19657229E-02  5.50448825E-05  1.53928960E-05
9.22503974E-02  5.64032285E-05  1.51093129E-05
9.25350715E-02  3.02503971E-05  1.52261288E-05
9.28197451E-02  5.49862306E-05  1.51623150E-05
9.31044183E-02  5.31857633E-05  1.52064829E-05
9.33890910E-02  5.50587694E-05  1.51713708E-05
9.36737632E-02  3.31924600E-05  1.52033366E-05
9.39584350E-02  4.76911593E-05  1.51662717E-05
9.42431063E-02  3.31477255E-05  1.51860719E-05
9.45277772E-02  6.81732993E-05  1.51557983E-05
9.48124476E-02  5.03845224E-05  1.51035832E-05
9.50971175E-02  5.18968081E-05  1.51361710E-05
9.53817870E-02  3.24432716E-05  1.51361473E-05
9.56664560E-02  3.18025804E-05  1.49398855E-05
9.59511245E-02  2.96666773E-05  1.51778352E-05
9.62357925E-02  5.16574596E-05  1.50156070E-05
9.65204601E-02  7.16591460E-05  1.49994368E-05
9.68051272E-02  3.36647012E-05  1.49235904E-05
9.70897938E-02  6.50265377E-05  1.51301920E-05
9.73744599E-02  4.33415749E-05  1.49562733E-05
9.76591256E-02  3.88421429E-05  1.50241678E-05
9.79437908E-02  2.03629099E-05  1.46945000E-05
9.82284555E-02  3.93006495E-05  1.46950573E-05
9.85131197E-02  6.98159878E-05  1.46295138E-05
9.87977834E-02  4.47005585E-05  1.46881652E-05
9.90824466E-02  2.15427209E-05  1.47877660E-05
9.93671094E-02  5.54273641E-05  1.47710249E-05
9.96517716E-02  3.41334626E-05  1.46387479E-05
9.99364334E-02  5.02297632E-05  1.44394482E-05
1.00221095E-01  5.23772414E-05  1.44966293E-05
1.00505755E-01  5.50012251E-05  1.44296718E-05
1.00790416E-01  6.86830888E-05  1.45186339E-05
1.01075076E-01  5.31025675E-05  1.43806688E-05
1.01359735E-01  2.39567722E-05  1.45407966E-05
1.01644394E-01  4.31889955E-05  1.46447600E-05
1.01929052E-01  4.17970965E-05  1.45513719E-05
1.02213710E-01  4.37598825E-05  1.46229816E-05
1.02498367E-01  3.51040336E-05  1.44850801E-05
1.02783024E-01  4.92774385E-05  1.44575018E-05
1.03067680E-01  3.54234538E-05  1.45163276E-05
1.03352336E-01  5.26750083E-05  1.45559632E-05
1.03636991E-01  3.67005259E-05  1.45800704E-05
1.03921646E-01  5.36537642E-05  1.44517549E-05
1.04206300E-01  1.87776722E-05  1.46026739E-05
1.04490954E-01  3.36325809E-05  1.46033349E-05
1.04775607E-01  3.46161965E-05  1.44495717E-05
1.05060260E-01  4.03039059E-05  1.45138987E-05
1.05344912E-01  7.64956418E-06  1.45027221E-05
1.05629563E-01  6.86738415E-05  1.45201422E-05
1.05914214E-01  3.14723697E-05  1.43204949E-05
1.06198865E-01  3.19823187E-05  1.45233809E-05
1.06483515E-01  4.85331472E-05  1.42578873E-05
1.06768165E-01  3.18686200E-05  1.43501272E-05
1.07052814E-01  1.99820692E-05  1.43656258E-05
1.07337462E-01  2.80741437E-05  1.42532745E-05
1.07622110E-01  3.68325555E-05  1.43918432E-05
1.07906758E-01  4.66388877E-05  1.43398577E-05
1.08191405E-01  5.06330859E-05  1.43353894E-05
1.08476051E-01  1.29005012E-05  1.42272726E-05
1.08760697E-01  5.53004900E-05  1.43255792E-05
1.09045342E-01  3.30566499E-05  1.42793294E-05
1.09329987E-01  1.51644420E-05  1.41272018E-05
1.09614631E-01  3.17842130E-05  1.42966378E-05
1.09899275E-01  5.17241120E-05  1.42021201E-05
1.10183918E-01  2.57914634E-05  1.42305065E-05
1.10468560E-01  2.90671479E-05  1.43325163E-05
1.10753202E-01  3.67021325E-05  1.40796548E-05
1.11037844E-01  4.87241657E-05  1.41990286E-05
1.11322485E-01  4.09740478E-05  1.42188144E-05
1.11607125E-01  4.04288917E-05  1.42112610E-05
1.11891765E-01  2.01084181E-05  1.42184932E-05
1.12176405E-01  2.76209595E-05  1.41016599E-05
1.12461043E-01  2.55206656E-05  1.43159670E-05
1.12745681E-01  3.30169748E-05  1.40173581E-05
1.13030319E-01  3.85243340E-05  1.40259481E-05
1.13314956E-01  2.95662620E-05  1.39954633E-05
1.13599593E-01  3.28887805E-05  1.40947158E-05
1.13884229E-01  5.88773386E-05  1.41937626E-05
1.14168864E-01  1.87673531E-05  1.39093491E-05
1.14453499E-01  2.11654542E-05  1.40948087E-05
1.14738133E-01  1.21342136E-05  1.39740552E-05
1.15022767E-01  2.37094548E-05  1.39247574E-05
1.15307400E-01  1.81648897E-05  1.43830727E-05
1.15592033E-01  3.42097792E-05  1.43364036E-05
1.15876665E-01  1.92243347E-05  1.46736908E-05
1.16161296E-01  4.19267655E-05  1.46551050E-05
1.16445927E-01  5.74531973E-05  1.49085707E-05
1.16730557E-01  5.18738591E-05  1.48424545E-05
1.17015187E-01  2.85525010E-05  1.49479877E-05
1.17299816E-01  4.89283699E-05  1.53617272E-05
1.17584445E-01  2.44801198E-05  1.46751645E-05
1.17869073E-01  4.73807451E-05  1.46345198E-05
1.18153700E-01  1.00901101E-05  1.45956647E-05
1.18438327E-01  1.35278555E-05  1.45629445E-05
1.18722953E-01  4.99528850E-05  1.44761541E-05
1.19007579E-01  2.08080396E-05  1.43153465E-05
1.19292204E-01  3.95495019E-05  1.43818498E-05
1.19576828E-01  9.41504555E-06  1.44060282E-05
1.19861452E-01  2.57257560E-05  1.42662601E-05
1.20146076E-01  2.00907161E-05  1.44168156E-05
1.20430698E-01  9.62741094E-06  1.40709914E-05
1.20715320E-01  3.53736152E-05  1.42042332E-05
1.20999942E-01  4.25697096E-06  1.40976274E-05
1.21284563E-01  1.58604113E-05  1.41781265E-05
1.21569183E-01  3.32162336E-05  1.41916184E-05
1.21853803E-01  4.56801081E-05  1.40332489E-05
1.22138422E-01  4.84996767E-05  1.41957352E-05
1.22423040E-01  4.18197178E-05  1.41184009E-05
1.22707658E-01  3.30557056E-05  1.40803533E-05
1.22992276E-01  2.59972055E-05  1.40036493E-05
1.23276892E-01  2.53763262E-05  1.39947486E-05
1.23561508E-01  2.84392667E-05  1.39711060E-05
1.23846124E-01  2.03980614E-05  1.38794070E-05
1.24130739E-01  5.27775929E-06  1.38840003E-05
1.24415353E-01  4.37836606E-05  1.38870322E-05
1.24699967E-01  1.26423739E-05  1.39917737E-05
1.24984580E-01  2.04592761E-05  1.39457123E-05
1.25269192E-01  4.25505311E-05  1.37357629E-05
1.25553804E-01  3.33764578E-05  1.38594263E-05
1.25838415E-01  2.60104797E-05  1.37882580E-05
1.26123026E-01  9.69881573E-07  1.37398626E-05
1.26407636E-01  3.38784965E-05  1.35877058E-05
1.26692245E-01  1.49479356E-05  1.37116205E-05
1.26976854E-01  1.72579565E-05  1.37788256E-05
1.27261462E-01  4.25604840E-05  1.35201501E-05
1.27546069E-01  2.48449582E-05  1.37773456E-05
1.27830676E-01  1.96596013E-05  1.40191411E-05
1.28115282E-01  1.14114053E-07  1.42958383E-05
1.28399888E-01  -7.89130319E-06  1.44761296E-05
1.28684493E-01  2.39830861E-05  1.44023507E-05
1.28969097E-01  3.21698863E-05  1.46670584E-05
1.29253701E-01  3.64714742E-05  1.46013330E-05
1.29538304E-01  2.41893417E-05  1.49814578E-05
1.29822906E-01  -1.45982727E-05  1.48952619E-05
1.30107508E-01  2.65762115E-05  1.48161978E-05
1.30392109E-01  1.92135244E-05  1.49847452E-05
1.30676709E-01  2.61642901E-05  1.50885450E-05
1.30961309E-01  1.94623299E-05  1.51279788E-05
1.31245908E-01  1.28496010E-05  1.50512223E-05
1.31530507E-01  1.90587718E-05  1.51295129E-05
1.31815105E-01  1.83139851E-05  1.53421239E-05
1.32099702E-01  1.01746710E-05  1.51163697E-05
1.32384298E-01  3.91157735E-05  1.51407567E-05
1.32668894E-01  5.82428708E-06  1.48067587E-05
1.32953490E-01  2.96894929E-05  1.43257510E-05
1.33238084E-01  5.60115186E-05  1.42122451E-05
1.33522678E-01  2.81412078E-05  1.40893170E-05
1.33807271E-01  2.50927192E-05  1.39581346E-05
1.34091864E-01  2.97214680E-05  1.38834464E-05
1.34376456E-01  4.05175315E-05  1.37198011E-05
1.34661047E-01  1.69428005E-05  1.33742369E-05
1.34945638E-01  2.23925585E-05  1.33991238E-05
1.35230228E-01  2.81260789E-05  1.33980498E-05
1.35514817E-01  -1.87489704E-06  1.35230557E-05
1.35799406E-01  1.75486234E-05  1.34766785E-05
1.36083994E-01  2.26197813E-05  1.33169785E-05
1.36368581E-01  1.65538710E-05  1.33916884E-05
1.36653168E-01  2.24925388E-05  1.34983220E-05
1.36937754E-01  2.80047990E-05  1.34917254E-05
1.37222339E-01  3.67308067E-05  1.34283411E-05
1.37506924E-01  3.22479419E-05  1.33684237E-05
1.37791507E-01  2.44531062E-05  1.34874829E-05
1.38076091E-01  3.53661091E-05  1.33911357E-05
1.38360673E-01  4.38272502E-05  1.33057846E-05
1.38645255E-01  1.28633533E-05  1.34189246E-05
1.38929836E-01  2.79868586E-05  1.33570907E-05
1.39214417E-01  5.46812980E-06  1.34549062E-05
1.39498997E-01  1.34713223E-05  1.33239195E-05
1.39783576E-01  1.12635672E-05  1.32824376E-05
1.40068154E-01  2.95073940E-05  1.33381563E-05
1.40352732E-01  5.41740123E-06  1.32273723E-05
1.40637309E-01  1.34523893E-05  1.33930567E-05
1.40921886E-01  1.67256093E-05  1.31699796E-05
1.41206461E-01  9.47650425E-06  1.33527141E-05
1.41491036E-01  2.16515780E-05  1.32158203E-05
1.41775610E-01  1.58906222E-05  1.32357513E-05
1.42060184E-01  2.13379951E-05  1.33327949E-05
1.42344757E-01  -1.96861892E-06  1.31328149E-05
1.42629329E-01  5.74144943E-07  1.32913774E-05
1.42913901E-01  -4.60591256E-06  1.31365593E-05
1.43198471E-01  3.00573304E-05  1.31426691E-05
1.43483042E-01  2.71902854E-05  1.33155156E-05
1.43767611E-01  3.17300302E-05  1.31176026E-05
1.44052180E-01  1.42937559E-06  1.31720028E-05
1.44336747E-01  3.42341863E-05  1.30313580E-05
1.44621315E-01  5.46266512E-06  1.31830766E-05
1.44905881E-01  6.57778510E-06  1.31607284E-05
1.45190447E-01  3.67838995E-05  1.30794166E-05
1.45475012E-01  2.37472623E-05  1.31579294E-05
1.45759577E-01  1.15049841E-05  1.30552536E-05
1.46044140E-01  -7.58297641E-06  1.31038392E-05
1.46328703E-01  1.55733468E-05  1.30272617E-05
1.46613265E-01  2.30465328E-05  1.29446486E-05
1.46897827E-01  1.21495360E-07  1.30614245E-05
1.47182388E-01  1.91090468E-05  1.29620781E-05
1.47466948E-01  2.17369352E-05  1.30580806E-05
1.47751507E-01  9.00104461E-06  1.30080294E-05
1.48036066E-01  4.26973231E-05  1.28694122E-05
1.48320623E-01  2.88210231E-05  1.30284654E-05
