### DATA:

         Q               I              Error
1249
4.60056169E-03 8.88365595E-05 1.01781853E-05
4.88809666E-03 8.62652021E-05 5.66420310E-06
5.17563161E-03 9.09426879E-05 3.68161385E-06
5.46316653E-03 8.86850698E-05 2.42518794E-06
5.75070142E-03 8.59083619E-05 1.72793776E-06
6.03823629E-03 8.71744460E-05 1.43761345E-06
6.32577112E-03 8.83466449E-05 1.31380752E-06
6.61330592E-03 8.65650283E-05 1.15801399E-06
6.90084069E-03 8.85195168E-05 1.04402540E-06
7.18837542E-03 8.84678376E-05 1.01443614E-06
7.47591012E-03 8.92460576E-05 9.36261929E-07
7.76344478E-03 8.83863482E-05 9.08620522E-07
8.05097940E-03 8.77161362E-05 8.58757126E-07
8.33851398E-03 8.71301806E-05 8.38660337E-07
8.62604852E-03 8.75954167E-05 8.22762799E-07
8.91358301E-03 8.63753079E-05 7.96632895E-07
9.20111746E-03 8.64945554E-05 7.63442883E-07
9.48865187E-03 8.70800474E-05 7.42046215E-07
9.77618622E-03 8.84781983E-05 7.42075782E-07
1.00637205E-02 8.47213389E-05 7.19689674E-07
1.03512548E-02 8.88782492E-05 7.13062551E-07
1.06387890E-02 8.70190008E-05 6.99848912E-07
1.09263231E-02 8.80996630E-05 6.96671491E-07
1.12138572E-02 8.73891732E-05 6.93757077E-07
1.15013913E-02 8.80827307E-05 7.06025099E-07
1.17889253E-02 8.69446700E-05 6.87437484E-07
1.20764592E-02 8.75002613E-05 7.13111900E-07
1.23639930E-02 8.62261227E-05 6.99018065E-07
1.26515268E-02 8.65300481E-05 6.99786456E-07
1.29390606E-02 8.55551966E-05 6.98938405E-07
1.32265942E-02 8.34932469E-05 6.74480603E-07
1.35141278E-02 8.61277984E-05 6.92495922E-07
1.38016614E-02 8.49933627E-05 6.70844453E-07
1.40891949E-02 8.50745164E-05 6.74390951E-07
1.43767282E-02 8.61028847E-05 6.72344118E-07
1.46642616E-02 8.48719485E-05 6.58926608E-07
1.49517948E-02 8.44467232E-05 6.86180750E-07
1.52393280E-02 8.31322333E-05 6.89520022E-07
1.55268611E-02 8.39075254E-05 7.05753739E-07
1.58143941E-02 8.38182366E-05 7.00015419E-07
1.61019271E-02 8.41998107E-05 6.97406271E-07
1.63894599E-02 8.39283640E-05 6.55688958E-07
1.66769927E-02 8.43811805E-05 6.32764479E-07
1.69645254E-02 8.53414452E-05 6.40989182E-07
1.72520580E-02 8.42668322E-05 6.50226609E-07
1.75395905E-02 8.37925727E-05 6.38917591E-07
1.78271229E-02 8.34311675E-05 6.28172769E-07
1.81146553E-02 8.27807244E-05 6.09876569E-07
1.84021875E-02 8.23062504E-05 6.35439411E-07
1.86897197E-02 8.26317508E-05 6.07592751E-07
1.89772518E-02 8.15201874E-05 5.92433124E-07
1.92647837E-02 8.26165219E-05 5.81811439E-07
1.95523156E-02 8.23338232E-05 5.92353306E-07
1.98398474E-02 8.16543091E-05 5.60452599E-07
2.01273790E-02 8.05785802E-05 5.46218945E-07
2.04149106E-02 8.08195540E-05 5.56844056E-07
2.07024421E-02 8.00927107E-05 5.44062134E-07
2.09899735E-02 7.96888896E-05 5.48485572E-07
2.12775047E-02 8.01251103E-05 5.37235110E-07
2.15650359E-02 8.06932887E-05 5.23600020E-07
2.18525669E-02 7.87372481E-05 5.27353998E-07
2.21400979E-02 7.92449483E-05 5.32689501E-07
2.24276287E-02 7.96903616E-05 5.29141828E-07
2.27151594E-02 7.93220750E-05 5.07823996E-07
2.30026900E-02 7.90538813E-05 5.22335195E-07
2.32902205E-02 7.76301120E-05 5.16277109E-07
2.35777508E-02 7.83902855E-05 5.05335294E-07
2.38652811E-02 7.76331952E-05 5.06568748E-07
2.41528112E-02 7.86412721E-05 5.24124792E-07
2.44403412E-02 7.70102085E-05 5.05852465E-07
2.47278711E-02 7.64858448E-05 4.98093141E-07
2.50154008E-02 7.71366280E-05 4.85824683E-07
2.53029305E-02 7.66982248E-05 5.02032837E-07
2.55904600E-02 7.64611626E-05 4.89101317E-07
2.58779894E-02 7.57714231E-05 4.98093595E-07
2.61655186E-02 7.48983588E-05 4.88078498E-07
2.64530477E-02 7.53947334E-05 4.74567994E-07
2.67405767E-02 7.60181036E-05 4.80536510E-07
2.70281055E-02 7.42834412E-05 4.76023222E-07
2.73156342E-02 7.40899717E-05 4.69245148E-07
2.76031628E-02 7.37230931E-05 4.82022546E-07
2.78906913E-02 7.46081514E-05 4.71646769E-07
2.81782195E-02 7.34871689E-05 4.75873705E-07
2.84657477E-02 7.28928824E-05 4.57315962E-07
2.87532757E-02 7.17095671E-05 4.63990364E-07
2.90408036E-02 7.29807730E-05 4.59505745E-07
2.93283313E-02 7.40415766E-05 4.66807443E-07
2.96158589E-02 7.19755059E-05 4.70120782E-07
2.99033863E-02 7.16106310E-05 4.47311274E-07
3.01909135E-02 7.18351844E-05 4.66702421E-07
3.04784407E-02 7.14360724E-05 4.54726752E-07
3.07659676E-02 7.12448278E-05 4.43583957E-07
3.10534944E-02 6.96134651E-05 4.55489876E-07
3.13410211E-02 7.05626471E-05 4.44371025E-07
3.16285476E-02 7.04987122E-05 4.47664486E-07
3.19160739E-02 6.91749931E-05 4.32818417E-07
3.22036001E-02 6.91937590E-05 4.37315412E-07
3.24911261E-02 6.93478933E-05 4.36025881E-07
3.27786520E-02 6.84455179E-05 4.44037679E-07
3.30661777E-02 6.83579235E-05 4.45785322E-07
3.33537032E-02 6.73320681E-05 4.24976484E-07
3.36412285E-02 6.72454732E-05 4.27161939E-07
3.39287537E-02 6.72691935E-05 4.24842813E-07
3.42162787E-02 6.64921779E-05 4.24431120E-07
3.45038036E-02 6.68407105E-05 4.31234675E-07
3.47913282E-02 6.65831639E-05 4.12881449E-07
3.50788527E-02 6.57598649E-05 4.22724905E-07
3.53663771E-02 6.60350713E-05 4.17645497E-07
3.56539012E-02 6.60079673E-05 4.26816545E-07
3.59414251E-02 6.47157506E-05 4.15605223E-07
3.62289489E-02 6.46202869E-05 4.08475994E-07
3.65164725E-02 6.57603615E-05 4.21025438E-07
3.68039959E-02 6.35608156E-05 4.04601434E-07
3.70915192E-02 6.37591925E-05 4.10294711E-07
3.73790422E-02 6.39875626E-05 4.01335665E-07
3.76665651E-02 6.38567023E-05 4.01369794E-07
3.79540877E-02 6.35156832E-05 4.02967896E-07
3.82416102E-02 6.34442352E-05 4.00548428E-07
3.85291325E-02 6.22607098E-05 3.94994289E-07
3.88166546E-02 6.09947944E-05 3.87707921E-07
